x_axis,y_axis
-100.0,1.714356958082542
-99.97999799979998,1.7143569580825502
-99.95999599959995,1.7143569580825588
-99.93999399939995,1.714356958082567
-99.91999199919992,1.7143569580825764
-99.8999899989999,1.714356958082585
-99.87998799879988,1.714356958082594
-99.85998599859985,1.7143569580826026
-99.83998399839984,1.7143569580826115
-99.81998199819982,1.7143569580826201
-99.7999799979998,1.7143569580826294
-99.77997799779978,1.714356958082638
-99.75997599759975,1.7143569580826472
-99.73997399739974,1.7143569580826563
-99.71997199719972,1.7143569580826654
-99.6999699969997,1.7143569580826752
-99.67996799679968,1.714356958082684
-99.65996599659967,1.7143569580826934
-99.63996399639964,1.7143569580827023
-99.61996199619962,1.7143569580827118
-99.5999599959996,1.7143569580827216
-99.57995799579957,1.7143569580827305
-99.55995599559957,1.71435695808274
-99.53995399539954,1.71435695808275
-99.51995199519952,1.71435695808276
-99.4999499949995,1.7143569580827693
-99.47994799479947,1.7143569580827789
-99.45994599459947,1.7143569580827889
-99.43994399439944,1.7143569580827984
-99.41994199419942,1.7143569580828084
-99.3999399939994,1.714356958082818
-99.37993799379937,1.714356958082828
-99.35993599359936,1.7143569580828382
-99.33993399339934,1.7143569580828484
-99.31993199319932,1.7143569580828588
-99.2999299929993,1.714356958082869
-99.27992799279929,1.714356958082879
-99.25992599259926,1.7143569580828892
-99.23992399239924,1.7143569580828995
-99.21992199219922,1.7143569580829099
-99.1999199919992,1.71435695808292
-99.17991799179919,1.7143569580829312
-99.15991599159916,1.7143569580829419
-99.13991399139914,1.714356958082952
-99.11991199119912,1.7143569580829627
-99.0999099909991,1.7143569580829738
-99.07990799079909,1.7143569580829843
-99.05990599059906,1.7143569580829952
-99.03990399039904,1.7143569580830063
-99.01990199019902,1.714356958083017
-98.999899989999,1.714356958083028
-98.97989798979899,1.7143569580830393
-98.95989598959896,1.7143569580830502
-98.93989398939894,1.7143569580830613
-98.91989198919892,1.7143569580830729
-98.8998899889989,1.7143569580830837
-98.87988798879888,1.7143569580830953
-98.85988598859886,1.7143569580831066
-98.83988398839884,1.7143569580831186
-98.81988198819882,1.71435695808313
-98.79987998799879,1.7143569580831413
-98.77987798779878,1.7143569580831526
-98.75987598759876,1.7143569580831646
-98.73987398739874,1.7143569580831763
-98.71987198719872,1.714356958083188
-98.6998699869987,1.7143569580832003
-98.67986798679868,1.7143569580832123
-98.65986598659866,1.7143569580832243
-98.63986398639864,1.714356958083236
-98.61986198619861,1.714356958083248
-98.5998599859986,1.7143569580832605
-98.57985798579858,1.7143569580832727
-98.55985598559856,1.7143569580832851
-98.53985398539854,1.7143569580832978
-98.51985198519851,1.7143569580833105
-98.4998499849985,1.714356958083323
-98.47984798479848,1.7143569580833349
-98.45984598459846,1.7143569580833475
-98.43984398439844,1.7143569580833602
-98.41984198419841,1.7143569580833735
-98.3998399839984,1.714356958083386
-98.37983798379838,1.7143569580833988
-98.35983598359836,1.714356958083412
-98.33983398339834,1.7143569580834255
-98.31983198319833,1.7143569580834384
-98.2998299829983,1.7143569580834512
-98.27982798279828,1.7143569580834648
-98.25982598259826,1.714356958083478
-98.23982398239824,1.7143569580834914
-98.21982198219823,1.714356958083505
-98.1998199819982,1.7143569580835183
-98.17981798179818,1.7143569580835318
-98.15981598159816,1.7143569580835456
-98.13981398139813,1.7143569580835596
-98.11981198119813,1.7143569580835734
-98.0998099809981,1.7143569580835871
-98.07980798079808,1.7143569580836011
-98.05980598059806,1.7143569580836149
-98.03980398039803,1.7143569580836289
-98.01980198019803,1.7143569580836435
-97.999799979998,1.7143569580836577
-97.97979797979798,1.714356958083672
-97.95979597959796,1.7143569580836866
-97.93979397939793,1.7143569580837008
-97.91979197919792,1.714356958083715
-97.8997899789979,1.7143569580837303
-97.87978797879788,1.7143569580837446
-97.85978597859786,1.7143569580837594
-97.83978397839783,1.7143569580837743
-97.81978197819782,1.7143569580837892
-97.7997799779978,1.7143569580838038
-97.77977797779778,1.7143569580838192
-97.75977597759776,1.7143569580838345
-97.73977397739775,1.7143569580838496
-97.71977197719772,1.714356958083865
-97.6997699769977,1.7143569580838804
-97.67976797679768,1.7143569580838958
-97.65976597659765,1.7143569580839118
-97.63976397639765,1.714356958083927
-97.61976197619762,1.7143569580839426
-97.5997599759976,1.7143569580839586
-97.57975797579758,1.7143569580839741
-97.55975597559755,1.7143569580839901
-97.53975397539755,1.7143569580840066
-97.51975197519752,1.7143569580840226
-97.4997499749975,1.7143569580840388
-97.47974797479748,1.7143569580840547
