x_axis,y_axis
-100.0,1.5000000000122438
-99.97999799979998,1.5000000000121927
-99.95999599959995,1.5000000000121425
-99.93999399939995,1.5000000000120928
-99.91999199919992,1.5000000000120413
-99.8999899989999,1.5000000000119904
-99.87998799879988,1.5000000000119396
-99.85998599859985,1.5000000000118878
-99.83998399839984,1.5000000000118354
-99.81998199819982,1.50000000001178
-99.7999799979998,1.5000000000117302
-99.77997799779978,1.5000000000116767
-99.75997599759975,1.500000000011622
-99.73997399739974,1.500000000011569
-99.71997199719972,1.500000000011518
-99.6999699969997,1.500000000011465
-99.67996799679968,1.5000000000114084
-99.65996599659967,1.500000000011353
-99.63996399639964,1.5000000000112987
-99.61996199619962,1.5000000000112443
-99.5999599959996,1.5000000000111893
-99.57995799579957,1.5000000000111313
-99.55995599559957,1.5000000000110747
-99.53995399539954,1.5000000000110192
-99.51995199519952,1.5000000000109643
-99.4999499949995,1.5000000000109084
-99.47994799479947,1.5000000000108529
-99.45994599459947,1.5000000000107931
-99.43994399439944,1.5000000000107334
-99.41994199419942,1.5000000000106768
-99.3999399939994,1.5000000000106195
-99.37993799379937,1.500000000010557
-99.35993599359936,1.5000000000104994
-99.33993399339934,1.5000000000104436
-99.31993199319932,1.5000000000103815
-99.2999299929993,1.5000000000103235
-99.27992799279929,1.5000000000102622
-99.25992599259926,1.5000000000102018
-99.23992399239924,1.500000000010142
-99.21992199219922,1.5000000000100788
-99.1999199919992,1.500000000010017
-99.17991799179919,1.5000000000099571
-99.15991599159916,1.5000000000098959
-99.13991399139914,1.5000000000098324
-99.11991199119912,1.5000000000097695
-99.0999099909991,1.5000000000097067
-99.07990799079909,1.500000000009643
-99.05990599059906,1.500000000009578
-99.03990399039904,1.5000000000095153
-99.01990199019902,1.5000000000094516
-98.999899989999,1.5000000000093872
-98.97989798979899,1.500000000009324
-98.95989598959896,1.5000000000092577
-98.93989398939894,1.5000000000091915
-98.91989198919892,1.500000000009124
-98.8998899889989,1.5000000000090579
-98.87988798879888,1.5000000000089893
-98.85988598859886,1.5000000000089257
-98.83988398839884,1.5000000000088576
-98.81988198819882,1.5000000000087912
-98.79987998799879,1.500000000008721
-98.77987798779878,1.5000000000086524
-98.75987598759876,1.5000000000085836
-98.73987398739874,1.5000000000085139
-98.71987198719872,1.5000000000084452
