Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
300.0	56.5	160.07	0.0062471	396.5	431.79	1.7885	0.91469	2.3764	213.9	1.0489	1.7312e-05	0.027541	vapor
300.0	59.75	180.53	0.0055391	389.82	422.92	1.7526	0.95997	2.9283	208.26	1.0299	1.7844e-05	0.030512	vapor
300.0	63.0	207.11	0.0048284	381.28	411.7	1.7096	1.0267	4.0223	201.29	0.99895	1.8621e-05	0.035429	vapor
300.0	66.25	248.96	0.0040168	368.13	394.74	1.6482	1.1603	7.771	190.65	0.93636	2.0051e-05	0.047043	vapor
300.0	67.131	268.58	0.0037232	362.09	387.08	1.6215	1.2476	11.921	185.33	0.90093	2.0811e-05	0.055713	vapor
300.0	67.131	679.24	0.0014722	273.49	283.38	1.2759	1.1199	8.6979	245.67	0.27258	5.3192e-05	0.080841	liquid
300.0	69.5	702.33	0.0014238	269.23	279.12	1.2605	1.0598	6.2455	276.33	0.22701	5.6251e-05	0.079644	liquid
300.0	72.75	722.95	0.0013832	265.3	275.36	1.2465	1.0261	5.0143	302.92	0.19261	5.9143e-05	0.080142	liquid
300.0	76.0	738.22	0.0013546	262.31	272.61	1.2358	1.0062	4.3931	323.18	0.17012	6.1391e-05	0.081108	liquid
300.0	79.25	750.6	0.0013323	259.85	270.41	1.227	0.99207	4.0031	340.1	0.15355	6.3285e-05	0.082159	liquid
300.0	82.5	761.13	0.0013138	257.73	268.57	1.2195	0.98131	3.7293	354.82	0.14051	6.4948e-05	0.083204	liquid
300.0	85.75	770.35	0.0012981	255.85	266.98	1.2128	0.97278	3.5232	367.98	0.12983	6.6447e-05	0.084216	liquid
300.0	89.0	778.6	0.0012844	254.15	265.58	1.2067	0.96584	3.3607	379.93	0.12082	6.7821e-05	0.085188	liquid
300.0	92.25	786.08	0.0012721	252.59	264.33	1.2011	0.96008	3.2282	390.94	0.11306	6.9095e-05	0.08612	liquid
300.0	95.5	792.94	0.0012611	251.15	263.2	1.196	0.95523	3.1176	401.17	0.10627	7.029e-05	0.087013	liquid
300.0	98.75	799.29	0.0012511	249.81	262.17	1.1912	0.95108	3.0233	410.75	0.10025	7.1417e-05	0.087872	liquid
300.0	102.0	805.21	0.0012419	248.56	261.22	1.1867	0.9475	2.9417	419.77	0.09485	7.2487e-05	0.088698	liquid
300.0	105.25	810.76	0.0012334	247.37	260.35	1.1825	0.94438	2.8703	428.32	0.089974	7.3508e-05	0.089494	liquid
300.0	108.5	815.99	0.0012255	246.25	259.54	1.1784	0.94165	2.807	436.46	0.085537	7.4486e-05	0.090263	liquid
300.0	111.75	820.95	0.0012181	245.18	258.79	1.1746	0.93923	2.7506	444.23	0.081475	7.5427e-05	0.091007	liquid
300.0	115.0	825.65	0.0012112	244.15	258.08	1.1709	0.93708	2.6997	451.66	0.077736	7.6334e-05	0.091729	liquid
300.0	118.25	830.13	0.0012046	243.18	257.42	1.1674	0.93516	2.6537	458.8	0.074278	7.721e-05	0.092429	liquid
300.0	121.5	834.42	0.0011984	242.24	256.8	1.164	0.93344	2.6117	465.68	0.071067	7.806e-05	0.09311	liquid
300.0	124.75	838.53	0.0011926	241.34	256.21	1.1608	0.93189	2.5733	472.31	0.068075	7.8885e-05	0.093773	liquid
300.0	128.0	842.47	0.001187	240.47	255.66	1.1577	0.93049	2.5379	478.72	0.065277	7.9688e-05	0.09442	liquid
300.0	131.25	846.27	0.0011817	239.63	255.14	1.1546	0.92922	2.5052	484.92	0.062652	8.047e-05	0.095051	liquid
300.0	134.5	849.93	0.0011766	238.82	254.64	1.1517	0.92806	2.4749	490.93	0.060185	8.1233e-05	0.095667	liquid
300.0	137.75	853.46	0.0011717	238.03	254.17	1.1489	0.92701	2.4467	496.77	0.057858	8.1978e-05	0.09627	liquid
300.0	141.0	856.88	0.001167	237.26	253.72	1.1461	0.92605	2.4204	502.44	0.05566	8.2708e-05	0.09686	liquid
300.0	144.25	860.2	0.0011625	236.52	253.29	1.1434	0.92518	2.3957	507.97	0.053578	8.3422e-05	0.097438	liquid
300.0	147.5	863.41	0.0011582	235.8	252.88	1.1408	0.92437	2.3726	513.35	0.051603	8.4123e-05	0.098004	liquid
300.0	150.75	866.53	0.001154	235.1	252.5	1.1382	0.92364	2.3508	518.6	0.049725	8.481e-05	0.09856	liquid
300.0	154.0	869.56	0.00115	234.41	252.12	1.1358	0.92297	2.3303	523.72	0.047938	8.5485e-05	0.099106	liquid
300.0	157.25	872.51	0.0011461	233.75	251.77	1.1333	0.92235	2.3109	528.73	0.046233	8.6148e-05	0.099643	liquid
300.0	160.5	875.39	0.0011424	233.09	251.43	1.131	0.92178	2.2925	533.63	0.044605	8.6801e-05	0.10017	liquid
300.0	163.75	878.19	0.0011387	232.46	251.1	1.1286	0.92125	2.2751	538.42	0.043048	8.7443e-05	0.10069	liquid
300.0	167.0	880.93	0.0011352	231.84	250.79	1.1264	0.92077	2.2585	543.11	0.041557	8.8075e-05	0.1012	liquid
