Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
372.0	56.5	93.335	0.010714	475.18	535.71	2.1025	0.78662	1.1703	277.71	0.60367	1.9625e-05	0.026176	vapor
372.0	59.75	99.667	0.010033	473.46	533.4	2.0872	0.79046	1.1912	276.72	0.60042	1.9742e-05	0.026489	vapor
372.0	63.0	106.13	0.0094226	471.7	531.07	2.0724	0.79433	1.2129	275.74	0.59693	1.9866e-05	0.026817	vapor
372.0	66.25	112.72	0.0088714	469.93	528.7	2.0581	0.79824	1.2356	274.8	0.5932	1.9997e-05	0.02716	vapor
372.0	69.5	119.45	0.0083715	468.12	526.3	2.0441	0.80217	1.2592	273.89	0.58922	2.0136e-05	0.02752	vapor
372.0	72.75	126.33	0.007916	466.29	523.88	2.0305	0.80613	1.2839	273.01	0.58497	2.0283e-05	0.027896	vapor
372.0	76.0	133.34	0.0074994	464.42	521.42	2.0172	0.81011	1.3096	272.17	0.58045	2.0438e-05	0.028291	vapor
372.0	76.0	133.34	0.0074994	464.42	521.42	2.0172	0.81011	1.3096	272.17	0.58045	2.0438e-05	0.028291	supercritical
372.0	76.0	133.34	0.0074994	464.42	521.42	2.0172	0.81011	1.3096	272.17	0.58045	2.0438e-05	0.028291	supercritical
372.0	79.25	140.51	0.0071168	462.53	518.93	2.0041	0.81411	1.3363	271.37	0.57564	2.0603e-05	0.028704	supercritical
372.0	82.5	147.83	0.0067644	460.61	516.42	1.9913	0.81813	1.3642	270.62	0.57055	2.0777e-05	0.029137	supercritical
372.0	85.75	155.31	0.0064386	458.66	513.88	1.9787	0.82215	1.3932	269.92	0.56515	2.0961e-05	0.02959	supercritical
372.0	89.0	162.95	0.0061367	456.68	511.3	1.9663	0.82619	1.4234	269.27	0.55944	2.1156e-05	0.030064	supercritical
372.0	92.25	170.76	0.0058562	454.68	508.7	1.954	0.83022	1.4548	268.68	0.55342	2.1363e-05	0.030561	supercritical
372.0	95.5	178.73	0.005595	452.64	506.07	1.942	0.83425	1.4873	268.15	0.54707	2.1582e-05	0.03108	supercritical
372.0	98.75	186.88	0.0053511	450.57	503.41	1.93	0.83826	1.521	267.68	0.5404	2.1813e-05	0.031622	supercritical
372.0	102.0	195.19	0.0051231	448.47	500.73	1.9182	0.84225	1.5559	267.29	0.5334	2.2058e-05	0.032189	supercritical
372.0	105.25	203.68	0.0049096	446.34	498.02	1.9066	0.84621	1.5919	266.98	0.52607	2.2318e-05	0.03278	supercritical
372.0	108.5	212.35	0.0047093	444.19	495.28	1.895	0.85013	1.629	266.76	0.51841	2.2592e-05	0.033395	supercritical
372.0	111.75	221.19	0.0045211	442.01	492.53	1.8836	0.854	1.6672	266.63	0.51041	2.2881e-05	0.034035	supercritical
372.0	115.0	230.2	0.0043441	439.8	489.75	1.8723	0.85781	1.7062	266.59	0.50209	2.3187e-05	0.034699	supercritical
372.0	118.25	239.38	0.0041775	437.56	486.96	1.861	0.86154	1.7461	266.66	0.49345	2.351e-05	0.035388	supercritical
372.0	121.5	248.72	0.0040206	435.3	484.15	1.8499	0.86519	1.7867	266.84	0.4845	2.3851e-05	0.0361	supercritical
372.0	124.75	258.23	0.0038726	433.02	481.34	1.8389	0.86875	1.8278	267.14	0.47525	2.421e-05	0.036834	supercritical
372.0	128.0	267.88	0.003733	430.73	478.51	1.828	0.87219	1.8691	267.57	0.4657	2.4587e-05	0.037589	supercritical
372.0	131.25	277.68	0.0036013	428.41	475.68	1.8171	0.87552	1.9105	268.13	0.45589	2.4984e-05	0.038365	supercritical
372.0	134.5	287.61	0.003477	426.08	472.85	1.8064	0.8787	1.9517	268.83	0.44583	2.54e-05	0.039158	supercritical
372.0	137.75	297.65	0.0033596	423.75	470.02	1.7959	0.88174	1.9924	269.68	0.43554	2.5836e-05	0.039967	supercritical
372.0	141.0	307.8	0.0032489	421.4	467.21	1.7854	0.88462	2.0323	270.68	0.42506	2.6292e-05	0.040789	supercritical
372.0	144.25	318.03	0.0031444	419.05	464.41	1.7751	0.88734	2.0711	271.83	0.41441	2.6767e-05	0.041623	supercritical
372.0	147.5	328.32	0.0030458	416.71	461.63	1.7649	0.88988	2.1084	273.15	0.40363	2.7262e-05	0.042465	supercritical
372.0	150.75	338.66	0.0029528	414.37	458.88	1.7549	0.89223	2.1439	274.63	0.39274	2.7775e-05	0.043313	supercritical
372.0	154.0	349.02	0.0028651	412.04	456.16	1.7451	0.8944	2.1774	276.28	0.38181	2.8306e-05	0.044164	supercritical
372.0	157.25	359.38	0.0027825	409.72	453.48	1.7354	0.89638	2.2085	278.09	0.37085	2.8855e-05	0.045016	supercritical
372.0	160.5	369.72	0.0027047	407.43	450.84	1.7259	0.89818	2.2371	280.07	0.35991	2.942e-05	0.045867	supercritical
