Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
293.0	56.5	186.92	0.0053498	380.71	410.93	1.7181	1.0454	4.054	198.23	1.0989	1.7624e-05	0.033509	vapor
293.0	57.089	193.03	0.0051804	378.61	408.18	1.7077	1.0701	4.5023	196.27	1.0909	1.7799e-05	0.035086	vapor
293.0	57.089	774.98	0.0012903	247.99	255.36	1.1861	1.0104	4.2283	339.35	0.14811	6.7037e-05	0.085434	liquid
293.0	59.75	783.95	0.0012756	246.2	253.82	1.1797	0.99671	3.9241	354.39	0.13605	6.8562e-05	0.08631	liquid
293.0	63.0	793.41	0.0012604	244.28	252.22	1.1728	0.98431	3.6573	370.23	0.12433	7.0216e-05	0.08736	liquid
293.0	66.25	801.69	0.0012474	242.58	250.84	1.1667	0.97479	3.4585	384.17	0.11479	7.1703e-05	0.088368	liquid
293.0	69.5	809.11	0.0012359	241.04	249.63	1.1612	0.96718	3.3027	396.72	0.10677	7.3066e-05	0.089331	liquid
293.0	72.75	815.85	0.0012257	239.63	248.54	1.1561	0.96095	3.1762	408.2	0.099882	7.4332e-05	0.090251	liquid
293.0	76.0	822.04	0.0012165	238.31	247.56	1.1514	0.95577	3.0709	418.79	0.093863	7.5519e-05	0.091131	liquid
293.0	79.25	827.78	0.001208	237.09	246.66	1.147	0.95138	2.9814	428.66	0.088532	7.664e-05	0.091975	liquid
293.0	82.5	833.15	0.0012003	235.94	245.84	1.1429	0.94764	2.9041	437.92	0.08376	7.7705e-05	0.092786	liquid
293.0	85.75	838.19	0.0011931	234.85	245.08	1.1389	0.94441	2.8364	446.65	0.07945	7.8723e-05	0.093568	liquid
293.0	89.0	842.95	0.0011863	233.82	244.37	1.1352	0.94161	2.7765	454.92	0.075529	7.9699e-05	0.094323	liquid
