Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
373.0	56.5	92.921	0.010762	476.08	536.88	2.1056	0.78673	1.1679	278.31	0.5996	1.9666e-05	0.026232	vapor
373.0	59.75	99.211	0.01008	474.37	534.59	2.0904	0.79051	1.1884	277.33	0.59638	1.9782e-05	0.026542	vapor
373.0	63.0	105.63	0.0094673	472.63	532.28	2.0757	0.79433	1.2097	276.37	0.59293	1.9905e-05	0.026867	vapor
373.0	66.25	112.17	0.0089148	470.87	529.93	2.0614	0.79817	1.2319	275.44	0.58924	2.0035e-05	0.027206	vapor
373.0	69.5	118.85	0.0084138	469.08	527.56	2.0475	0.80204	1.2551	274.54	0.5853	2.0172e-05	0.027561	vapor
373.0	72.75	125.67	0.0079574	467.27	525.16	2.0339	0.80594	1.2792	273.68	0.58111	2.0317e-05	0.027932	vapor
373.0	76.0	132.63	0.0075399	465.42	522.73	2.0207	0.80985	1.3044	272.86	0.57665	2.0471e-05	0.028321	vapor
373.0	76.0	132.63	0.0075399	465.42	522.73	2.0207	0.80985	1.3044	272.86	0.57665	2.0471e-05	0.028321	supercritical
373.0	76.0	132.63	0.0075399	465.42	522.73	2.0207	0.80985	1.3044	272.86	0.57665	2.0471e-05	0.028321	supercritical
373.0	79.25	139.73	0.0071565	463.55	520.27	2.0077	0.81379	1.3305	272.07	0.57192	2.0633e-05	0.028728	supercritical
373.0	82.5	146.99	0.0068034	461.65	517.78	1.9949	0.81773	1.3577	271.33	0.5669	2.0805e-05	0.029154	supercritical
373.0	85.75	154.39	0.006477	459.72	515.26	1.9824	0.82169	1.386	270.64	0.56159	2.0987e-05	0.029599	supercritical
373.0	89.0	161.96	0.0061745	457.77	512.72	1.9701	0.82566	1.4155	270.0	0.55598	2.118e-05	0.030066	supercritical
373.0	92.25	169.68	0.0058935	455.78	510.15	1.9579	0.82962	1.446	269.42	0.55006	2.1383e-05	0.030553	supercritical
373.0	95.5	177.57	0.0056317	453.77	507.55	1.9459	0.83357	1.4777	268.9	0.54383	2.1599e-05	0.031063	supercritical
373.0	98.75	185.62	0.0053875	451.73	504.93	1.9341	0.83751	1.5104	268.44	0.53729	2.1826e-05	0.031595	supercritical
373.0	102.0	193.83	0.0051591	449.65	502.28	1.9224	0.84143	1.5443	268.06	0.53043	2.2067e-05	0.032151	supercritical
373.0	105.25	202.22	0.0049452	447.55	499.6	1.9108	0.84532	1.5793	267.76	0.52324	2.2322e-05	0.03273	supercritical
373.0	108.5	210.77	0.0047445	445.43	496.91	1.8994	0.84917	1.6153	267.54	0.51574	2.2591e-05	0.033332	supercritical
373.0	111.75	219.49	0.004556	443.28	494.19	1.888	0.85298	1.6523	267.4	0.50792	2.2875e-05	0.033959	supercritical
373.0	115.0	228.38	0.0043787	441.1	491.45	1.8768	0.85672	1.6902	267.36	0.49978	2.3174e-05	0.034609	supercritical
373.0	118.25	237.43	0.0042118	438.89	488.7	1.8657	0.8604	1.7289	267.43	0.49133	2.3491e-05	0.035282	supercritical
373.0	121.5	246.64	0.0040545	436.67	485.93	1.8547	0.86399	1.7682	267.6	0.48258	2.3824e-05	0.035978	supercritical
373.0	124.75	256.0	0.0039062	434.42	483.15	1.8438	0.86749	1.808	267.89	0.47354	2.4174e-05	0.036696	supercritical
373.0	128.0	265.51	0.0037663	432.16	480.37	1.8329	0.87089	1.848	268.3	0.46422	2.4543e-05	0.037435	supercritical
373.0	131.25	275.16	0.0036342	429.88	477.58	1.8222	0.87417	1.8882	268.84	0.45464	2.493e-05	0.038193	supercritical
373.0	134.5	284.94	0.0035096	427.59	474.79	1.8117	0.87733	1.9282	269.51	0.44482	2.5337e-05	0.038969	supercritical
373.0	137.75	294.83	0.0033918	425.28	472.0	1.8012	0.88034	1.9678	270.33	0.43477	2.5762e-05	0.03976	supercritical
373.0	141.0	304.81	0.0032807	422.97	469.23	1.7908	0.88321	2.0067	271.29	0.42453	2.6206e-05	0.040565	supercritical
373.0	144.25	314.89	0.0031758	420.66	466.47	1.7806	0.88591	2.0445	272.41	0.41413	2.6669e-05	0.041382	supercritical
373.0	147.5	325.02	0.0030767	418.35	463.73	1.7706	0.88845	2.081	273.68	0.40359	2.7151e-05	0.042208	supercritical
373.0	150.75	335.21	0.0029832	416.04	461.01	1.7606	0.89081	2.116	275.11	0.39295	2.7651e-05	0.04304	supercritical
373.0	154.0	345.42	0.0028951	413.74	458.32	1.7509	0.893	2.149	276.69	0.38225	2.8168e-05	0.043876	supercritical
373.0	157.25	355.63	0.0028119	411.46	455.67	1.7413	0.89501	2.1799	278.45	0.37152	2.8703e-05	0.044714	supercritical
373.0	160.5	365.83	0.0027335	409.19	453.06	1.7319	0.89683	2.2083	280.36	0.3608	2.9254e-05	0.045552	supercritical
373.0	163.75	375.99	0.0026597	406.94	450.5	1.7226	0.89848	2.2343	282.43	0.35012	2.982e-05	0.046387	supercritical
373.0	167.0	386.09	0.0025901	404.72	447.98	1.7136	0.89996	2.2575	284.65	0.33954	3.04e-05	0.047217	supercritical
373.0	170.25	396.1	0.0025246	402.53	445.52	1.7048	0.90127	2.278	287.03	0.32907	3.0992e-05	0.04804	supercritical
373.0	173.5	406.02	0.0024629	400.38	443.11	1.6961	0.90241	2.2956	289.55	0.31874	3.1596e-05	0.048856	supercritical
373.0	176.75	415.82	0.0024049	398.25	440.76	1.6877	0.90341	2.3104	292.21	0.3086	3.2209e-05	0.049663	supercritical
373.0	180.0	425.48	0.0023503	396.17	438.47	1.6795	0.90426	2.3225	295.0	0.29865	3.283e-05	0.05046	supercritical
373.0	183.25	435.0	0.0022989	394.13	436.25	1.6715	0.90498	2.3319	297.92	0.28893	3.3459e-05	0.051246	supercritical
373.0	186.5	444.35	0.0022505	392.12	434.09	1.6638	0.90558	2.3387	300.95	0.27945	3.4093e-05	0.052021	supercritical
373.0	189.75	453.53	0.0022049	390.17	432.0	1.6562	0.90607	2.3431	304.09	0.27023	3.4731e-05	0.052784	supercritical
373.0	193.0	462.53	0.002162	388.25	429.98	1.6489	0.90647	2.3453	307.33	0.26127	3.5372e-05	0.053535	supercritical
373.0	196.25	471.33	0.0021216	386.38	428.02	1.6418	0.90677	2.3454	310.67	0.25258	3.6015e-05	0.054273	supercritical
373.0	199.5	479.94	0.0020836	384.56	426.13	1.6349	0.90699	2.3436	314.08	0.24418	3.6658e-05	0.055	supercritical
373.0	202.75	488.36	0.0020477	382.78	424.3	1.6282	0.90715	2.3402	317.57	0.23605	3.73e-05	0.055714	supercritical
373.0	206.0	496.57	0.0020138	381.05	422.54	1.6217	0.90724	2.3353	321.12	0.22821	3.7941e-05	0.056416	supercritical
373.0	209.25	504.58	0.0019818	379.37	420.84	1.6154	0.90728	2.3291	324.73	0.22065	3.8579e-05	0.057106	supercritical
373.0	212.5	512.39	0.0019516	377.72	419.2	1.6093	0.90727	2.3219	328.4	0.21337	3.9215e-05	0.057784	supercritical
373.0	215.75	520.01	0.001923	376.13	417.62	1.6033	0.90722	2.3136	332.1	0.20637	3.9846e-05	0.058451	supercritical
373.0	219.0	527.43	0.001896	374.57	416.09	1.5976	0.90714	2.3046	335.85	0.19963	4.0473e-05	0.059107	supercritical
373.0	222.25	534.65	0.0018704	373.06	414.62	1.592	0.90703	2.295	339.62	0.19315	4.1096e-05	0.059752	supercritical
373.0	225.5	541.69	0.0018461	371.58	413.21	1.5866	0.90689	2.2848	343.42	0.18693	4.1713e-05	0.060387	supercritical
373.0	228.75	548.54	0.001823	370.15	411.85	1.5814	0.90674	2.2743	347.24	0.18096	4.2324e-05	0.06101	supercritical
373.0	232.0	555.21	0.0018011	368.75	410.53	1.5763	0.90657	2.2634	351.07	0.17522	4.293e-05	0.061624	supercritical
373.0	235.25	561.71	0.0017803	367.39	409.27	1.5713	0.90639	2.2523	354.91	0.16971	4.353e-05	0.062228	supercritical
373.0	238.5	568.03	0.0017605	366.06	408.05	1.5665	0.9062	2.241	358.75	0.16442	4.4123e-05	0.062823	supercritical
373.0	241.75	574.2	0.0017416	364.77	406.87	1.5618	0.90601	2.2297	362.6	0.15934	4.471e-05	0.063408	supercritical
373.0	245.0	580.2	0.0017235	363.51	405.74	1.5573	0.90581	2.2183	366.44	0.15446	4.5291e-05	0.063984	supercritical
