Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
642.0	56.5	46.884	0.021329	714.97	835.48	2.7085	0.91593	1.1351	385.61	0.15589	3.0107e-05	0.046038	vapor
642.0	59.75	49.593	0.020164	714.43	834.91	2.6971	0.91632	1.1373	385.85	0.15502	3.015e-05	0.046135	vapor
642.0	63.0	52.303	0.01912	713.88	834.34	2.6862	0.91671	1.1394	386.09	0.15415	3.0193e-05	0.046232	vapor
642.0	66.25	55.013	0.018178	713.34	833.77	2.6759	0.9171	1.1416	386.33	0.15329	3.0237e-05	0.046329	vapor
642.0	69.5	57.723	0.017324	712.8	833.2	2.6661	0.91748	1.1437	386.59	0.15242	3.0281e-05	0.046426	vapor
642.0	72.75	60.434	0.016547	712.26	832.63	2.6566	0.91787	1.1458	386.85	0.15155	3.0326e-05	0.046523	vapor
642.0	76.0	63.145	0.015836	711.71	832.07	2.6475	0.91825	1.148	387.12	0.15069	3.0372e-05	0.046619	vapor
642.0	76.0	63.145	0.015836	711.71	832.07	2.6475	0.91825	1.148	387.12	0.15069	3.0372e-05	0.046619	supercritical
642.0	76.0	63.145	0.015836	711.71	832.07	2.6475	0.91825	1.148	387.12	0.15069	3.0372e-05	0.046619	supercritical
642.0	79.25	65.857	0.015184	711.17	831.51	2.6388	0.91863	1.1501	387.4	0.14982	3.0418e-05	0.046716	supercritical
642.0	82.5	68.568	0.014584	710.63	830.95	2.6304	0.91901	1.1523	387.69	0.14895	3.0464e-05	0.046813	supercritical
642.0	85.75	71.279	0.014029	710.09	830.39	2.6223	0.91939	1.1544	387.98	0.14808	3.0511e-05	0.046909	supercritical
642.0	89.0	73.99	0.013515	709.55	829.84	2.6145	0.91977	1.1565	388.28	0.14721	3.0559e-05	0.047006	supercritical
642.0	92.25	76.7	0.013038	709.01	829.29	2.6069	0.92015	1.1587	388.58	0.14634	3.0607e-05	0.047104	supercritical
642.0	95.5	79.41	0.012593	708.48	828.74	2.5995	0.92052	1.1608	388.9	0.14547	3.0655e-05	0.047201	supercritical
642.0	98.75	82.12	0.012177	707.94	828.19	2.5924	0.9209	1.1629	389.22	0.1446	3.0705e-05	0.047298	supercritical
642.0	102.0	84.829	0.011788	707.4	827.65	2.5855	0.92127	1.165	389.55	0.14372	3.0754e-05	0.047396	supercritical
642.0	105.25	87.537	0.011424	706.87	827.1	2.5788	0.92164	1.1672	389.88	0.14285	3.0805e-05	0.047494	supercritical
642.0	108.5	90.244	0.011081	706.33	826.56	2.5722	0.92201	1.1693	390.23	0.14198	3.0856e-05	0.047592	supercritical
642.0	111.75	92.95	0.010758	705.8	826.02	2.5659	0.92238	1.1714	390.58	0.1411	3.0907e-05	0.047691	supercritical
642.0	115.0	95.655	0.010454	705.26	825.49	2.5597	0.92275	1.1735	390.94	0.14022	3.0959e-05	0.04779	supercritical
642.0	118.25	98.359	0.010167	704.73	824.95	2.5536	0.92311	1.1756	391.3	0.13934	3.1012e-05	0.04789	supercritical
642.0	121.5	101.06	0.009895	704.2	824.42	2.5477	0.92347	1.1777	391.67	0.13846	3.1065e-05	0.04799	supercritical
642.0	124.75	103.76	0.0096374	703.67	823.89	2.542	0.92384	1.1798	392.05	0.13758	3.1119e-05	0.04809	supercritical
642.0	128.0	106.46	0.0093931	703.14	823.37	2.5363	0.9242	1.1819	392.44	0.1367	3.1173e-05	0.048191	supercritical
642.0	131.25	109.16	0.0091609	702.61	822.84	2.5308	0.92456	1.1839	392.84	0.13581	3.1228e-05	0.048293	supercritical
642.0	134.5	111.86	0.0089401	702.08	822.32	2.5254	0.92492	1.186	393.24	0.13493	3.1284e-05	0.048395	supercritical
642.0	137.75	114.55	0.0087299	701.55	821.8	2.5201	0.92527	1.1881	393.65	0.13404	3.134e-05	0.048497	supercritical
642.0	141.0	117.24	0.0085294	701.02	821.29	2.515	0.92563	1.1902	394.07	0.13316	3.1397e-05	0.0486	supercritical
642.0	144.25	119.93	0.0083381	700.5	820.77	2.5099	0.92598	1.1922	394.49	0.13227	3.1455e-05	0.048704	supercritical
642.0	147.5	122.62	0.0081554	699.97	820.26	2.5049	0.92633	1.1943	394.93	0.13138	3.1513e-05	0.048808	supercritical
642.0	150.75	125.3	0.0079806	699.45	819.75	2.5	0.92668	1.1963	395.37	0.13049	3.1572e-05	0.048913	supercritical
642.0	154.0	127.99	0.0078133	698.92	819.25	2.4953	0.92703	1.1983	395.82	0.1296	3.1631e-05	0.049019	supercritical
642.0	157.25	130.67	0.0076531	698.4	818.74	2.4906	0.92737	1.2003	396.27	0.12871	3.1691e-05	0.049125	supercritical
642.0	160.5	133.34	0.0074994	697.88	818.24	2.4859	0.92772	1.2024	396.74	0.12781	3.1751e-05	0.049232	supercritical
642.0	163.75	136.02	0.0073519	697.36	817.75	2.4814	0.92806	1.2044	397.21	0.12692	3.1813e-05	0.04934	supercritical
642.0	167.0	138.69	0.0072103	696.84	817.25	2.477	0.9284	1.2064	397.69	0.12602	3.1874e-05	0.049448	supercritical
642.0	170.25	141.36	0.0070742	696.32	816.76	2.4726	0.92874	1.2084	398.17	0.12513	3.1937e-05	0.049558	supercritical
642.0	173.5	144.02	0.0069433	695.8	816.27	2.4683	0.92908	1.2103	398.67	0.12423	3.2e-05	0.049667	supercritical
642.0	176.75	146.69	0.0068172	695.28	815.78	2.464	0.92942	1.2123	399.17	0.12333	3.2064e-05	0.049778	supercritical
642.0	180.0	149.35	0.0066959	694.77	815.3	2.4598	0.92975	1.2143	399.68	0.12244	3.2128e-05	0.049889	supercritical
642.0	183.25	152.0	0.0065789	694.25	814.81	2.4557	0.93008	1.2162	400.2	0.12154	3.2193e-05	0.050002	supercritical
642.0	186.5	154.65	0.0064661	693.74	814.33	2.4517	0.93041	1.2182	400.72	0.12064	3.2259e-05	0.050114	supercritical
642.0	189.75	157.3	0.0063573	693.23	813.86	2.4477	0.93074	1.2201	401.26	0.11974	3.2325e-05	0.050228	supercritical
642.0	193.0	159.94	0.0062522	692.72	813.38	2.4438	0.93107	1.222	401.8	0.11884	3.2392e-05	0.050343	supercritical
642.0	196.25	162.59	0.0061506	692.21	812.91	2.4399	0.9314	1.2239	402.35	0.11794	3.246e-05	0.050458	supercritical
642.0	199.5	165.22	0.0060525	691.7	812.45	2.4361	0.93172	1.2258	402.9	0.11705	3.2528e-05	0.050574	supercritical
642.0	202.75	167.85	0.0059576	691.19	811.98	2.4323	0.93204	1.2277	403.47	0.11615	3.2597e-05	0.050691	supercritical
642.0	206.0	170.48	0.0058658	690.68	811.52	2.4286	0.93236	1.2296	404.04	0.11525	3.2667e-05	0.050808	supercritical
642.0	209.25	173.1	0.0057769	690.18	811.06	2.4249	0.93268	1.2315	404.62	0.11435	3.2737e-05	0.050927	supercritical
642.0	212.5	175.72	0.0056908	689.68	810.6	2.4213	0.933	1.2333	405.21	0.11345	3.2808e-05	0.051046	supercritical
642.0	215.75	178.34	0.0056074	689.17	810.15	2.4178	0.93331	1.2352	405.8	0.11255	3.2879e-05	0.051166	supercritical
642.0	219.0	180.95	0.0055265	688.67	809.7	2.4142	0.93362	1.237	406.4	0.11166	3.2951e-05	0.051287	supercritical
642.0	222.25	183.55	0.0054481	688.17	809.25	2.4108	0.93394	1.2388	407.01	0.11076	3.3024e-05	0.051409	supercritical
642.0	225.5	186.15	0.005372	687.67	808.81	2.4073	0.93425	1.2406	407.63	0.10986	3.3098e-05	0.051531	supercritical
642.0	228.75	188.75	0.0052981	687.17	808.37	2.404	0.93455	1.2424	408.26	0.10897	3.3172e-05	0.051654	supercritical
642.0	232.0	191.34	0.0052264	686.68	807.93	2.4006	0.93486	1.2442	408.89	0.10807	3.3247e-05	0.051778	supercritical
642.0	235.25	193.92	0.0051568	686.18	807.49	2.3973	0.93516	1.2459	409.53	0.10718	3.3322e-05	0.051903	supercritical
642.0	238.5	196.5	0.0050891	685.69	807.06	2.394	0.93546	1.2477	410.18	0.10629	3.3398e-05	0.052029	supercritical
642.0	241.75	199.07	0.0050233	685.19	806.63	2.3908	0.93577	1.2494	410.84	0.1054	3.3475e-05	0.052155	supercritical
642.0	245.0	201.64	0.0049593	684.7	806.2	2.3876	0.93606	1.2512	411.5	0.10451	3.3552e-05	0.052282	supercritical
642.0	248.25	204.2	0.0048971	684.21	805.78	2.3845	0.93636	1.2529	412.17	0.10362	3.363e-05	0.05241	supercritical
642.0	251.5	206.76	0.0048365	683.72	805.36	2.3813	0.93666	1.2546	412.85	0.10274	3.3708e-05	0.052539	supercritical
642.0	254.75	209.31	0.0047776	683.23	804.94	2.3783	0.93695	1.2563	413.53	0.10185	3.3788e-05	0.052668	supercritical
642.0	258.0	211.86	0.0047202	682.75	804.53	2.3752	0.93724	1.258	414.23	0.10097	3.3867e-05	0.052798	supercritical
642.0	261.25	214.4	0.0046643	682.26	804.12	2.3722	0.93753	1.2596	414.93	0.10009	3.3948e-05	0.052929	supercritical
642.0	264.5	216.93	0.0046098	681.78	803.71	2.3692	0.93782	1.2613	415.63	0.09921	3.4029e-05	0.053061	supercritical
642.0	267.75	219.46	0.0045567	681.3	803.3	2.3663	0.93811	1.2629	416.35	0.098334	3.4111e-05	0.053193	supercritical
642.0	271.0	221.98	0.004505	680.82	802.9	2.3633	0.93839	1.2645	417.07	0.09746	3.4193e-05	0.053327	supercritical
642.0	274.25	224.49	0.0044545	680.34	802.5	2.3604	0.93867	1.2661	417.8	0.096588	3.4276e-05	0.05346	supercritical
642.0	277.5	227.0	0.0044053	679.86	802.11	2.3576	0.93895	1.2677	418.54	0.095719	3.4359e-05	0.053595	supercritical
642.0	280.75	229.5	0.0043573	679.38	801.71	2.3548	0.93923	1.2693	419.28	0.094852	3.4444e-05	0.05373	supercritical
642.0	284.0	232.0	0.0043104	678.91	801.33	2.352	0.93951	1.2709	420.03	0.093988	3.4528e-05	0.053866	supercritical
642.0	287.25	234.48	0.0042647	678.44	800.94	2.3492	0.93979	1.2724	420.79	0.093127	3.4614e-05	0.054003	supercritical
642.0	290.5	236.97	0.00422	677.96	800.55	2.3464	0.94006	1.2739	421.55	0.092268	3.47e-05	0.05414	supercritical
642.0	293.75	239.44	0.0041764	677.49	800.17	2.3437	0.94033	1.2755	422.32	0.091413	3.4786e-05	0.054278	supercritical
642.0	297.0	241.91	0.0041338	677.02	799.8	2.341	0.94061	1.277	423.1	0.09056	3.4873e-05	0.054416	supercritical
642.0	300.25	244.37	0.0040921	676.56	799.42	2.3384	0.94087	1.2785	423.88	0.089711	3.4961e-05	0.054555	supercritical
642.0	303.5	246.83	0.0040514	676.09	799.05	2.3357	0.94114	1.28	424.67	0.088865	3.505e-05	0.054695	supercritical
642.0	306.75	249.27	0.0040117	675.63	798.68	2.3331	0.94141	1.2814	425.47	0.088022	3.5138e-05	0.054835	supercritical
642.0	310.0	251.71	0.0039728	675.16	798.32	2.3305	0.94167	1.2829	426.27	0.087183	3.5228e-05	0.054976	supercritical
642.0	313.25	254.15	0.0039347	674.7	797.96	2.328	0.94193	1.2843	427.08	0.086347	3.5318e-05	0.055117	supercritical
642.0	316.5	256.57	0.0038975	674.24	797.6	2.3254	0.9422	1.2857	427.9	0.085514	3.5409e-05	0.055259	supercritical
642.0	319.75	258.99	0.0038611	673.78	797.24	2.3229	0.94246	1.2871	428.72	0.084686	3.55e-05	0.055402	supercritical
642.0	323.0	261.4	0.0038255	673.32	796.89	2.3204	0.94271	1.2885	429.55	0.083861	3.5592e-05	0.055545	supercritical
642.0	326.25	263.81	0.0037907	672.87	796.54	2.3179	0.94297	1.2899	430.38	0.083039	3.5684e-05	0.055689	supercritical
642.0	329.5	266.2	0.0037565	672.41	796.19	2.3155	0.94322	1.2913	431.22	0.082222	3.5777e-05	0.055833	supercritical
642.0	332.75	268.59	0.0037231	671.96	795.85	2.3131	0.94348	1.2926	432.07	0.081409	3.587e-05	0.055977	supercritical
642.0	336.0	270.97	0.0036904	671.51	795.51	2.3106	0.94373	1.294	432.92	0.080599	3.5964e-05	0.056122	supercritical
642.0	339.25	273.35	0.0036584	671.06	795.17	2.3083	0.94398	1.2953	433.78	0.079794	3.6059e-05	0.056268	supercritical
642.0	342.5	275.71	0.003627	670.61	794.84	2.3059	0.94423	1.2966	434.64	0.078993	3.6154e-05	0.056414	supercritical
642.0	345.75	278.07	0.0035962	670.17	794.51	2.3035	0.94447	1.2979	435.51	0.078196	3.6249e-05	0.05656	supercritical
642.0	349.0	280.42	0.0035661	669.72	794.18	2.3012	0.94472	1.2992	436.39	0.077403	3.6345e-05	0.056707	supercritical
642.0	352.25	282.77	0.0035365	669.28	793.85	2.2989	0.94496	1.3005	437.27	0.076615	3.6442e-05	0.056854	supercritical
642.0	355.5	285.1	0.0035075	668.84	793.53	2.2966	0.9452	1.3017	438.15	0.075831	3.6539e-05	0.057002	supercritical
642.0	358.75	287.43	0.0034791	668.4	793.21	2.2944	0.94545	1.303	439.05	0.075051	3.6637e-05	0.05715	supercritical
642.0	362.0	289.75	0.0034513	667.96	792.89	2.2921	0.94568	1.3042	439.94	0.074276	3.6735e-05	0.057298	supercritical
642.0	365.25	292.06	0.003424	667.52	792.58	2.2899	0.94592	1.3054	440.84	0.073505	3.6833e-05	0.057447	supercritical
642.0	368.5	294.36	0.0033972	667.08	792.27	2.2877	0.94616	1.3066	441.75	0.072739	3.6933e-05	0.057596	supercritical
