Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
797.0	56.5	37.296	0.026812	864.13	1015.6	2.9596	0.98222	1.1884	429.67	0.085406	3.5339e-05	0.057686	vapor
797.0	59.75	39.425	0.025365	863.74	1015.3	2.9486	0.98242	1.1896	430.04	0.084868	3.537e-05	0.057762	vapor
797.0	63.0	41.552	0.024066	863.35	1015.0	2.9381	0.98261	1.1908	430.42	0.084332	3.5401e-05	0.057838	vapor
797.0	66.25	43.677	0.022895	862.96	1014.6	2.9281	0.98281	1.1919	430.8	0.083798	3.5432e-05	0.057913	vapor
797.0	69.5	45.8	0.021834	862.57	1014.3	2.9186	0.983	1.1931	431.18	0.083267	3.5464e-05	0.057988	vapor
797.0	72.75	47.92	0.020868	862.18	1014.0	2.9095	0.9832	1.1942	431.57	0.082738	3.5496e-05	0.058061	vapor
797.0	76.0	50.039	0.019985	861.79	1013.7	2.9007	0.98339	1.1954	431.96	0.082211	3.5528e-05	0.058135	vapor
797.0	76.0	50.039	0.019985	861.79	1013.7	2.9007	0.98339	1.1954	431.96	0.082211	3.5528e-05	0.058135	supercritical
797.0	76.0	50.039	0.019985	861.79	1013.7	2.9007	0.98339	1.1954	431.96	0.082211	3.5528e-05	0.058135	supercritical
797.0	79.25	52.155	0.019174	861.41	1013.4	2.8924	0.98359	1.1965	432.36	0.081686	3.556e-05	0.058207	supercritical
797.0	82.5	54.269	0.018427	861.02	1013.0	2.8843	0.98378	1.1977	432.76	0.081163	3.5592e-05	0.058279	supercritical
797.0	85.75	56.38	0.017737	860.63	1012.7	2.8765	0.98397	1.1988	433.16	0.080642	3.5625e-05	0.058351	supercritical
797.0	89.0	58.489	0.017097	860.25	1012.4	2.869	0.98417	1.2	433.57	0.080123	3.5658e-05	0.058422	supercritical
797.0	92.25	60.596	0.016503	859.86	1012.1	2.8618	0.98436	1.2011	433.98	0.079605	3.5691e-05	0.058493	supercritical
797.0	95.5	62.701	0.015949	859.48	1011.8	2.8548	0.98455	1.2022	434.39	0.07909	3.5725e-05	0.058563	supercritical
797.0	98.75	64.803	0.015432	859.1	1011.5	2.848	0.98474	1.2034	434.81	0.078576	3.5758e-05	0.058633	supercritical
797.0	102.0	66.902	0.014947	858.71	1011.2	2.8414	0.98493	1.2045	435.23	0.078063	3.5792e-05	0.058702	supercritical
797.0	105.25	68.999	0.014493	858.33	1010.9	2.835	0.98512	1.2056	435.66	0.077552	3.5827e-05	0.058771	supercritical
797.0	108.5	71.093	0.014066	857.95	1010.6	2.8288	0.98531	1.2067	436.09	0.077042	3.5861e-05	0.05884	supercritical
797.0	111.75	73.185	0.013664	857.57	1010.3	2.8228	0.9855	1.2079	436.52	0.076534	3.5896e-05	0.058909	supercritical
797.0	115.0	75.274	0.013285	857.19	1010.0	2.8169	0.98569	1.209	436.96	0.076027	3.5931e-05	0.058977	supercritical
797.0	118.25	77.36	0.012927	856.81	1009.7	2.8112	0.98588	1.2101	437.4	0.075522	3.5966e-05	0.059046	supercritical
797.0	121.5	79.444	0.012587	856.44	1009.4	2.8056	0.98606	1.2112	437.84	0.075018	3.6002e-05	0.059114	supercritical
797.0	124.75	81.525	0.012266	856.06	1009.1	2.8002	0.98625	1.2123	438.29	0.074515	3.6038e-05	0.059182	supercritical
797.0	128.0	83.603	0.011961	855.68	1008.8	2.7949	0.98644	1.2134	438.74	0.074013	3.6074e-05	0.059249	supercritical
797.0	131.25	85.679	0.011672	855.31	1008.5	2.7897	0.98662	1.2145	439.19	0.073512	3.6111e-05	0.059317	supercritical
797.0	134.5	87.751	0.011396	854.93	1008.2	2.7847	0.98681	1.2156	439.65	0.073013	3.6147e-05	0.059385	supercritical
797.0	137.75	89.821	0.011133	854.56	1007.9	2.7797	0.98699	1.2166	440.11	0.072515	3.6184e-05	0.059452	supercritical
797.0	141.0	91.888	0.010883	854.18	1007.6	2.7749	0.98718	1.2177	440.58	0.072017	3.6222e-05	0.05952	supercritical
797.0	144.25	93.952	0.010644	853.81	1007.3	2.7701	0.98736	1.2188	441.05	0.071521	3.6259e-05	0.059588	supercritical
797.0	147.5	96.013	0.010415	853.44	1007.1	2.7655	0.98755	1.2199	441.52	0.071025	3.6297e-05	0.059655	supercritical
797.0	150.75	98.07	0.010197	853.07	1006.8	2.7609	0.98773	1.2209	441.99	0.070531	3.6335e-05	0.059723	supercritical
797.0	154.0	100.13	0.0099875	852.7	1006.5	2.7564	0.98791	1.222	442.47	0.070037	3.6374e-05	0.059791	supercritical
797.0	157.25	102.18	0.0097869	852.33	1006.2	2.7521	0.98809	1.2231	442.96	0.069545	3.6413e-05	0.059858	supercritical
797.0	160.5	104.23	0.0095945	851.96	1006.0	2.7478	0.98828	1.2241	443.44	0.069053	3.6452e-05	0.059926	supercritical
