Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
351.0	56.5	103.45	0.0096668	455.84	510.46	2.0326	0.78797	1.2431	264.26	0.69955	1.8779e-05	0.025125	vapor
351.0	59.75	110.9	0.0090174	453.72	507.6	2.0158	0.79346	1.2754	262.88	0.69548	1.8922e-05	0.025537	vapor
351.0	63.0	118.57	0.0084338	451.56	504.69	1.9994	0.79905	1.3099	261.51	0.691	1.9076e-05	0.025976	vapor
351.0	66.25	126.48	0.0079063	449.34	501.72	1.9834	0.80473	1.3467	260.18	0.68609	1.9242e-05	0.026445	vapor
351.0	69.5	134.64	0.007427	447.07	498.68	1.9677	0.81052	1.386	258.88	0.68072	1.9421e-05	0.026946	vapor
351.0	72.75	143.07	0.0069894	444.74	495.58	1.9522	0.8164	1.428	257.61	0.67485	1.9614e-05	0.027481	vapor
351.0	76.0	151.78	0.0065884	442.35	492.42	1.9369	0.82237	1.473	256.39	0.66845	1.9822e-05	0.028054	vapor
351.0	76.0	151.78	0.0065884	442.35	492.42	1.9369	0.82237	1.473	256.39	0.66845	1.9822e-05	0.028054	supercritical
351.0	76.0	151.78	0.0065884	442.35	492.42	1.9369	0.82237	1.473	256.39	0.66845	1.9822e-05	0.028054	supercritical
351.0	79.25	160.79	0.0062193	439.9	489.18	1.9217	0.82843	1.5211	255.22	0.66149	2.0047e-05	0.028666	supercritical
351.0	82.5	170.11	0.0058786	437.38	485.88	1.9067	0.83458	1.5726	254.12	0.65393	2.029e-05	0.029322	supercritical
351.0	85.75	179.76	0.0055629	434.8	482.5	1.8918	0.84079	1.6277	253.07	0.64574	2.0554e-05	0.030024	supercritical
351.0	89.0	189.76	0.0052697	432.14	479.04	1.8769	0.84707	1.6867	252.11	0.63689	2.0839e-05	0.030775	supercritical
351.0	92.25	200.13	0.0049967	429.42	475.52	1.8621	0.8534	1.7497	251.24	0.62734	2.1149e-05	0.031578	supercritical
351.0	95.5	210.88	0.004742	426.62	471.91	1.8473	0.85975	1.817	250.46	0.61706	2.1485e-05	0.032435	supercritical
351.0	98.75	222.03	0.0045038	423.75	468.23	1.8326	0.86611	1.8886	249.81	0.60603	2.1849e-05	0.033349	supercritical
