Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
514.0	56.5	60.209	0.016609	599.04	692.88	2.4609	0.8499	1.0962	342.53	0.27212	2.5357e-05	0.036192	vapor
514.0	59.75	63.788	0.015677	598.24	691.91	2.4488	0.85078	1.1006	342.5	0.27073	2.5417e-05	0.036327	vapor
514.0	63.0	67.378	0.014842	597.44	690.94	2.4373	0.85165	1.1051	342.48	0.26931	2.5479e-05	0.036462	vapor
514.0	66.25	70.978	0.014089	596.64	689.98	2.4263	0.85252	1.1096	342.48	0.26788	2.5541e-05	0.036599	vapor
514.0	69.5	74.59	0.013407	595.84	689.01	2.4157	0.85339	1.1142	342.49	0.26643	2.5605e-05	0.036737	vapor
514.0	72.75	78.213	0.012786	595.03	688.05	2.4055	0.85426	1.1187	342.51	0.26497	2.567e-05	0.036876	vapor
514.0	76.0	81.846	0.012218	594.23	687.08	2.3958	0.85512	1.1233	342.55	0.26349	2.5737e-05	0.037017	vapor
514.0	76.0	81.846	0.012218	594.23	687.08	2.3958	0.85512	1.1233	342.55	0.26349	2.5737e-05	0.037017	supercritical
514.0	76.0	81.846	0.012218	594.23	687.08	2.3958	0.85512	1.1233	342.55	0.26349	2.5737e-05	0.037017	supercritical
514.0	79.25	85.49	0.011697	593.42	686.12	2.3863	0.85598	1.1279	342.6	0.26199	2.5804e-05	0.037159	supercritical
514.0	82.5	89.143	0.011218	592.62	685.16	2.3772	0.85684	1.1325	342.67	0.26047	2.5874e-05	0.037302	supercritical
514.0	85.75	92.806	0.010775	591.81	684.21	2.3684	0.8577	1.1372	342.75	0.25894	2.5944e-05	0.037447	supercritical
514.0	89.0	96.479	0.010365	591.0	683.25	2.3599	0.85855	1.1418	342.84	0.25739	2.6016e-05	0.037593	supercritical
514.0	92.25	100.16	0.0099839	590.19	682.29	2.3516	0.8594	1.1465	342.95	0.25582	2.6089e-05	0.037741	supercritical
514.0	95.5	103.85	0.0096291	589.38	681.34	2.3435	0.86024	1.1512	343.08	0.25423	2.6164e-05	0.037891	supercritical
514.0	98.75	107.55	0.0092979	588.58	680.39	2.3357	0.86108	1.1559	343.22	0.25263	2.624e-05	0.038042	supercritical
514.0	102.0	111.26	0.0089881	587.77	679.44	2.3281	0.86192	1.1606	343.37	0.25101	2.6317e-05	0.038195	supercritical
514.0	105.25	114.97	0.0086976	586.96	678.5	2.3206	0.86275	1.1653	343.54	0.24938	2.6396e-05	0.038349	supercritical
514.0	108.5	118.7	0.0084248	586.15	677.56	2.3134	0.86358	1.17	343.73	0.24772	2.6476e-05	0.038505	supercritical
514.0	111.75	122.43	0.0081681	585.34	676.62	2.3063	0.8644	1.1748	343.93	0.24605	2.6558e-05	0.038664	supercritical
