Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
445.0	56.5	71.95	0.013898	538.94	617.46	2.3033	0.81326	1.0947	314.67	0.38716	2.2618e-05	0.031022	vapor
445.0	59.75	76.385	0.013092	537.86	616.08	2.2904	0.81485	1.1027	314.34	0.38521	2.2695e-05	0.031201	vapor
445.0	63.0	80.852	0.012368	536.78	614.7	2.278	0.81645	1.1108	314.04	0.38321	2.2774e-05	0.031384	vapor
445.0	66.25	85.352	0.011716	535.7	613.32	2.2661	0.81804	1.1189	313.75	0.38115	2.2856e-05	0.031571	vapor
445.0	69.5	89.884	0.011125	534.61	611.93	2.2546	0.81963	1.1272	313.49	0.37904	2.294e-05	0.031761	vapor
445.0	72.75	94.448	0.010588	533.51	610.54	2.2436	0.82122	1.1356	313.24	0.37687	2.3027e-05	0.031955	vapor
445.0	76.0	99.045	0.010096	532.42	609.15	2.2329	0.8228	1.1441	313.02	0.37464	2.3117e-05	0.032152	vapor
445.0	76.0	99.045	0.010096	532.42	609.15	2.2329	0.8228	1.1441	313.02	0.37464	2.3117e-05	0.032152	supercritical
445.0	76.0	99.045	0.010096	532.42	609.15	2.2329	0.8228	1.1441	313.02	0.37464	2.3117e-05	0.032152	supercritical
445.0	79.25	103.67	0.0096457	531.31	607.75	2.2226	0.82438	1.1527	312.82	0.37235	2.3209e-05	0.032354	supercritical
445.0	82.5	108.33	0.0092308	530.2	606.36	2.2125	0.82596	1.1615	312.64	0.37001	2.3304e-05	0.032559	supercritical
445.0	85.75	113.02	0.0088477	529.09	604.96	2.2028	0.82753	1.1703	312.49	0.36761	2.3401e-05	0.032768	supercritical
445.0	89.0	117.75	0.0084928	527.98	603.56	2.1933	0.8291	1.1792	312.36	0.36515	2.3502e-05	0.032982	supercritical
445.0	92.25	122.5	0.0081633	526.86	602.16	2.1841	0.83065	1.1882	312.25	0.36263	2.3605e-05	0.0332	supercritical
445.0	95.5	127.28	0.0078566	525.73	600.76	2.1751	0.83221	1.1973	312.17	0.36006	2.3712e-05	0.033422	supercritical
445.0	98.75	132.1	0.0075703	524.6	599.36	2.1663	0.83375	1.2065	312.11	0.35742	2.3821e-05	0.033648	supercritical
445.0	102.0	136.94	0.0073026	523.47	597.96	2.1577	0.83529	1.2157	312.09	0.35473	2.3934e-05	0.033878	supercritical
445.0	105.25	141.81	0.0070518	522.34	596.56	2.1494	0.83681	1.2251	312.08	0.35199	2.4049e-05	0.034113	supercritical
445.0	108.5	146.71	0.0068163	521.2	595.16	2.1411	0.83833	1.2345	312.11	0.34918	2.4168e-05	0.034353	supercritical
445.0	111.75	151.63	0.0065948	520.06	593.76	2.1331	0.83984	1.2439	312.17	0.34632	2.429e-05	0.034597	supercritical
445.0	115.0	156.59	0.0063862	518.91	592.36	2.1252	0.84133	1.2535	312.25	0.34341	2.4416e-05	0.034845	supercritical
445.0	118.25	161.57	0.0061894	517.77	590.96	2.1175	0.84282	1.263	312.37	0.34044	2.4545e-05	0.035098	supercritical
445.0	121.5	166.57	0.0060035	516.62	589.56	2.1099	0.84429	1.2727	312.52	0.33743	2.4677e-05	0.035356	supercritical
445.0	124.75	171.6	0.0058276	515.47	588.17	2.1024	0.84574	1.2823	312.69	0.33436	2.4813e-05	0.035619	supercritical
445.0	128.0	176.65	0.005661	514.31	586.77	2.0951	0.84719	1.292	312.9	0.33124	2.4952e-05	0.035886	supercritical
445.0	131.25	181.72	0.0055029	513.16	585.39	2.0879	0.84862	1.3018	313.15	0.32807	2.5095e-05	0.036157	supercritical
445.0	134.5	186.82	0.0053529	512.0	584.0	2.0808	0.85003	1.3115	313.42	0.32486	2.5242e-05	0.036434	supercritical
445.0	137.75	191.93	0.0052102	510.85	582.62	2.0739	0.85143	1.3212	313.73	0.3216	2.5392e-05	0.036714	supercritical
445.0	141.0	197.06	0.0050745	509.69	581.24	2.067	0.85281	1.331	314.08	0.3183	2.5546e-05	0.037	supercritical
445.0	144.25	202.21	0.0049452	508.53	579.86	2.0603	0.85417	1.3407	314.46	0.31496	2.5704e-05	0.03729	supercritical
445.0	147.5	207.38	0.004822	507.37	578.49	2.0536	0.85552	1.3504	314.87	0.31158	2.5865e-05	0.037585	supercritical
445.0	150.75	212.56	0.0047045	506.21	577.13	2.0471	0.85685	1.3601	315.32	0.30816	2.603e-05	0.037884	supercritical
445.0	154.0	217.76	0.0045923	505.05	575.77	2.0406	0.85815	1.3698	315.81	0.30471	2.6199e-05	0.038187	supercritical
445.0	157.25	222.97	0.004485	503.89	574.41	2.0343	0.85944	1.3794	316.33	0.30123	2.6372e-05	0.038495	supercritical
445.0	160.5	228.18	0.0043824	502.73	573.07	2.028	0.86071	1.389	316.9	0.29772	2.6549e-05	0.038807	supercritical
445.0	163.75	233.41	0.0042843	501.57	571.73	2.0218	0.86196	1.3985	317.49	0.29418	2.6729e-05	0.039123	supercritical
445.0	167.0	238.64	0.0041903	500.41	570.39	2.0157	0.86319	1.4079	318.13	0.29062	2.6913e-05	0.039444	supercritical
445.0	170.25	243.88	0.0041003	499.26	569.07	2.0097	0.8644	1.4172	318.81	0.28703	2.7101e-05	0.039768	supercritical
445.0	173.5	249.13	0.004014	498.11	567.75	2.0038	0.86558	1.4265	319.52	0.28343	2.7293e-05	0.040096	supercritical
445.0	176.75	254.38	0.0039312	496.96	566.44	1.998	0.86674	1.4356	320.27	0.27981	2.7489e-05	0.040428	supercritical
445.0	180.0	259.62	0.0038517	495.81	565.14	1.9922	0.86789	1.4446	321.06	0.27617	2.7688e-05	0.040763	supercritical
445.0	183.25	264.87	0.0037754	494.66	563.85	1.9865	0.869	1.4536	321.89	0.27252	2.7892e-05	0.041102	supercritical
445.0	186.5	270.12	0.0037021	493.52	562.56	1.9809	0.8701	1.4623	322.75	0.26887	2.8098e-05	0.041445	supercritical
445.0	189.75	275.36	0.0036316	492.38	561.29	1.9754	0.87117	1.471	323.66	0.26521	2.8309e-05	0.04179	supercritical
445.0	193.0	280.59	0.0035639	491.25	560.03	1.9699	0.87222	1.4795	324.6	0.26154	2.8523e-05	0.042139	supercritical
445.0	196.25	285.82	0.0034987	490.11	558.78	1.9645	0.87325	1.4879	325.58	0.25788	2.8741e-05	0.04249	supercritical
445.0	199.5	291.04	0.0034359	488.99	557.53	1.9592	0.87425	1.496	326.6	0.25421	2.8963e-05	0.042845	supercritical
445.0	202.75	296.25	0.0033755	487.86	556.3	1.9539	0.87523	1.5041	327.66	0.25055	2.9187e-05	0.043201	supercritical
445.0	206.0	301.44	0.0033174	486.75	555.08	1.9487	0.87618	1.5119	328.76	0.2469	2.9416e-05	0.043561	supercritical
445.0	209.25	306.63	0.0032613	485.63	553.88	1.9436	0.87712	1.5196	329.89	0.24326	2.9647e-05	0.043922	supercritical
445.0	212.5	311.79	0.0032073	484.53	552.68	1.9386	0.87803	1.5271	331.05	0.23962	2.9882e-05	0.044285	supercritical
445.0	215.75	316.94	0.0031552	483.43	551.5	1.9336	0.87891	1.5344	332.26	0.23601	3.012e-05	0.044651	supercritical
445.0	219.0	322.07	0.0031049	482.33	550.33	1.9287	0.87977	1.5415	333.5	0.23241	3.0362e-05	0.045018	supercritical
445.0	222.25	327.18	0.0030564	481.24	549.17	1.9238	0.88061	1.5484	334.77	0.22882	3.0606e-05	0.045387	supercritical
445.0	225.5	332.27	0.0030096	480.16	548.03	1.919	0.88143	1.5551	336.08	0.22526	3.0853e-05	0.045757	supercritical
445.0	228.75	337.33	0.0029644	479.08	546.89	1.9143	0.88222	1.5616	337.43	0.22172	3.1104e-05	0.046128	supercritical
445.0	232.0	342.37	0.0029208	478.01	545.78	1.9097	0.88299	1.5679	338.8	0.21821	3.1357e-05	0.046501	supercritical
445.0	235.25	347.39	0.0028786	476.95	544.67	1.9051	0.88374	1.574	340.21	0.21472	3.1612e-05	0.046874	supercritical
445.0	238.5	352.37	0.0028379	475.89	543.58	1.9005	0.88447	1.5799	341.65	0.21126	3.1871e-05	0.047248	supercritical
445.0	241.75	357.33	0.0027985	474.85	542.5	1.896	0.88518	1.5855	343.12	0.20784	3.2132e-05	0.047623	supercritical
445.0	245.0	362.26	0.0027604	473.81	541.44	1.8916	0.88586	1.591	344.62	0.20444	3.2395e-05	0.047998	supercritical
445.0	248.25	367.16	0.0027236	472.77	540.39	1.8873	0.88653	1.5962	346.16	0.20107	3.2661e-05	0.048374	supercritical
445.0	251.5	372.03	0.002688	471.75	539.35	1.8829	0.88717	1.6013	347.72	0.19775	3.2929e-05	0.048749	supercritical
445.0	254.75	376.87	0.0026535	470.73	538.33	1.8787	0.88779	1.6061	349.3	0.19445	3.3199e-05	0.049125	supercritical
445.0	258.0	381.67	0.0026201	469.72	537.32	1.8745	0.8884	1.6107	350.92	0.19119	3.3471e-05	0.049501	supercritical
445.0	261.25	386.44	0.0025878	468.72	536.33	1.8704	0.88898	1.6151	352.56	0.18797	3.3745e-05	0.049876	supercritical
445.0	264.5	391.17	0.0025564	467.73	535.35	1.8663	0.88955	1.6193	354.23	0.18479	3.4021e-05	0.050251	supercritical
445.0	267.75	395.86	0.0025261	466.74	534.38	1.8623	0.8901	1.6233	355.92	0.18165	3.4298e-05	0.050626	supercritical
445.0	271.0	400.53	0.0024967	465.77	533.43	1.8583	0.89063	1.6271	357.64	0.17855	3.4578e-05	0.050999	supercritical
