Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
301.0	56.5	157.51	0.0063489	398.25	434.12	1.7963	0.90485	2.2796	215.59	1.0405	1.7305e-05	0.027164	vapor
301.0	59.75	176.85	0.0056546	391.97	425.75	1.762	0.94522	2.7484	210.31	1.0232	1.78e-05	0.029809	vapor
301.0	63.0	201.17	0.0049708	384.18	415.5	1.7222	1.0016	3.5969	204.02	0.99633	1.8495e-05	0.033922	vapor
301.0	66.25	235.93	0.0042385	373.29	401.37	1.6703	1.0967	5.7601	195.48	0.94852	1.9635e-05	0.041905	vapor
301.0	68.683	286.15	0.0034947	358.05	382.05	1.6029	1.2972	15.859	182.61	0.86134	2.1599e-05	0.062688	vapor
301.0	68.683	658.69	0.0015182	278.32	288.75	1.293	1.1631	11.053	228.18	0.30643	5.0661e-05	0.082031	liquid
301.0	69.5	671.26	0.0014897	276.06	286.42	1.2848	1.1165	8.8067	244.56	0.27865	5.2216e-05	0.080257	liquid
301.0	72.75	701.71	0.0014251	270.4	280.77	1.2645	1.0498	5.8846	281.56	0.22144	5.6201e-05	0.079073	liquid
301.0	76.0	721.07	0.0013868	266.68	277.22	1.2512	1.0214	4.8658	305.68	0.19042	5.8906e-05	0.079745	liquid
301.0	79.25	735.83	0.001359	263.79	274.56	1.2409	1.003	4.3109	324.85	0.16923	6.1065e-05	0.080737	liquid
301.0	82.5	747.95	0.001337	261.37	272.4	1.2322	0.98965	3.9505	341.09	0.1533	6.2905e-05	0.081787	liquid
301.0	85.75	758.34	0.0013187	259.28	270.58	1.2248	0.97939	3.6924	355.35	0.14063	6.4532e-05	0.082825	liquid
301.0	89.0	767.48	0.001303	257.41	269.0	1.2181	0.97122	3.4958	368.15	0.13017	6.6004e-05	0.083829	liquid
301.0	92.25	775.68	0.0012892	255.72	267.61	1.2121	0.96455	3.3395	379.82	0.12129	6.7357e-05	0.084794	liquid
301.0	95.5	783.13	0.0012769	254.17	266.36	1.2065	0.959	3.2113	390.6	0.11362	6.8615e-05	0.085719	liquid
301.0	98.75	789.99	0.0012658	252.73	265.23	1.2014	0.95432	3.1037	400.64	0.10688	6.9796e-05	0.086607	liquid
301.0	102.0	796.33	0.0012558	251.39	264.2	1.1966	0.95031	3.0117	410.06	0.10089	7.0912e-05	0.087461	liquid
301.0	105.25	802.26	0.0012465	250.13	263.25	1.1921	0.94684	2.9318	418.96	0.095513	7.1973e-05	0.088282	liquid
301.0	108.5	807.82	0.0012379	248.94	262.38	1.1879	0.94381	2.8617	427.4	0.090647	7.2986e-05	0.089075	liquid
301.0	111.75	813.06	0.0012299	247.82	261.56	1.1838	0.94115	2.7995	435.43	0.086213	7.3956e-05	0.089841	liquid
301.0	115.0	818.03	0.0012225	246.75	260.8	1.18	0.93879	2.7438	443.11	0.082148	7.489e-05	0.090582	liquid
301.0	118.25	822.75	0.0012154	245.72	260.1	1.1763	0.93669	2.6937	450.48	0.078403	7.5791e-05	0.091301	liquid
301.0	121.5	827.25	0.0012088	244.74	259.43	1.1728	0.93481	2.6482	457.56	0.074937	7.6662e-05	0.092	liquid
301.0	124.75	831.55	0.0012026	243.8	258.8	1.1694	0.93312	2.6067	464.37	0.071717	7.7506e-05	0.092679	liquid
301.0	128.0	835.67	0.0011966	242.9	258.21	1.1662	0.9316	2.5686	470.95	0.068713	7.8326e-05	0.09334	liquid
301.0	131.25	839.63	0.001191	242.02	257.66	1.163	0.93022	2.5336	477.32	0.065903	7.9124e-05	0.093985	liquid
301.0	134.5	843.45	0.0011856	241.18	257.13	1.16	0.92897	2.5012	483.48	0.063267	7.9902e-05	0.094614	liquid
301.0	137.75	847.12	0.0011805	240.37	256.63	1.157	0.92783	2.4711	489.46	0.060787	8.0661e-05	0.095229	liquid
301.0	141.0	850.68	0.0011755	239.58	256.15	1.1542	0.92679	2.4431	495.27	0.058448	8.1403e-05	0.09583	liquid
301.0	144.25	854.11	0.0011708	238.81	255.7	1.1514	0.92584	2.4169	500.91	0.056237	8.2128e-05	0.096419	liquid
301.0	147.5	857.44	0.0011663	238.06	255.27	1.1487	0.92497	2.3924	506.41	0.054142	8.2839e-05	0.096996	liquid
301.0	150.75	860.67	0.0011619	237.34	254.86	1.1461	0.92417	2.3694	511.77	0.052155	8.3536e-05	0.097562	liquid
301.0	154.0	863.81	0.0011577	236.64	254.46	1.1435	0.92344	2.3478	517.0	0.050266	8.4219e-05	0.098117	liquid
301.0	157.25	866.86	0.0011536	235.95	254.09	1.141	0.92276	2.3273	522.11	0.048466	8.4891e-05	0.098662	liquid
301.0	160.5	869.82	0.0011497	235.28	253.73	1.1386	0.92214	2.308	527.1	0.04675	8.5551e-05	0.099198	liquid
301.0	163.75	872.71	0.0011459	234.62	253.39	1.1362	0.92158	2.2897	531.98	0.045111	8.62e-05	0.099724	liquid
301.0	167.0	875.53	0.0011422	233.98	253.06	1.1339	0.92105	2.2724	536.76	0.043543	8.6839e-05	0.10024	liquid
301.0	170.25	878.28	0.0011386	233.36	252.74	1.1316	0.92057	2.2559	541.44	0.042041	8.7469e-05	0.10075	liquid
301.0	173.5	880.97	0.0011351	232.75	252.44	1.1294	0.92012	2.2401	546.02	0.040601	8.8089e-05	0.10125	liquid
301.0	176.75	883.59	0.0011317	232.15	252.15	1.1272	0.91971	2.2252	550.52	0.039219	8.87e-05	0.10175	liquid
301.0	180.0	886.16	0.0011285	231.56	251.87	1.1251	0.91934	2.2108	554.94	0.03789	8.9304e-05	0.10224	liquid
301.0	183.25	888.67	0.0011253	230.99	251.61	1.123	0.91899	2.1972	559.28	0.036612	8.9899e-05	0.10272	liquid
301.0	186.5	891.12	0.0011222	230.42	251.35	1.1209	0.91867	2.1841	563.54	0.035381	9.0487e-05	0.10319	liquid
301.0	189.75	893.53	0.0011192	229.87	251.1	1.1189	0.91838	2.1715	567.72	0.034195	9.1068e-05	0.10366	liquid
301.0	193.0	895.89	0.0011162	229.33	250.87	1.1169	0.91811	2.1595	571.84	0.03305	9.1642e-05	0.10412	liquid
301.0	196.25	898.21	0.0011133	228.79	250.64	1.1149	0.91786	2.1479	575.9	0.031945	9.221e-05	0.10458	liquid
301.0	199.5	900.48	0.0011105	228.27	250.42	1.113	0.91763	2.1368	579.88	0.030877	9.2771e-05	0.10503	liquid
301.0	202.75	902.71	0.0011078	227.75	250.21	1.1111	0.91742	2.1261	583.81	0.029844	9.3327e-05	0.10547	liquid
301.0	206.0	904.9	0.0011051	227.24	250.01	1.1092	0.91723	2.1158	587.68	0.028845	9.3876e-05	0.10592	liquid
301.0	209.25	907.05	0.0011025	226.75	249.82	1.1074	0.91706	2.1058	591.5	0.027877	9.442e-05	0.10635	liquid
301.0	212.5	909.17	0.0010999	226.25	249.63	1.1056	0.9169	2.0962	595.25	0.026939	9.4959e-05	0.10678	liquid
301.0	215.75	911.25	0.0010974	225.77	249.45	1.1038	0.91676	2.087	598.96	0.026029	9.5493e-05	0.10721	liquid
301.0	219.0	913.29	0.0010949	225.3	249.27	1.102	0.91663	2.078	602.62	0.025146	9.6021e-05	0.10763	liquid
301.0	222.25	915.3	0.0010925	224.83	249.11	1.1003	0.91651	2.0693	606.23	0.024289	9.6545e-05	0.10805	liquid
301.0	225.5	917.29	0.0010902	224.36	248.95	1.0986	0.91641	2.0609	609.79	0.023457	9.7065e-05	0.10846	liquid
301.0	228.75	919.24	0.0010879	223.91	248.79	1.0969	0.91632	2.0528	613.31	0.022648	9.758e-05	0.10887	liquid
301.0	232.0	921.16	0.0010856	223.46	248.65	1.0952	0.91624	2.0449	616.79	0.021861	9.8091e-05	0.10927	liquid
301.0	235.25	923.05	0.0010834	223.02	248.5	1.0936	0.91617	2.0373	620.22	0.021096	9.8597e-05	0.10967	liquid
301.0	238.5	924.92	0.0010812	222.58	248.37	1.092	0.9161	2.0299	623.61	0.02035	9.91e-05	0.11007	liquid
301.0	241.75	926.75	0.001079	222.15	248.23	1.0904	0.91605	2.0227	626.97	0.019625	9.9599e-05	0.11046	liquid
301.0	245.0	928.57	0.0010769	221.72	248.11	1.0888	0.91601	2.0157	630.28	0.018918	0.00010009	0.11086	liquid
301.0	248.25	930.35	0.0010749	221.3	247.99	1.0872	0.91597	2.0089	633.56	0.018229	0.00010059	0.11124	liquid
301.0	251.5	932.12	0.0010728	220.89	247.87	1.0857	0.91594	2.0023	636.8	0.017557	0.00010107	0.11163	liquid
301.0	254.75	933.86	0.0010708	220.48	247.76	1.0841	0.91592	1.9959	640.01	0.016901	0.00010156	0.11201	liquid
301.0	258.0	935.58	0.0010689	220.07	247.65	1.0826	0.91591	1.9896	643.19	0.016261	0.00010204	0.11238	liquid
301.0	261.25	937.27	0.0010669	219.67	247.55	1.0811	0.9159	1.9835	646.33	0.015637	0.00010252	0.11276	liquid
301.0	264.5	938.95	0.001065	219.28	247.45	1.0797	0.9159	1.9776	649.44	0.015027	0.00010299	0.11313	liquid
301.0	267.75	940.6	0.0010632	218.89	247.35	1.0782	0.9159	1.9718	652.52	0.014431	0.00010346	0.1135	liquid
301.0	271.0	942.23	0.0010613	218.5	247.26	1.0767	0.91591	1.9661	655.57	0.013849	0.00010393	0.11386	liquid
301.0	274.25	943.85	0.0010595	218.12	247.18	1.0753	0.91592	1.9606	658.6	0.01328	0.0001044	0.11423	liquid
301.0	277.5	945.44	0.0010577	217.74	247.09	1.0739	0.91594	1.9552	661.59	0.012723	0.00010486	0.11459	liquid
301.0	280.75	947.02	0.0010559	217.37	247.02	1.0725	0.91597	1.95	664.55	0.012178	0.00010532	0.11494	liquid
301.0	284.0	948.57	0.0010542	217.0	246.94	1.0711	0.916	1.9449	667.49	0.011645	0.00010578	0.1153	liquid
301.0	287.25	950.11	0.0010525	216.64	246.87	1.0697	0.91603	1.9399	670.4	0.011124	0.00010623	0.11565	liquid
301.0	290.5	951.64	0.0010508	216.27	246.8	1.0684	0.91607	1.935	673.29	0.010613	0.00010669	0.116	liquid
301.0	293.75	953.14	0.0010492	215.92	246.74	1.067	0.91611	1.9302	676.15	0.010113	0.00010714	0.11635	liquid
301.0	297.0	954.63	0.0010475	215.56	246.67	1.0657	0.91615	1.9255	678.99	0.0096229	0.00010758	0.11669	liquid
301.0	300.25	956.11	0.0010459	215.21	246.61	1.0644	0.9162	1.9209	681.8	0.0091428	0.00010803	0.11704	liquid
301.0	303.5	957.56	0.0010443	214.86	246.56	1.063	0.91625	1.9165	684.59	0.0086722	0.00010847	0.11738	liquid
301.0	306.75	959.01	0.0010427	214.52	246.51	1.0617	0.91631	1.9121	687.36	0.0082109	0.00010891	0.11772	liquid
301.0	310.0	960.44	0.0010412	214.18	246.46	1.0605	0.91636	1.9078	690.11	0.0077585	0.00010935	0.11805	liquid
301.0	313.25	961.85	0.0010397	213.84	246.41	1.0592	0.91642	1.9036	692.83	0.0073149	0.00010979	0.11839	liquid
301.0	316.5	963.25	0.0010382	213.51	246.37	1.0579	0.91649	1.8995	695.53	0.0068796	0.00011022	0.11872	liquid
301.0	319.75	964.63	0.0010367	213.18	246.33	1.0566	0.91655	1.8954	698.22	0.0064525	0.00011066	0.11905	liquid
301.0	323.0	966.01	0.0010352	212.85	246.29	1.0554	0.91662	1.8915	700.88	0.0060333	0.00011109	0.11938	liquid
301.0	326.25	967.36	0.0010337	212.53	246.25	1.0542	0.91669	1.8876	703.52	0.0056218	0.00011152	0.1197	liquid
301.0	329.5	968.71	0.0010323	212.2	246.22	1.0529	0.91677	1.8838	706.14	0.0052177	0.00011194	0.12003	liquid
301.0	332.75	970.04	0.0010309	211.88	246.19	1.0517	0.91684	1.8801	708.74	0.0048209	0.00011237	0.12035	liquid
301.0	336.0	971.36	0.0010295	211.57	246.16	1.0505	0.91692	1.8764	711.33	0.0044312	0.00011279	0.12067	liquid
301.0	339.25	972.67	0.0010281	211.26	246.13	1.0493	0.917	1.8728	713.89	0.0040482	0.00011321	0.12099	liquid
301.0	342.5	973.97	0.0010267	210.94	246.11	1.0481	0.91708	1.8693	716.44	0.0036719	0.00011363	0.12131	liquid
301.0	345.75	975.25	0.0010254	210.64	246.09	1.047	0.91717	1.8658	718.97	0.0033021	0.00011405	0.12162	liquid
301.0	349.0	976.53	0.001024	210.33	246.07	1.0458	0.91725	1.8624	721.48	0.0029386	0.00011446	0.12194	liquid
301.0	352.25	977.79	0.0010227	210.03	246.05	1.0446	0.91734	1.8591	723.98	0.0025812	0.00011488	0.12225	liquid
301.0	355.5	979.04	0.0010214	209.73	246.04	1.0435	0.91743	1.8558	726.46	0.0022298	0.00011529	0.12256	liquid
301.0	358.75	980.28	0.0010201	209.43	246.03	1.0423	0.91752	1.8526	728.92	0.0018841	0.0001157	0.12287	liquid
301.0	362.0	981.51	0.0010188	209.13	246.02	1.0412	0.91762	1.8494	731.37	0.0015441	0.00011611	0.12317	liquid
301.0	365.25	982.73	0.0010176	208.84	246.01	1.0401	0.91771	1.8463	733.8	0.0012096	0.00011652	0.12348	liquid
301.0	368.5	983.94	0.0010163	208.55	246.0	1.039	0.91781	1.8433	736.22	0.00088053	0.00011692	0.12378	liquid
301.0	371.75	985.14	0.0010151	208.26	246.0	1.0378	0.9179	1.8403	738.62	0.00055664	0.00011733	0.12409	liquid
301.0	375.0	986.33	0.0010139	207.97	245.99	1.0367	0.918	1.8373	741.0	0.00023786	0.00011773	0.12439	liquid
301.0	378.25	987.51	0.0010127	207.69	245.99	1.0356	0.9181	1.8344	743.37	-7.5955e-05	0.00011814	0.12469	liquid
301.0	381.5	988.68	0.0010115	207.41	246.0	1.0346	0.9182	1.8316	745.73	-0.00038491	0.00011854	0.12498	liquid
301.0	384.75	989.84	0.0010103	207.13	246.0	1.0335	0.9183	1.8287	748.07	-0.00068914	0.00011894	0.12528	liquid
301.0	388.0	990.99	0.0010091	206.85	246.0	1.0324	0.91841	1.826	750.4	-0.00098874	0.00011933	0.12558	liquid
301.0	391.25	992.13	0.0010079	206.58	246.01	1.0313	0.91851	1.8233	752.71	-0.0012838	0.00011973	0.12587	liquid
301.0	394.5	993.27	0.0010068	206.3	246.02	1.0303	0.91862	1.8206	755.02	-0.0015745	0.00012012	0.12616	liquid
301.0	397.75	994.39	0.0010056	206.03	246.03	1.0292	0.91872	1.8179	757.3	-0.0018609	0.00012052	0.12646	liquid
301.0	401.0	995.51	0.0010045	205.76	246.04	1.0282	0.91883	1.8153	759.58	-0.0021431	0.00012091	0.12675	liquid
301.0	404.25	996.62	0.0010034	205.49	246.05	1.0271	0.91894	1.8128	761.84	-0.0024212	0.0001213	0.12703	liquid
301.0	407.5	997.72	0.0010023	205.23	246.07	1.0261	0.91905	1.8102	764.09	-0.0026952	0.00012169	0.12732	liquid
301.0	410.75	998.81	0.0010012	204.96	246.09	1.0251	0.91916	1.8078	766.32	-0.0029654	0.00012208	0.12761	liquid
301.0	414.0	999.9	0.0010001	204.7	246.1	1.0241	0.91927	1.8053	768.55	-0.0032317	0.00012247	0.12789	liquid
301.0	417.25	1001.0	0.00099903	204.44	246.12	1.023	0.91939	1.8029	770.76	-0.0034942	0.00012286	0.12818	liquid
301.0	420.5	1002.0	0.00099796	204.18	246.15	1.022	0.9195	1.8005	772.96	-0.0037531	0.00012324	0.12846	liquid
301.0	423.75	1003.1	0.0009969	203.92	246.17	1.021	0.91961	1.7982	775.15	-0.0040084	0.00012363	0.12874	liquid
301.0	427.0	1004.2	0.00099586	203.67	246.19	1.02	0.91973	1.7959	777.32	-0.0042602	0.00012401	0.12902	liquid
301.0	430.25	1005.2	0.00099482	203.42	246.22	1.019	0.91984	1.7936	779.49	-0.0045086	0.00012439	0.1293	liquid
301.0	433.5	1006.2	0.00099379	203.16	246.24	1.0181	0.91996	1.7914	781.64	-0.0047536	0.00012477	0.12958	liquid
301.0	436.75	1007.3	0.00099278	202.91	246.27	1.0171	0.92008	1.7892	783.78	-0.0049953	0.00012515	0.12985	liquid
301.0	440.0	1008.3	0.00099177	202.66	246.3	1.0161	0.9202	1.787	785.91	-0.0052337	0.00012553	0.13013	liquid
301.0	443.25	1009.3	0.00099077	202.42	246.33	1.0151	0.92031	1.7848	788.03	-0.005469	0.00012591	0.13041	liquid
301.0	446.5	1010.3	0.00098977	202.17	246.37	1.0142	0.92043	1.7827	790.14	-0.0057013	0.00012629	0.13068	liquid
301.0	449.75	1011.3	0.00098879	201.93	246.4	1.0132	0.92055	1.7806	792.24	-0.0059305	0.00012666	0.13095	liquid
301.0	453.0	1012.3	0.00098781	201.69	246.43	1.0123	0.92067	1.7786	794.33	-0.0061567	0.00012704	0.13122	liquid
301.0	456.25	1013.3	0.00098685	201.45	246.47	1.0113	0.9208	1.7765	796.41	-0.00638	0.00012741	0.13149	liquid
301.0	459.5	1014.3	0.00098589	201.21	246.51	1.0104	0.92092	1.7745	798.48	-0.0066005	0.00012779	0.13176	liquid
301.0	462.75	1015.3	0.00098494	200.97	246.55	1.0095	0.92104	1.7725	800.53	-0.0068181	0.00012816	0.13203	liquid
301.0	466.0	1016.3	0.000984	200.73	246.59	1.0085	0.92116	1.7706	802.58	-0.007033	0.00012853	0.1323	liquid
301.0	469.25	1017.2	0.00098306	200.5	246.63	1.0076	0.92129	1.7686	804.62	-0.0072453	0.0001289	0.13257	liquid
