Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
430.0	56.5	75.298	0.013281	525.97	601.01	2.2657	0.80597	1.0999	307.9	0.42114	2.2007e-05	0.029951	vapor
430.0	59.75	79.997	0.0125	524.81	599.5	2.2525	0.80783	1.1092	307.48	0.41902	2.2089e-05	0.030148	vapor
430.0	63.0	84.738	0.011801	523.64	597.99	2.2398	0.80969	1.1186	307.08	0.41683	2.2175e-05	0.030349	vapor
430.0	66.25	89.52	0.011171	522.46	596.47	2.2276	0.81154	1.1283	306.71	0.41456	2.2263e-05	0.030554	vapor
430.0	69.5	94.344	0.010599	521.28	594.95	2.2158	0.8134	1.1381	306.35	0.41222	2.2354e-05	0.030764	vapor
430.0	72.75	99.21	0.01008	520.09	593.42	2.2045	0.81526	1.148	306.02	0.40981	2.2448e-05	0.030979	vapor
430.0	76.0	104.12	0.0096045	518.89	591.89	2.1935	0.81711	1.1581	305.72	0.40732	2.2545e-05	0.031199	vapor
430.0	76.0	104.12	0.0096045	518.89	591.89	2.1935	0.81711	1.1581	305.72	0.40732	2.2545e-05	0.031199	supercritical
430.0	76.0	104.12	0.0096045	518.89	591.89	2.1935	0.81711	1.1581	305.72	0.40732	2.2545e-05	0.031199	supercritical
430.0	79.25	109.07	0.0091687	517.69	590.35	2.1828	0.81897	1.1684	305.44	0.40475	2.2646e-05	0.031424	supercritical
430.0	82.5	114.06	0.0087675	516.48	588.81	2.1724	0.82081	1.1788	305.18	0.40211	2.275e-05	0.031654	supercritical
430.0	85.75	119.09	0.008397	515.27	587.27	2.1624	0.82265	1.1893	304.95	0.39938	2.2857e-05	0.03189	supercritical
430.0	89.0	124.16	0.0080539	514.05	585.73	2.1526	0.82449	1.2001	304.75	0.39659	2.2968e-05	0.03213	supercritical
430.0	92.25	129.28	0.0077353	512.82	584.18	2.143	0.82632	1.2109	304.57	0.39371	2.3082e-05	0.032377	supercritical
430.0	95.5	134.43	0.0074388	511.59	582.63	2.1337	0.82814	1.2219	304.43	0.39075	2.32e-05	0.032629	supercritical
430.0	98.75	139.63	0.007162	510.35	581.08	2.1245	0.82995	1.233	304.31	0.38772	2.3322e-05	0.032886	supercritical
430.0	102.0	144.86	0.0069033	509.11	579.52	2.1156	0.83175	1.2443	304.23	0.38461	2.3447e-05	0.03315	supercritical
430.0	105.25	150.13	0.0066609	507.86	577.97	2.1069	0.83354	1.2556	304.18	0.38143	2.3577e-05	0.033419	supercritical
430.0	108.5	155.44	0.0064333	506.61	576.41	2.0983	0.83532	1.2671	304.16	0.37817	2.371e-05	0.033694	supercritical
430.0	111.75	160.79	0.0062193	505.35	574.85	2.0899	0.83708	1.2787	304.17	0.37483	2.3848e-05	0.033975	supercritical
430.0	115.0	166.17	0.0060178	504.09	573.29	2.0816	0.83883	1.2904	304.22	0.37143	2.399e-05	0.034262	supercritical
430.0	118.25	171.59	0.0058278	502.82	571.74	2.0735	0.84057	1.3021	304.31	0.36795	2.4136e-05	0.034555	supercritical
430.0	121.5	177.05	0.0056483	501.55	570.18	2.0656	0.84229	1.314	304.43	0.3644	2.4287e-05	0.034854	supercritical
430.0	124.75	182.53	0.0054785	500.28	568.62	2.0578	0.84399	1.3259	304.59	0.36078	2.4442e-05	0.035159	supercritical
430.0	128.0	188.05	0.0053177	499.0	567.07	2.0501	0.84567	1.3378	304.79	0.35709	2.4601e-05	0.035471	supercritical
430.0	131.25	193.6	0.0051653	497.72	565.52	2.0425	0.84733	1.3498	305.03	0.35334	2.4765e-05	0.035788	supercritical
430.0	134.5	199.18	0.0050206	496.44	563.97	2.035	0.84898	1.3619	305.31	0.34953	2.4934e-05	0.036111	supercritical
430.0	137.75	204.79	0.0048831	495.16	562.42	2.0277	0.8506	1.3739	305.63	0.34566	2.5107e-05	0.03644	supercritical
430.0	141.0	210.42	0.0047524	493.87	560.88	2.0205	0.8522	1.3859	305.99	0.34174	2.5285e-05	0.036776	supercritical
430.0	144.25	216.08	0.004628	492.59	559.35	2.0134	0.85377	1.398	306.4	0.33776	2.5468e-05	0.037117	supercritical
430.0	147.5	221.76	0.0045095	491.3	557.81	2.0064	0.85533	1.41	306.85	0.33373	2.5655e-05	0.037463	supercritical
430.0	150.75	227.46	0.0043965	490.01	556.29	1.9994	0.85685	1.422	307.34	0.32965	2.5848e-05	0.037816	supercritical
430.0	154.0	233.17	0.0042886	488.72	554.77	1.9926	0.85835	1.4339	307.88	0.32553	2.6045e-05	0.038173	supercritical
430.0	157.25	238.91	0.0041857	487.43	553.25	1.9859	0.85983	1.4457	308.47	0.32137	2.6247e-05	0.038537	supercritical
430.0	160.5	244.66	0.0040873	486.15	551.75	1.9793	0.86127	1.4575	309.1	0.31717	2.6454e-05	0.038905	supercritical
430.0	163.75	250.42	0.0039933	484.86	550.25	1.9727	0.86269	1.4692	309.77	0.31293	2.6666e-05	0.039279	supercritical
430.0	167.0	256.19	0.0039033	483.57	548.76	1.9663	0.86408	1.4807	310.49	0.30867	2.6883e-05	0.039657	supercritical
430.0	170.25	261.98	0.0038172	482.29	547.28	1.9599	0.86544	1.4921	311.27	0.30438	2.7104e-05	0.04004	supercritical
430.0	173.5	267.76	0.0037347	481.01	545.81	1.9536	0.86677	1.5034	312.08	0.30007	2.7331e-05	0.040428	supercritical
430.0	176.75	273.55	0.0036556	479.73	544.35	1.9475	0.86807	1.5145	312.95	0.29573	2.7562e-05	0.040819	supercritical
430.0	180.0	279.34	0.0035799	478.46	542.9	1.9413	0.86933	1.5254	313.86	0.29139	2.7798e-05	0.041215	supercritical
430.0	183.25	285.13	0.0035072	477.19	541.46	1.9353	0.87057	1.5361	314.82	0.28703	2.8039e-05	0.041615	supercritical
430.0	186.5	290.91	0.0034375	475.92	540.03	1.9294	0.87177	1.5466	315.83	0.28267	2.8284e-05	0.042018	supercritical
430.0	189.75	296.69	0.0033706	474.66	538.62	1.9235	0.87294	1.5569	316.89	0.2783	2.8534e-05	0.042425	supercritical
430.0	193.0	302.45	0.0033063	473.4	537.21	1.9177	0.87408	1.567	317.99	0.27394	2.8788e-05	0.042835	supercritical
430.0	196.25	308.21	0.0032445	472.15	535.83	1.912	0.87519	1.5768	319.14	0.26958	2.9047e-05	0.043247	supercritical
430.0	199.5	313.95	0.0031852	470.91	534.45	1.9064	0.87627	1.5863	320.33	0.26522	2.931e-05	0.043662	supercritical
430.0	202.75	319.68	0.0031282	469.67	533.09	1.9009	0.87731	1.5956	321.57	0.26089	2.9577e-05	0.04408	supercritical
430.0	206.0	325.38	0.0030733	468.44	531.75	1.8954	0.87832	1.6046	322.86	0.25656	2.9849e-05	0.044499	supercritical
430.0	209.25	331.07	0.0030205	467.21	530.42	1.89	0.8793	1.6133	324.19	0.25226	3.0124e-05	0.04492	supercritical
430.0	212.5	336.73	0.0029697	465.99	529.1	1.8847	0.88025	1.6218	325.57	0.24798	3.0403e-05	0.045343	supercritical
430.0	215.75	342.36	0.0029209	464.78	527.8	1.8794	0.88116	1.6299	326.99	0.24373	3.0686e-05	0.045767	supercritical
430.0	219.0	347.97	0.0028738	463.58	526.52	1.8742	0.88205	1.6377	328.45	0.2395	3.0973e-05	0.046193	supercritical
430.0	222.25	353.55	0.0028284	462.39	525.25	1.8691	0.8829	1.6452	329.95	0.23531	3.1263e-05	0.046619	supercritical
430.0	225.5	359.1	0.0027848	461.21	524.0	1.8641	0.88373	1.6524	331.49	0.23115	3.1556e-05	0.047045	supercritical
430.0	228.75	364.61	0.0027426	460.03	522.77	1.8592	0.88452	1.6593	333.07	0.22704	3.1853e-05	0.047472	supercritical
430.0	232.0	370.09	0.002702	458.87	521.55	1.8543	0.88529	1.6659	334.69	0.22296	3.2153e-05	0.047899	supercritical
430.0	235.25	375.53	0.0026629	457.71	520.36	1.8495	0.88602	1.6722	336.35	0.21892	3.2455e-05	0.048326	supercritical
430.0	238.5	380.93	0.0026251	456.57	519.17	1.8447	0.88673	1.6781	338.05	0.21493	3.2761e-05	0.048753	supercritical
430.0	241.75	386.29	0.0025887	455.43	518.01	1.84	0.88741	1.6838	339.78	0.21099	3.3069e-05	0.04918	supercritical
430.0	245.0	391.61	0.0025535	454.3	516.87	1.8354	0.88807	1.6891	341.54	0.20709	3.3379e-05	0.049605	supercritical
430.0	248.25	396.89	0.0025196	453.19	515.74	1.8309	0.88869	1.6942	343.34	0.20325	3.3692e-05	0.05003	supercritical
430.0	251.5	402.13	0.0024868	452.08	514.63	1.8264	0.8893	1.6989	345.17	0.19946	3.4007e-05	0.050454	supercritical
430.0	254.75	407.31	0.0024551	450.99	513.54	1.822	0.88988	1.7033	347.03	0.19572	3.4324e-05	0.050877	supercritical
430.0	258.0	412.46	0.0024245	449.91	512.46	1.8177	0.89043	1.7075	348.92	0.19203	3.4643e-05	0.051299	supercritical
430.0	261.25	417.55	0.0023949	448.84	511.4	1.8134	0.89096	1.7113	350.84	0.18839	3.4963e-05	0.051719	supercritical
430.0	264.5	422.6	0.0023663	447.78	510.36	1.8092	0.89147	1.7149	352.78	0.18482	3.5286e-05	0.052137	supercritical
430.0	267.75	427.6	0.0023386	446.73	509.34	1.805	0.89196	1.7182	354.76	0.18129	3.5609e-05	0.052554	supercritical
430.0	271.0	432.55	0.0023119	445.69	508.34	1.8009	0.89243	1.7212	356.76	0.17783	3.5934e-05	0.05297	supercritical
430.0	274.25	437.45	0.002286	444.66	507.35	1.7969	0.89288	1.724	358.78	0.17441	3.6261e-05	0.053383	supercritical
430.0	277.5	442.3	0.0022609	443.65	506.39	1.7929	0.89331	1.7266	360.82	0.17106	3.6588e-05	0.053795	supercritical
430.0	280.75	447.1	0.0022366	442.64	505.43	1.789	0.89372	1.7288	362.89	0.16776	3.6916e-05	0.054204	supercritical
430.0	284.0	451.85	0.0022131	441.65	504.5	1.7852	0.89411	1.7309	364.98	0.16452	3.7245e-05	0.054611	supercritical
430.0	287.25	456.54	0.0021904	440.67	503.58	1.7814	0.89449	1.7327	367.09	0.16133	3.7575e-05	0.055016	supercritical
430.0	290.5	461.19	0.0021683	439.69	502.68	1.7776	0.89485	1.7343	369.22	0.1582	3.7905e-05	0.055419	supercritical
430.0	293.75	465.78	0.0021469	438.73	501.8	1.7739	0.89519	1.7357	371.37	0.15513	3.8236e-05	0.05582	supercritical
430.0	297.0	470.33	0.0021262	437.79	500.93	1.7703	0.89552	1.7369	373.53	0.15211	3.8567e-05	0.056218	supercritical
430.0	300.25	474.82	0.0021061	436.85	500.08	1.7667	0.89584	1.7379	375.71	0.14914	3.8899e-05	0.056614	supercritical
430.0	303.5	479.26	0.0020865	435.92	499.25	1.7632	0.89614	1.7387	377.91	0.14623	3.923e-05	0.057007	supercritical
430.0	306.75	483.65	0.0020676	435.01	498.43	1.7597	0.89643	1.7393	380.12	0.14337	3.9562e-05	0.057398	supercritical
430.0	310.0	487.99	0.0020492	434.1	497.63	1.7563	0.89671	1.7398	382.35	0.14057	3.9893e-05	0.057787	supercritical
430.0	313.25	492.28	0.0020314	433.21	496.84	1.7529	0.89697	1.74	384.58	0.13782	4.0225e-05	0.058173	supercritical
430.0	316.5	496.51	0.002014	432.32	496.07	1.7496	0.89723	1.7402	386.83	0.13512	4.0556e-05	0.058556	supercritical
430.0	319.75	500.7	0.0019972	431.45	495.31	1.7463	0.89747	1.7402	389.1	0.13248	4.0887e-05	0.058937	supercritical
430.0	323.0	504.84	0.0019808	430.59	494.57	1.7431	0.89771	1.74	391.37	0.12988	4.1218e-05	0.059316	supercritical
430.0	326.25	508.93	0.0019649	429.74	493.84	1.7399	0.89794	1.7397	393.65	0.12733	4.1548e-05	0.059691	supercritical
430.0	329.5	512.97	0.0019494	428.9	493.13	1.7368	0.89816	1.7393	395.94	0.12484	4.1878e-05	0.060065	supercritical
430.0	332.75	516.96	0.0019344	428.06	492.43	1.7337	0.89837	1.7388	398.23	0.12239	4.2207e-05	0.060436	supercritical
430.0	336.0	520.9	0.0019198	427.24	491.75	1.7307	0.89857	1.7382	400.54	0.11999	4.2536e-05	0.060804	supercritical
430.0	339.25	524.8	0.0019055	426.43	491.08	1.7276	0.89876	1.7375	402.85	0.11764	4.2864e-05	0.061169	supercritical
430.0	342.5	528.64	0.0018916	425.63	490.42	1.7247	0.89895	1.7367	405.16	0.11534	4.3191e-05	0.061533	supercritical
430.0	345.75	532.45	0.0018781	424.84	489.77	1.7218	0.89914	1.7357	407.48	0.11308	4.3518e-05	0.061893	supercritical
430.0	349.0	536.2	0.001865	424.05	489.14	1.7189	0.89931	1.7347	409.81	0.11087	4.3843e-05	0.062251	supercritical
430.0	352.25	539.91	0.0018522	423.28	488.52	1.716	0.89948	1.7337	412.13	0.1087	4.4168e-05	0.062607	supercritical
430.0	355.5	543.58	0.0018397	422.52	487.92	1.7132	0.89965	1.7325	414.47	0.10658	4.4492e-05	0.06296	supercritical
430.0	358.75	547.2	0.0018275	421.76	487.32	1.7105	0.89981	1.7313	416.8	0.1045	4.4815e-05	0.063311	supercritical
430.0	362.0	550.78	0.0018156	421.02	486.74	1.7077	0.89997	1.7301	419.13	0.10246	4.5137e-05	0.06366	supercritical
430.0	365.25	554.31	0.001804	420.28	486.17	1.705	0.90012	1.7287	421.47	0.10047	4.5459e-05	0.064006	supercritical
430.0	368.5	557.8	0.0017927	419.55	485.61	1.7024	0.90027	1.7274	423.81	0.098511	4.5779e-05	0.064349	supercritical
430.0	371.75	561.26	0.0017817	418.83	485.06	1.6998	0.90042	1.726	426.14	0.096595	4.6098e-05	0.064691	supercritical
430.0	375.0	564.67	0.001771	418.12	484.53	1.6972	0.90056	1.7245	428.48	0.094719	4.6416e-05	0.06503	supercritical
