Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
242.0	56.5	1094.6	0.00091356	126.07	131.23	0.72511	0.94745	2.0038	825.94	-0.0050046	0.00017543	0.15049	liquid
242.0	59.75	1095.6	0.00091272	125.81	131.27	0.72402	0.94774	1.9998	828.41	-0.0052597	0.00017605	0.15081	liquid
242.0	63.0	1096.6	0.00091189	125.56	131.3	0.72294	0.94804	1.9959	830.86	-0.0055107	0.00017666	0.15113	liquid
242.0	66.25	1097.6	0.00091107	125.3	131.34	0.72187	0.94833	1.992	833.29	-0.0057575	0.00017728	0.15144	liquid
242.0	69.5	1098.6	0.00091026	125.05	131.38	0.7208	0.94862	1.9883	835.7	-0.0060004	0.00017789	0.15176	liquid
242.0	72.75	1099.6	0.00090946	124.8	131.41	0.71974	0.9489	1.9846	838.1	-0.0062393	0.0001785	0.15208	liquid
242.0	76.0	1100.5	0.00090866	124.55	131.46	0.71869	0.94919	1.9809	840.49	-0.0064745	0.00017911	0.15239	liquid
242.0	79.25	1101.5	0.00090787	124.3	131.5	0.71765	0.94947	1.9774	842.86	-0.006706	0.00017972	0.1527	liquid
242.0	82.5	1102.4	0.00090709	124.06	131.54	0.71661	0.94975	1.9739	845.21	-0.0069338	0.00018032	0.15301	liquid
242.0	85.75	1103.4	0.00090632	123.82	131.59	0.71558	0.95003	1.9704	847.55	-0.0071582	0.00018093	0.15332	liquid
242.0	89.0	1104.3	0.00090555	123.57	131.63	0.71455	0.95031	1.967	849.87	-0.0073791	0.00018153	0.15362	liquid
242.0	92.25	1105.2	0.00090479	123.33	131.68	0.71354	0.95059	1.9637	852.18	-0.0075967	0.00018213	0.15393	liquid
242.0	95.5	1106.2	0.00090403	123.1	131.73	0.71253	0.95086	1.9604	854.47	-0.0078111	0.00018272	0.15423	liquid
242.0	98.75	1107.1	0.00090329	122.86	131.78	0.71152	0.95113	1.9572	856.75	-0.0080222	0.00018332	0.15453	liquid
242.0	102.0	1108.0	0.00090255	122.63	131.83	0.71052	0.9514	1.9541	859.02	-0.0082303	0.00018391	0.15483	liquid
242.0	105.25	1108.9	0.00090181	122.39	131.89	0.70953	0.95167	1.951	861.27	-0.0084353	0.0001845	0.15513	liquid
242.0	108.5	1109.8	0.00090109	122.16	131.94	0.70854	0.95193	1.9479	863.51	-0.0086374	0.00018509	0.15543	liquid
242.0	111.75	1110.7	0.00090037	121.93	131.99	0.70756	0.9522	1.9449	865.74	-0.0088366	0.00018568	0.15573	liquid
242.0	115.0	1111.5	0.00089965	121.71	132.05	0.70658	0.95246	1.9419	867.96	-0.009033	0.00018627	0.15602	liquid
242.0	118.25	1112.4	0.00089894	121.48	132.11	0.70561	0.95272	1.939	870.16	-0.0092266	0.00018685	0.15631	liquid
242.0	121.5	1113.3	0.00089824	121.25	132.17	0.70465	0.95298	1.9362	872.35	-0.0094175	0.00018743	0.15661	liquid
242.0	124.75	1114.2	0.00089754	121.03	132.23	0.70369	0.95324	1.9333	874.53	-0.0096057	0.00018802	0.1569	liquid
