Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.0	56.5	1048.1	0.00095406	148.27	153.66	0.81571	0.93684	2.0791	745.65	0.0033957	0.00014745	0.1374	liquid
253.0	59.75	1049.4	0.00095289	147.94	153.63	0.8144	0.93706	2.0728	748.67	0.0029843	0.00014807	0.13777	liquid
253.0	63.0	1050.7	0.00095173	147.62	153.62	0.81311	0.93729	2.0668	751.66	0.002582	0.0001487	0.13814	liquid
253.0	66.25	1052.0	0.00095059	147.3	153.6	0.81182	0.93751	2.0609	754.61	0.0021885	0.00014932	0.1385	liquid
253.0	69.5	1053.2	0.00094947	146.99	153.59	0.81055	0.93773	2.0551	757.54	0.0018033	0.00014994	0.13886	liquid
253.0	72.75	1054.5	0.00094835	146.68	153.58	0.80929	0.93795	2.0495	760.44	0.0014262	0.00015055	0.13922	liquid
253.0	76.0	1055.7	0.00094726	146.37	153.57	0.80804	0.93818	2.044	763.31	0.0010569	0.00015117	0.13958	liquid
253.0	79.25	1056.9	0.00094617	146.06	153.56	0.8068	0.9384	2.0386	766.15	0.00069515	0.00015177	0.13993	liquid
253.0	82.5	1058.1	0.0009451	145.76	153.56	0.80557	0.93863	2.0334	768.97	0.00034068	0.00015238	0.14028	liquid
253.0	85.75	1059.3	0.00094405	145.46	153.56	0.80435	0.93885	2.0283	771.76	-6.7621e-06	0.00015298	0.14063	liquid
253.0	89.0	1060.4	0.000943	145.17	153.56	0.80314	0.93907	2.0232	774.52	-0.00034741	0.00015358	0.14097	liquid
253.0	92.25	1061.6	0.00094197	144.87	153.56	0.80195	0.93929	2.0184	777.27	-0.00068148	0.00015418	0.14132	liquid
253.0	95.5	1062.8	0.00094095	144.58	153.57	0.80076	0.93952	2.0136	779.98	-0.0010092	0.00015477	0.14166	liquid
253.0	98.75	1063.9	0.00093994	144.29	153.57	0.79958	0.93974	2.0089	782.68	-0.0013307	0.00015536	0.142	liquid
253.0	102.0	1065.0	0.00093895	144.01	153.58	0.79841	0.93996	2.0043	785.35	-0.0016463	0.00015595	0.14233	liquid
253.0	105.25	1066.1	0.00093796	143.72	153.6	0.79725	0.94018	1.9998	788.0	-0.0019561	0.00015654	0.14267	liquid
253.0	108.5	1067.3	0.00093699	143.44	153.61	0.7961	0.9404	1.9954	790.63	-0.0022603	0.00015712	0.143	liquid
253.0	111.75	1068.3	0.00093602	143.17	153.63	0.79496	0.94062	1.9911	793.24	-0.002559	0.0001577	0.14333	liquid
253.0	115.0	1069.4	0.00093507	142.89	153.64	0.79383	0.94084	1.9869	795.83	-0.0028525	0.00015828	0.14366	liquid
253.0	118.25	1070.5	0.00093413	142.62	153.66	0.79271	0.94106	1.9828	798.4	-0.0031408	0.00015886	0.14399	liquid
253.0	121.5	1071.6	0.0009332	142.35	153.68	0.79159	0.94128	1.9787	800.95	-0.0034241	0.00015943	0.14431	liquid
253.0	124.75	1072.6	0.00093227	142.08	153.71	0.79048	0.9415	1.9747	803.48	-0.0037027	0.00016001	0.14464	liquid
253.0	128.0	1073.7	0.00093136	141.81	153.73	0.78938	0.94171	1.9708	805.99	-0.0039765	0.00016058	0.14496	liquid
253.0	131.25	1074.7	0.00093046	141.55	153.76	0.78829	0.94193	1.967	808.49	-0.0042457	0.00016114	0.14528	liquid
253.0	134.5	1075.8	0.00092956	141.28	153.79	0.78721	0.94214	1.9633	810.96	-0.0045104	0.00016171	0.1456	liquid
253.0	137.75	1076.8	0.00092868	141.02	153.81	0.78613	0.94236	1.9596	813.42	-0.0047709	0.00016227	0.14591	liquid
253.0	141.0	1077.8	0.0009278	140.76	153.85	0.78506	0.94257	1.9559	815.87	-0.0050271	0.00016283	0.14623	liquid
253.0	144.25	1078.8	0.00092693	140.51	153.88	0.784	0.94279	1.9524	818.29	-0.0052792	0.00016339	0.14654	liquid
253.0	147.5	1079.8	0.00092607	140.25	153.91	0.78294	0.943	1.9489	820.7	-0.0055273	0.00016395	0.14685	liquid
