Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
692.0	56.5	43.259	0.023117	762.07	892.68	2.7943	0.93906	1.1528	400.56	0.12783	3.1851e-05	0.049848	vapor
692.0	59.75	45.745	0.02186	761.59	892.2	2.783	0.93937	1.1545	400.85	0.12709	3.189e-05	0.049936	vapor
692.0	63.0	48.231	0.020734	761.11	891.73	2.7723	0.93967	1.1562	401.15	0.12636	3.1928e-05	0.050025	vapor
692.0	66.25	50.715	0.019718	760.62	891.25	2.7621	0.93997	1.158	401.45	0.12562	3.1967e-05	0.050113	vapor
692.0	69.5	53.199	0.018797	760.14	890.78	2.7524	0.94027	1.1597	401.76	0.12489	3.2007e-05	0.0502	vapor
692.0	72.75	55.682	0.017959	759.66	890.31	2.7431	0.94057	1.1614	402.08	0.12416	3.2047e-05	0.050288	vapor
692.0	76.0	58.163	0.017193	759.18	889.84	2.7342	0.94087	1.1631	402.4	0.12343	3.2087e-05	0.050375	vapor
692.0	76.0	58.163	0.017193	759.18	889.84	2.7342	0.94087	1.1631	402.4	0.12343	3.2087e-05	0.050375	supercritical
692.0	76.0	58.163	0.017193	759.18	889.84	2.7342	0.94087	1.1631	402.4	0.12343	3.2087e-05	0.050375	supercritical
692.0	79.25	60.644	0.01649	758.7	889.38	2.7256	0.94117	1.1648	402.73	0.1227	3.2128e-05	0.050462	supercritical
692.0	82.5	63.123	0.015842	758.22	888.92	2.7173	0.94147	1.1665	403.06	0.12197	3.2169e-05	0.050548	supercritical
692.0	85.75	65.601	0.015244	757.74	888.45	2.7094	0.94176	1.1682	403.4	0.12125	3.221e-05	0.050635	supercritical
692.0	89.0	68.078	0.014689	757.26	888.0	2.7017	0.94206	1.1699	403.74	0.12052	3.2252e-05	0.050721	supercritical
692.0	92.25	70.553	0.014174	756.79	887.54	2.6943	0.94235	1.1716	404.09	0.1198	3.2294e-05	0.050807	supercritical
692.0	95.5	73.027	0.013694	756.31	887.08	2.6871	0.94265	1.1733	404.45	0.11907	3.2337e-05	0.050893	supercritical
692.0	98.75	75.499	0.013245	755.83	886.63	2.6801	0.94294	1.175	404.81	0.11835	3.238e-05	0.050979	supercritical
692.0	102.0	77.97	0.012826	755.36	886.18	2.6733	0.94323	1.1767	405.18	0.11762	3.2423e-05	0.051065	supercritical
692.0	105.25	80.438	0.012432	754.88	885.73	2.6667	0.94352	1.1783	405.55	0.1169	3.2467e-05	0.051151	supercritical
692.0	108.5	82.905	0.012062	754.41	885.28	2.6603	0.94381	1.18	405.93	0.11618	3.2512e-05	0.051237	supercritical
692.0	111.75	85.37	0.011714	753.94	884.84	2.6541	0.9441	1.1817	406.32	0.11545	3.2557e-05	0.051324	supercritical
692.0	115.0	87.833	0.011385	753.47	884.4	2.648	0.94439	1.1834	406.71	0.11473	3.2602e-05	0.05141	supercritical
692.0	118.25	90.294	0.011075	753.0	883.96	2.6421	0.94468	1.185	407.1	0.11401	3.2648e-05	0.051497	supercritical
692.0	121.5	92.753	0.010781	752.53	883.52	2.6364	0.94496	1.1867	407.5	0.11329	3.2694e-05	0.051583	supercritical
692.0	124.75	95.21	0.010503	752.06	883.08	2.6307	0.94525	1.1883	407.91	0.11257	3.274e-05	0.05167	supercritical
