Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
463.0	56.5	68.382	0.014624	554.51	637.14	2.3467	0.8225	1.092	322.4	0.35135	2.3344e-05	0.032328	vapor
463.0	59.75	72.545	0.013785	553.53	635.89	2.334	0.82384	1.0987	322.17	0.34958	2.3415e-05	0.03249	vapor
463.0	63.0	76.733	0.013032	552.54	634.64	2.3219	0.82518	1.1055	321.96	0.34777	2.3489e-05	0.032655	vapor
463.0	66.25	80.945	0.012354	551.55	633.39	2.3103	0.82652	1.1123	321.77	0.34592	2.3565e-05	0.032822	vapor
463.0	69.5	85.182	0.01174	550.55	632.14	2.2992	0.82786	1.1192	321.59	0.34403	2.3642e-05	0.032992	vapor
463.0	72.75	89.442	0.01118	549.55	630.89	2.2884	0.8292	1.1262	321.43	0.34209	2.3722e-05	0.033164	vapor
463.0	76.0	93.726	0.010669	548.55	629.64	2.278	0.83053	1.1333	321.3	0.34012	2.3804e-05	0.033339	vapor
463.0	76.0	93.726	0.010669	548.55	629.64	2.278	0.83053	1.1333	321.3	0.34012	2.3804e-05	0.033339	supercritical
463.0	76.0	93.726	0.010669	548.55	629.64	2.278	0.83053	1.1333	321.3	0.34012	2.3804e-05	0.033339	supercritical
463.0	79.25	98.034	0.010201	547.55	628.38	2.268	0.83185	1.1404	321.18	0.3381	2.3888e-05	0.033517	supercritical
463.0	82.5	102.37	0.009769	546.54	627.13	2.2583	0.83318	1.1476	321.08	0.33605	2.3974e-05	0.033697	supercritical
463.0	85.75	106.72	0.0093704	545.53	625.88	2.2489	0.83449	1.1549	321.0	0.33395	2.4063e-05	0.03388	supercritical
463.0	89.0	111.1	0.0090013	544.51	624.62	2.2397	0.83581	1.1622	320.94	0.33181	2.4153e-05	0.034067	supercritical
463.0	92.25	115.49	0.0086585	543.5	623.37	2.2308	0.83712	1.1696	320.9	0.32962	2.4246e-05	0.034256	supercritical
463.0	95.5	119.91	0.0083393	542.48	622.12	2.2222	0.83842	1.1771	320.89	0.3274	2.4342e-05	0.034448	supercritical
463.0	98.75	124.36	0.0080414	541.46	620.87	2.2137	0.83971	1.1846	320.9	0.32513	2.444e-05	0.034643	supercritical
463.0	102.0	128.82	0.0077628	540.43	619.62	2.2055	0.841	1.1921	320.93	0.32282	2.454e-05	0.034842	supercritical
463.0	105.25	133.3	0.0075018	539.41	618.37	2.1974	0.84228	1.1997	320.98	0.32048	2.4643e-05	0.035043	supercritical
463.0	108.5	137.8	0.0072567	538.38	617.12	2.1895	0.84355	1.2073	321.05	0.31809	2.4748e-05	0.035248	supercritical
463.0	111.75	142.33	0.0070261	537.35	615.87	2.1818	0.84482	1.215	321.16	0.31566	2.4856e-05	0.035456	supercritical
463.0	115.0	146.87	0.0068088	536.32	614.62	2.1743	0.84607	1.2227	321.28	0.31319	2.4967e-05	0.035667	supercritical
463.0	118.25	151.43	0.0066039	535.29	613.38	2.1669	0.84732	1.2304	321.43	0.31069	2.508e-05	0.035882	supercritical
463.0	121.5	156.0	0.0064101	534.26	612.14	2.1596	0.84856	1.2381	321.61	0.30814	2.5196e-05	0.0361	supercritical
463.0	124.75	160.6	0.0062268	533.22	610.9	2.1525	0.84978	1.2459	321.81	0.30557	2.5314e-05	0.036321	supercritical
463.0	128.0	165.21	0.0060531	532.18	609.66	2.1455	0.851	1.2537	322.04	0.30295	2.5436e-05	0.036545	supercritical
463.0	131.25	169.83	0.0058883	531.15	608.43	2.1387	0.85221	1.2615	322.29	0.3003	2.556e-05	0.036773	supercritical
463.0	134.5	174.47	0.0057317	530.11	607.2	2.132	0.8534	1.2693	322.57	0.29762	2.5687e-05	0.037004	supercritical
463.0	137.75	179.12	0.0055828	529.07	605.98	2.1253	0.85458	1.2771	322.88	0.2949	2.5817e-05	0.037239	supercritical
463.0	141.0	183.79	0.0054411	528.03	604.75	2.1188	0.85575	1.2849	323.22	0.29216	2.5949e-05	0.037477	supercritical
463.0	144.25	188.46	0.0053061	527.0	603.54	2.1124	0.85691	1.2927	323.59	0.28938	2.6085e-05	0.037719	supercritical
463.0	147.5	193.15	0.0051773	525.96	602.32	2.1061	0.85806	1.3005	323.98	0.28658	2.6223e-05	0.037963	supercritical
463.0	150.75	197.85	0.0050544	524.92	601.11	2.0999	0.85919	1.3082	324.4	0.28375	2.6365e-05	0.038211	supercritical
463.0	154.0	202.55	0.004937	523.88	599.91	2.0938	0.86031	1.316	324.86	0.28089	2.6509e-05	0.038463	supercritical
463.0	157.25	207.27	0.0048247	522.84	598.71	2.0878	0.86141	1.3237	325.34	0.27801	2.6656e-05	0.038718	supercritical
463.0	160.5	211.99	0.0047172	521.81	597.52	2.0819	0.8625	1.3314	325.85	0.27511	2.6806e-05	0.038975	supercritical
463.0	163.75	216.72	0.0046143	520.77	596.33	2.076	0.86358	1.339	326.4	0.27219	2.6959e-05	0.039237	supercritical
463.0	167.0	221.45	0.0045157	519.74	595.15	2.0703	0.86464	1.3466	326.97	0.26925	2.7115e-05	0.039501	supercritical
