Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
464.0	56.5	68.196	0.014664	555.38	638.23	2.349	0.82302	1.0919	322.82	0.3495	2.3384e-05	0.032403	vapor
464.0	59.75	72.345	0.013823	554.4	636.99	2.3364	0.82436	1.0985	322.6	0.34774	2.3455e-05	0.032564	vapor
464.0	63.0	76.519	0.013069	553.42	635.75	2.3243	0.82568	1.1053	322.39	0.34594	2.3529e-05	0.032728	vapor
464.0	66.25	80.717	0.012389	552.43	634.5	2.3127	0.82701	1.1121	322.2	0.3441	2.3604e-05	0.032895	vapor
464.0	69.5	84.938	0.011773	551.44	633.26	2.3016	0.82834	1.1189	322.03	0.34222	2.3681e-05	0.033063	vapor
464.0	72.75	89.183	0.011213	550.44	632.02	2.2908	0.82966	1.1259	321.88	0.3403	2.3761e-05	0.033235	vapor
464.0	76.0	93.452	0.010701	549.45	630.77	2.2805	0.83098	1.1329	321.74	0.33834	2.3842e-05	0.033409	vapor
464.0	76.0	93.452	0.010701	549.45	630.77	2.2805	0.83098	1.1329	321.74	0.33834	2.3842e-05	0.033409	supercritical
464.0	76.0	93.452	0.010701	549.45	630.77	2.2805	0.83098	1.1329	321.74	0.33834	2.3842e-05	0.033409	supercritical
464.0	79.25	97.743	0.010231	548.45	629.52	2.2705	0.83229	1.1399	321.63	0.33633	2.3926e-05	0.033586	supercritical
464.0	82.5	102.06	0.0097984	547.44	628.28	2.2608	0.8336	1.1471	321.53	0.33429	2.4011e-05	0.033765	supercritical
464.0	85.75	106.39	0.0093989	546.44	627.03	2.2514	0.83491	1.1542	321.46	0.3322	2.4099e-05	0.033948	supercritical
464.0	89.0	110.75	0.009029	545.43	625.79	2.2422	0.83621	1.1615	321.4	0.33008	2.419e-05	0.034133	supercritical
464.0	92.25	115.13	0.0086855	544.42	624.54	2.2333	0.8375	1.1688	321.37	0.32791	2.4282e-05	0.034321	supercritical
464.0	95.5	119.54	0.0083656	543.4	623.3	2.2247	0.83879	1.1762	321.36	0.3257	2.4377e-05	0.034512	supercritical
464.0	98.75	123.96	0.0080671	542.39	622.05	2.2163	0.84008	1.1836	321.37	0.32345	2.4474e-05	0.034706	supercritical
464.0	102.0	128.4	0.0077879	541.37	620.81	2.208	0.84135	1.191	321.4	0.32117	2.4574e-05	0.034904	supercritical
464.0	105.25	132.87	0.0075263	540.35	619.56	2.2	0.84262	1.1985	321.46	0.31884	2.4676e-05	0.035104	supercritical
464.0	108.5	137.35	0.0072806	539.33	618.32	2.1921	0.84388	1.2061	321.53	0.31647	2.4781e-05	0.035307	supercritical
464.0	111.75	141.85	0.0070495	538.3	617.08	2.1844	0.84514	1.2137	321.64	0.31406	2.4888e-05	0.035514	supercritical
464.0	115.0	146.37	0.0068318	537.28	615.85	2.1769	0.84638	1.2213	321.77	0.31161	2.4998e-05	0.035724	supercritical
464.0	118.25	150.91	0.0066264	536.25	614.61	2.1695	0.84761	1.2289	321.92	0.30913	2.5111e-05	0.035937	supercritical
464.0	121.5	155.47	0.0064322	535.23	613.38	2.1623	0.84884	1.2366	322.09	0.30661	2.5226e-05	0.036154	supercritical
464.0	124.75	160.04	0.0062484	534.2	612.15	2.1552	0.85006	1.2443	322.3	0.30406	2.5344e-05	0.036373	supercritical
464.0	128.0	164.63	0.0060743	533.17	610.92	2.1482	0.85126	1.252	322.53	0.30146	2.5464e-05	0.036596	supercritical
464.0	131.25	169.23	0.0059091	532.13	609.69	2.1414	0.85246	1.2597	322.78	0.29884	2.5587e-05	0.036823	supercritical
464.0	134.5	173.85	0.0057522	531.1	608.47	2.1347	0.85364	1.2674	323.06	0.29618	2.5713e-05	0.037053	supercritical
464.0	137.75	178.48	0.005603	530.07	607.25	2.1281	0.85481	1.2751	323.37	0.29349	2.5842e-05	0.037286	supercritical
464.0	141.0	183.12	0.005461	529.04	606.04	2.1216	0.85597	1.2828	323.71	0.29077	2.5974e-05	0.037522	supercritical
464.0	144.25	187.77	0.0053256	528.01	604.83	2.1152	0.85712	1.2905	324.08	0.28802	2.6108e-05	0.037762	supercritical
464.0	147.5	192.44	0.0051965	526.97	603.62	2.1089	0.85825	1.2982	324.47	0.28525	2.6246e-05	0.038005	supercritical
464.0	150.75	197.11	0.0050733	525.94	602.42	2.1027	0.85938	1.3059	324.89	0.28244	2.6386e-05	0.038251	supercritical
464.0	154.0	201.79	0.0049556	524.91	601.22	2.0967	0.86048	1.3135	325.35	0.27962	2.6529e-05	0.0385	supercritical
464.0	157.25	206.48	0.004843	523.88	600.03	2.0907	0.86158	1.3212	325.83	0.27676	2.6675e-05	0.038753	supercritical
464.0	160.5	211.18	0.0047353	522.85	598.85	2.0847	0.86266	1.3287	326.34	0.27389	2.6824e-05	0.039009	supercritical
464.0	163.75	215.88	0.0046321	521.82	597.67	2.0789	0.86373	1.3363	326.88	0.271	2.6976e-05	0.039269	supercritical
464.0	167.0	220.59	0.0045333	520.79	596.49	2.0732	0.86478	1.3438	327.45	0.26809	2.713e-05	0.039531	supercritical
