Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
311.0	56.5	138.6	0.0072148	413.03	453.79	1.8606	0.84463	1.7447	229.37	0.95737	1.7417e-05	0.025187	vapor
311.0	59.75	151.99	0.0065794	408.83	448.14	1.8353	0.86342	1.9084	226.03	0.94794	1.7723e-05	0.026435	vapor
311.0	63.0	166.84	0.0059937	404.23	441.99	1.8089	0.88473	2.119	222.53	0.93589	1.809e-05	0.027969	vapor
311.0	66.25	183.61	0.0054465	399.11	435.2	1.7811	0.90933	2.4006	218.83	0.92033	1.854e-05	0.029898	vapor
311.0	69.5	202.96	0.004927	393.3	427.54	1.7511	0.93844	2.7974	214.87	0.89992	1.9107e-05	0.032405	vapor
311.0	72.75	226.07	0.0044234	386.5	418.68	1.7177	0.97404	3.3985	210.56	0.87244	1.9853e-05	0.035803	vapor
311.0	76.0	255.11	0.0039199	378.2	407.99	1.6789	1.0196	4.4131	205.73	0.83393	2.0899e-05	0.040703	vapor
311.0	76.0	255.11	0.0039199	378.2	407.99	1.6789	1.0196	4.4131	205.73	0.83393	2.0899e-05	0.040703	supercritical
311.0	76.0	255.11	0.0039199	378.2	407.99	1.6789	1.0196	4.4131	205.73	0.83393	2.0899e-05	0.040703	supercritical
311.0	79.25	294.93	0.0033907	367.26	394.13	1.6305	1.082	6.4426	200.08	0.77611	2.254e-05	0.048451	supercritical
311.0	82.5	358.86	0.0027866	350.87	373.86	1.5621	1.1721	11.551	193.51	0.679	2.5699e-05	0.062121	supercritical
311.0	85.75	473.29	0.0021129	325.2	343.32	1.4614	1.2172	17.442	195.14	0.51574	3.313e-05	0.076733	supercritical
311.0	89.0	564.38	0.0017719	307.2	322.97	1.394	1.1349	10.522	221.02	0.37954	4.0904e-05	0.074309	supercritical
311.0	92.25	610.88	0.001637	298.3	313.4	1.3614	1.0756	7.2493	247.65	0.30543	4.5615e-05	0.072957	supercritical
311.0	95.5	640.55	0.0015612	292.59	307.5	1.3408	1.0394	5.8035	269.93	0.25973	4.8918e-05	0.073152	supercritical
311.0	98.75	662.32	0.0015099	288.35	303.26	1.3255	1.0154	4.9892	288.74	0.22801	5.1504e-05	0.073899	supercritical
311.0	102.0	679.58	0.0014715	284.94	299.95	1.3133	0.99844	4.4648	305.0	0.2043	5.3659e-05	0.074848	supercritical
311.0	105.25	693.94	0.001441	282.08	297.25	1.3031	0.98591	4.097	319.37	0.18567	5.5527e-05	0.075861	supercritical
311.0	108.5	706.28	0.0014159	279.6	294.96	1.2943	0.97627	3.8233	332.29	0.1705	5.7188e-05	0.076879	supercritical
311.0	111.75	717.13	0.0013944	277.4	292.98	1.2864	0.96863	3.6109	344.08	0.15782	5.8695e-05	0.07788	supercritical
