Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
685.0	56.5	43.73	0.022868	755.42	884.62	2.7825	0.93593	1.1503	398.52	0.13138	3.161e-05	0.049317	vapor
685.0	59.75	46.245	0.021624	754.93	884.13	2.7713	0.93624	1.1521	398.8	0.13062	3.1649e-05	0.049407	vapor
685.0	63.0	48.759	0.020509	754.44	883.64	2.7606	0.93655	1.1539	399.09	0.12987	3.1689e-05	0.049496	vapor
685.0	66.25	51.273	0.019504	753.95	883.16	2.7504	0.93686	1.1556	399.39	0.12912	3.1728e-05	0.049585	vapor
685.0	69.5	53.785	0.018592	753.46	882.67	2.7406	0.93718	1.1574	399.69	0.12837	3.1769e-05	0.049674	vapor
685.0	72.75	56.297	0.017763	752.97	882.19	2.7313	0.93749	1.1592	400.0	0.12763	3.1809e-05	0.049763	vapor
685.0	76.0	58.809	0.017004	752.48	881.71	2.7224	0.93779	1.1609	400.32	0.12688	3.185e-05	0.049851	vapor
685.0	76.0	58.809	0.017004	752.48	881.71	2.7224	0.93779	1.1609	400.32	0.12688	3.185e-05	0.049851	supercritical
685.0	76.0	58.809	0.017004	752.48	881.71	2.7224	0.93779	1.1609	400.32	0.12688	3.185e-05	0.049851	supercritical
685.0	79.25	61.319	0.016308	751.99	881.23	2.7138	0.9381	1.1627	400.64	0.12613	3.1891e-05	0.049939	supercritical
685.0	82.5	63.828	0.015667	751.5	880.76	2.7055	0.93841	1.1644	400.96	0.12539	3.1933e-05	0.050027	supercritical
685.0	85.75	66.336	0.015075	751.02	880.28	2.6975	0.93872	1.1662	401.3	0.12464	3.1975e-05	0.050114	supercritical
685.0	89.0	68.842	0.014526	750.53	879.81	2.6898	0.93902	1.168	401.63	0.1239	3.2018e-05	0.050202	supercritical
685.0	92.25	71.347	0.014016	750.05	879.34	2.6823	0.93933	1.1697	401.98	0.12316	3.2061e-05	0.050289	supercritical
685.0	95.5	73.851	0.013541	749.56	878.88	2.6751	0.93963	1.1714	402.33	0.12241	3.2104e-05	0.050377	supercritical
685.0	98.75	76.354	0.013097	749.08	878.41	2.6681	0.93993	1.1732	402.69	0.12167	3.2148e-05	0.050464	supercritical
685.0	102.0	78.854	0.012682	748.6	877.95	2.6613	0.94023	1.1749	403.05	0.12093	3.2192e-05	0.050552	supercritical
685.0	105.25	81.354	0.012292	748.11	877.49	2.6547	0.94053	1.1767	403.42	0.12019	3.2237e-05	0.050639	supercritical
685.0	108.5	83.851	0.011926	747.63	877.03	2.6483	0.94083	1.1784	403.79	0.11944	3.2282e-05	0.050727	supercritical
685.0	111.75	86.347	0.011581	747.15	876.57	2.6421	0.94113	1.1801	404.17	0.1187	3.2328e-05	0.050815	supercritical
