Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
251.0	56.5	1057.0	0.00094611	144.17	149.51	0.79928	0.93853	2.0626	760.58	0.0016217	0.00015219	0.13978	liquid
251.0	59.75	1058.2	0.00094501	143.86	149.5	0.79802	0.93877	2.0569	763.48	0.0012466	0.00015282	0.14014	liquid
251.0	63.0	1059.4	0.00094393	143.55	149.5	0.79677	0.93901	2.0514	766.35	0.00087936	0.00015344	0.1405	liquid
251.0	66.25	1060.6	0.00094286	143.25	149.49	0.79553	0.93925	2.0459	769.19	0.00051964	0.00015406	0.14085	liquid
251.0	69.5	1061.8	0.0009418	142.95	149.49	0.7943	0.93949	2.0406	772.01	0.00016718	0.00015467	0.1412	liquid
251.0	72.75	1063.0	0.00094076	142.65	149.49	0.79308	0.93973	2.0354	774.8	-0.00017826	0.00015528	0.14155	liquid
251.0	76.0	1064.1	0.00093973	142.35	149.49	0.79187	0.93997	2.0304	777.57	-0.00051691	0.00015589	0.1419	liquid
251.0	79.25	1065.3	0.00093871	142.06	149.5	0.79067	0.94021	2.0254	780.31	-0.00084901	0.0001565	0.14224	liquid
251.0	82.5	1066.4	0.0009377	141.77	149.5	0.78948	0.94044	2.0206	783.03	-0.0011748	0.00015711	0.14259	liquid
251.0	85.75	1067.6	0.0009367	141.48	149.51	0.78831	0.94068	2.0158	785.72	-0.0014944	0.00015771	0.14293	liquid
251.0	89.0	1068.7	0.00093572	141.2	149.52	0.78714	0.94092	2.0112	788.4	-0.001808	0.00015831	0.14326	liquid
251.0	92.25	1069.8	0.00093475	140.91	149.54	0.78598	0.94115	2.0066	791.05	-0.0021159	0.0001589	0.1436	liquid
251.0	95.5	1070.9	0.00093378	140.63	149.55	0.78483	0.94139	2.0022	793.68	-0.0024182	0.0001595	0.14393	liquid
251.0	98.75	1072.0	0.00093283	140.36	149.57	0.78368	0.94162	1.9978	796.29	-0.002715	0.00016009	0.14426	liquid
251.0	102.0	1073.1	0.00093189	140.08	149.59	0.78255	0.94186	1.9936	798.88	-0.0030066	0.00016067	0.14459	liquid
251.0	105.25	1074.2	0.00093096	139.81	149.61	0.78143	0.94209	1.9894	801.45	-0.0032931	0.00016126	0.14492	liquid
251.0	108.5	1075.2	0.00093004	139.54	149.63	0.78031	0.94232	1.9853	804.0	-0.0035746	0.00016184	0.14525	liquid
251.0	111.75	1076.3	0.00092913	139.27	149.65	0.7792	0.94255	1.9813	806.53	-0.0038513	0.00016243	0.14557	liquid
251.0	115.0	1077.3	0.00092823	139.0	149.68	0.7781	0.94278	1.9773	809.04	-0.0041233	0.00016301	0.14589	liquid
251.0	118.25	1078.4	0.00092733	138.74	149.71	0.77701	0.94301	1.9734	811.53	-0.0043908	0.00016358	0.14621	liquid
251.0	121.5	1079.4	0.00092645	138.48	149.74	0.77592	0.94323	1.9697	814.01	-0.0046538	0.00016416	0.14653	liquid
251.0	124.75	1080.4	0.00092558	138.22	149.77	0.77485	0.94346	1.9659	816.47	-0.0049125	0.00016473	0.14685	liquid
251.0	128.0	1081.4	0.00092471	137.96	149.8	0.77378	0.94369	1.9623	818.91	-0.005167	0.0001653	0.14716	liquid
251.0	131.25	1082.4	0.00092385	137.71	149.83	0.77271	0.94391	1.9587	821.34	-0.0054174	0.00016587	0.14748	liquid
251.0	134.5	1083.4	0.000923	137.45	149.87	0.77166	0.94413	1.9552	823.75	-0.0056639	0.00016644	0.14779	liquid
251.0	137.75	1084.4	0.00092216	137.2	149.9	0.77061	0.94436	1.9517	826.14	-0.0059064	0.000167	0.1481	liquid
251.0	141.0	1085.4	0.00092133	136.95	149.94	0.76957	0.94458	1.9483	828.52	-0.0061452	0.00016756	0.14841	liquid
251.0	144.25	1086.4	0.0009205	136.7	149.98	0.76853	0.9448	1.9449	830.89	-0.0063803	0.00016812	0.14872	liquid
251.0	147.5	1087.3	0.00091969	136.46	150.02	0.76751	0.94502	1.9417	833.23	-0.0066118	0.00016868	0.14902	liquid
251.0	150.75	1088.3	0.00091888	136.21	150.06	0.76648	0.94524	1.9384	835.57	-0.0068398	0.00016924	0.14933	liquid
251.0	154.0	1089.2	0.00091807	135.97	150.11	0.76547	0.94545	1.9353	837.89	-0.0070643	0.0001698	0.14963	liquid
251.0	157.25	1090.2	0.00091728	135.73	150.15	0.76446	0.94567	1.9321	840.19	-0.0072856	0.00017035	0.14993	liquid
251.0	160.5	1091.1	0.00091649	135.49	150.2	0.76346	0.94588	1.9291	842.48	-0.0075036	0.0001709	0.15023	liquid
251.0	163.75	1092.0	0.00091571	135.25	150.25	0.76246	0.9461	1.926	844.76	-0.0077184	0.00017145	0.15053	liquid
251.0	167.0	1093.0	0.00091494	135.02	150.3	0.76147	0.94631	1.9231	847.02	-0.0079301	0.000172	0.15082	liquid
251.0	170.25	1093.9	0.00091417	134.78	150.35	0.76049	0.94653	1.9201	849.27	-0.0081387	0.00017255	0.15112	liquid
251.0	173.5	1094.8	0.00091341	134.55	150.4	0.75951	0.94674	1.9173	851.51	-0.0083444	0.00017309	0.15141	liquid
251.0	176.75	1095.7	0.00091266	134.32	150.45	0.75854	0.94695	1.9144	853.74	-0.0085472	0.00017364	0.15171	liquid
251.0	180.0	1096.6	0.00091191	134.09	150.5	0.75757	0.94716	1.9116	855.95	-0.0087472	0.00017418	0.152	liquid
251.0	183.25	1097.5	0.00091117	133.86	150.56	0.75661	0.94737	1.9089	858.15	-0.0089443	0.00017472	0.15229	liquid
251.0	186.5	1098.4	0.00091043	133.64	150.62	0.75565	0.94758	1.9062	860.34	-0.0091388	0.00017526	0.15258	liquid
251.0	189.75	1099.3	0.0009097	133.41	150.67	0.7547	0.94778	1.9035	862.51	-0.0093307	0.0001758	0.15287	liquid
251.0	193.0	1100.1	0.00090898	133.19	150.73	0.75376	0.94799	1.9009	864.68	-0.0095199	0.00017633	0.15315	liquid
251.0	196.25	1101.0	0.00090826	132.97	150.79	0.75282	0.94819	1.8983	866.83	-0.0097066	0.00017687	0.15344	liquid
251.0	199.5	1101.9	0.00090755	132.75	150.85	0.75188	0.9484	1.8958	868.97	-0.0098908	0.0001774	0.15372	liquid
251.0	202.75	1102.7	0.00090684	132.53	150.91	0.75095	0.9486	1.8933	871.1	-0.010073	0.00017793	0.154	liquid
251.0	206.0	1103.6	0.00090614	132.31	150.97	0.75003	0.94881	1.8908	873.22	-0.010252	0.00017846	0.15429	liquid
251.0	209.25	1104.4	0.00090545	132.09	151.04	0.74911	0.94901	1.8883	875.33	-0.010429	0.00017899	0.15457	liquid
251.0	212.5	1105.3	0.00090476	131.88	151.1	0.74819	0.94921	1.8859	877.42	-0.010604	0.00017952	0.15485	liquid
251.0	215.75	1106.1	0.00090408	131.66	151.17	0.74728	0.94941	1.8836	879.51	-0.010776	0.00018005	0.15512	liquid
