Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
340.0	56.5	110.22	0.0090729	445.19	496.46	1.9921	0.7929	1.3066	256.29	0.75914	1.8353e-05	0.024732	vapor
340.0	59.75	118.52	0.0084371	442.78	493.19	1.9741	0.79981	1.3501	254.61	0.75442	1.8517e-05	0.025231	vapor
340.0	63.0	127.15	0.0078646	440.29	489.83	1.9564	0.80692	1.3974	252.95	0.74912	1.8696e-05	0.025772	vapor
340.0	66.25	136.13	0.0073461	437.72	486.38	1.939	0.81423	1.4489	251.31	0.74318	1.8892e-05	0.026359	vapor
340.0	69.5	145.48	0.006874	435.06	482.83	1.9218	0.82176	1.5052	249.7	0.73655	1.9107e-05	0.026998	vapor
340.0	72.75	155.23	0.0064419	432.31	479.17	1.9047	0.8295	1.5669	248.13	0.72916	1.9342e-05	0.027694	vapor
340.0	76.0	165.43	0.0060448	429.46	475.4	1.8876	0.83746	1.6347	246.6	0.72094	1.96e-05	0.028453	vapor
340.0	76.0	165.43	0.0060448	429.46	475.4	1.8876	0.83746	1.6347	246.6	0.72094	1.96e-05	0.028453	supercritical
340.0	76.0	165.43	0.0060448	429.46	475.4	1.8876	0.83746	1.6347	246.6	0.72094	1.96e-05	0.028453	supercritical
340.0	79.25	176.11	0.0056783	426.51	471.51	1.8706	0.84565	1.7092	245.12	0.71181	1.9885e-05	0.029281	supercritical
340.0	82.5	187.31	0.0053387	423.45	467.49	1.8535	0.85407	1.7913	243.72	0.70169	2.0199e-05	0.030188	supercritical
340.0	85.75	199.08	0.0050232	420.27	463.34	1.8363	0.8627	1.882	242.4	0.69049	2.0547e-05	0.031178	supercritical
340.0	89.0	211.46	0.004729	416.96	459.04	1.819	0.87154	1.9821	241.18	0.67813	2.0933e-05	0.032261	supercritical
340.0	92.25	224.51	0.0044542	413.51	454.6	1.8016	0.88056	2.0925	240.08	0.6645	2.1362e-05	0.033442	supercritical
340.0	95.5	238.28	0.0041968	409.93	450.0	1.7839	0.88973	2.2141	239.14	0.64952	2.184e-05	0.034729	supercritical
340.0	98.75	252.81	0.0039555	406.19	445.25	1.766	0.89898	2.3474	238.37	0.6331	2.2374e-05	0.036124	supercritical
340.0	102.0	268.16	0.0037291	402.31	440.35	1.7479	0.90824	2.4922	237.84	0.61516	2.297e-05	0.037628	supercritical
340.0	105.25	284.35	0.0035168	398.28	435.29	1.7296	0.91738	2.6476	237.58	0.59567	2.3637e-05	0.039236	supercritical
340.0	108.5	301.39	0.0033179	394.1	430.1	1.7111	0.92626	2.8114	237.65	0.57464	2.4382e-05	0.040939	supercritical
340.0	111.75	319.27	0.0031322	389.8	424.8	1.6924	0.93468	2.9795	238.11	0.55212	2.521e-05	0.042717	supercritical
340.0	115.0	337.91	0.0029594	385.39	419.42	1.6737	0.94243	3.1461	239.04	0.52829	2.6128e-05	0.044544	supercritical
340.0	118.25	357.19	0.0027996	380.91	414.01	1.655	0.94926	3.3038	240.5	0.50339	2.7136e-05	0.046388	supercritical
340.0	121.5	376.95	0.0026529	376.4	408.63	1.6366	0.95497	3.4445	242.57	0.47777	2.8234e-05	0.048213	supercritical
340.0	124.75	396.96	0.0025192	371.91	403.34	1.6185	0.95942	3.5605	245.29	0.45181	2.9412e-05	0.049986	supercritical
340.0	128.0	416.95	0.0023983	367.5	398.2	1.6011	0.96255	3.6454	248.69	0.42593	3.066e-05	0.051678	supercritical
340.0	131.25	436.68	0.00229	363.21	393.26	1.5843	0.96438	3.696	252.76	0.40052	3.1962e-05	0.05327	supercritical
340.0	134.5	455.87	0.0021936	359.08	388.59	1.5684	0.965	3.7122	257.48	0.37595	3.3298e-05	0.054753	supercritical
340.0	137.75	474.33	0.0021082	355.16	384.2	1.5535	0.96457	3.6975	262.76	0.35252	3.465e-05	0.05613	supercritical
340.0	141.0	491.92	0.0020329	351.45	380.12	1.5395	0.96329	3.6579	268.52	0.33045	3.6e-05	0.057411	supercritical
340.0	144.25	508.55	0.0019664	347.98	376.34	1.5265	0.96139	3.6003	274.65	0.3099	3.7335e-05	0.05861	supercritical
340.0	147.5	524.19	0.0019077	344.72	372.86	1.5144	0.95907	3.5314	281.06	0.2909	3.8643e-05	0.059743	supercritical
340.0	150.75	538.86	0.0018558	341.68	369.66	1.5032	0.9565	3.4561	287.65	0.27343	3.9918e-05	0.06082	supercritical
340.0	154.0	552.59	0.0018097	338.84	366.71	1.4927	0.95379	3.3783	294.35	0.2574	4.1155e-05	0.06185	supercritical
340.0	157.25	565.45	0.0017685	336.19	364.0	1.483	0.95103	3.3005	301.12	0.2427	4.2352e-05	0.06284	supercritical
340.0	160.5	577.49	0.0017316	333.7	361.5	1.474	0.94829	3.2244	307.9	0.22923	4.3509e-05	0.063795	supercritical
340.0	163.75	588.78	0.0016984	331.38	359.19	1.4656	0.94561	3.1511	314.66	0.21688	4.4625e-05	0.064717	supercritical
340.0	167.0	599.39	0.0016684	329.19	357.05	1.4577	0.94302	3.0813	321.37	0.20553	4.5703e-05	0.06561	supercritical
340.0	170.25	609.37	0.001641	327.13	355.06	1.4503	0.94053	3.0154	328.01	0.1951	4.6743e-05	0.066477	supercritical
340.0	173.5	618.78	0.0016161	325.18	353.22	1.4433	0.93817	2.9534	334.56	0.18549	4.7747e-05	0.067318	supercritical
