Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
319.0	56.5	128.35	0.0077911	422.87	466.89	1.9022	0.82048	1.5484	238.07	0.89592	1.7626e-05	0.024666	vapor
319.0	59.75	139.55	0.007166	419.44	462.26	1.8801	0.83345	1.6476	235.44	0.88872	1.7868e-05	0.025543	vapor
319.0	63.0	151.58	0.0065973	415.8	457.36	1.8577	0.84744	1.7649	232.76	0.88004	1.8146e-05	0.026555	vapor
319.0	66.25	164.59	0.0060756	411.9	452.15	1.8349	0.86264	1.906	230.03	0.86957	1.8467e-05	0.027738	vapor
319.0	69.5	178.79	0.0055931	407.69	446.57	1.8115	0.87924	2.0784	227.26	0.85691	1.8843e-05	0.029133	vapor
319.0	72.75	194.44	0.0051428	403.13	440.54	1.7871	0.8975	2.2935	224.44	0.84156	1.9289e-05	0.030798	vapor
319.0	76.0	211.91	0.004719	398.12	433.98	1.7616	0.91769	2.5684	221.6	0.82284	1.9826e-05	0.032814	vapor
319.0	76.0	211.91	0.004719	398.12	433.98	1.7616	0.91769	2.5684	221.6	0.82284	1.9826e-05	0.032814	supercritical
319.0	76.0	211.91	0.004719	398.12	433.98	1.7616	0.91769	2.5684	221.6	0.82284	1.9826e-05	0.032814	supercritical
319.0	79.25	231.69	0.004316	392.55	426.76	1.7343	0.9401	2.9295	218.74	0.79982	2.0486e-05	0.035285	supercritical
319.0	82.5	254.53	0.0039288	386.27	418.69	1.7048	0.96494	3.4178	215.95	0.77123	2.1317e-05	0.038358	supercritical
319.0	85.75	281.49	0.0035525	379.07	409.53	1.6723	0.9921	4.0958	213.33	0.73526	2.2398e-05	0.042213	supercritical
319.0	89.0	314.07	0.003184	370.67	399.01	1.6359	1.0207	5.0412	211.21	0.6895	2.3852e-05	0.047016	supercritical
319.0	92.25	354.02	0.0028247	360.85	386.9	1.5949	1.0475	6.2802	210.2	0.63194	2.5867e-05	0.052721	supercritical
319.0	95.5	402.13	0.0024867	349.66	373.41	1.5499	1.0657	7.5838	211.67	0.56309	2.8649e-05	0.058694	supercritical
319.0	98.75	454.83	0.0021986	338.13	359.84	1.505	1.0672	8.1039	217.81	0.48713	3.2173e-05	0.063211	supercritical
319.0	102.0	503.47	0.0019862	328.02	348.27	1.4666	1.0537	7.5546	228.66	0.41708	3.5901e-05	0.065566	supercritical
319.0	105.25	543.39	0.0018403	319.96	339.33	1.4366	1.0348	6.6293	242.6	0.35916	3.933e-05	0.066776	supercritical
319.0	108.5	574.84	0.0017396	313.7	332.57	1.4136	1.0171	5.7807	257.28	0.31365	4.2284e-05	0.067651	supercritical
319.0	111.75	599.92	0.0016669	308.72	327.34	1.3955	1.0024	5.1342	271.48	0.27826	4.4812e-05	0.068563	supercritical
319.0	115.0	620.53	0.0016115	304.62	323.16	1.3807	0.99059	4.6552	284.85	0.25023	4.701e-05	0.069553	supercritical
319.0	118.25	637.91	0.0015676	301.16	319.69	1.3682	0.98114	4.2921	297.37	0.22749	4.8954e-05	0.070582	supercritical
319.0	121.5	652.91	0.0015316	298.15	316.76	1.3574	0.97345	4.0085	309.08	0.20863	5.07e-05	0.071616	supercritical
319.0	124.75	666.08	0.0015013	295.49	314.22	1.3479	0.96706	3.781	320.07	0.1927	5.2291e-05	0.072636	supercritical
319.0	128.0	677.82	0.0014753	293.11	312.0	1.3394	0.96163	3.5945	330.43	0.17905	5.3754e-05	0.073631	supercritical
319.0	131.25	688.41	0.0014526	290.96	310.02	1.3317	0.95696	3.4388	340.22	0.16718	5.5111e-05	0.074597	supercritical
319.0	134.5	698.06	0.0014325	288.98	308.25	1.3247	0.95286	3.3067	349.53	0.15675	5.6381e-05	0.075532	supercritical
319.0	137.75	706.92	0.0014146	287.16	306.64	1.3182	0.94924	3.1934	358.4	0.14751	5.7576e-05	0.076435	supercritical
319.0	141.0	715.12	0.0013984	285.46	305.18	1.3122	0.94601	3.0949	366.88	0.13924	5.8707e-05	0.07731	supercritical
319.0	144.25	722.75	0.0013836	283.88	303.83	1.3066	0.9431	3.0086	375.02	0.1318	5.9781e-05	0.078155	supercritical
319.0	147.5	729.89	0.0013701	282.39	302.59	1.3013	0.94047	2.9323	382.84	0.12506	6.0807e-05	0.078974	supercritical
319.0	150.75	736.6	0.0013576	280.98	301.45	1.2963	0.93808	2.8642	390.37	0.11891	6.1789e-05	0.079767	supercritical
319.0	154.0	742.93	0.001346	279.65	300.38	1.2916	0.93589	2.8032	397.65	0.11327	6.2732e-05	0.080536	supercritical
319.0	157.25	748.92	0.0013353	278.38	299.38	1.2871	0.93389	2.748	404.69	0.10809	6.364e-05	0.081283	supercritical
319.0	160.5	754.62	0.0013252	277.18	298.44	1.2828	0.93205	2.6979	411.51	0.1033	6.4517e-05	0.08201	supercritical
319.0	163.75	760.04	0.0013157	276.02	297.57	1.2787	0.93035	2.6522	418.12	0.098857	6.5365e-05	0.082716	supercritical
319.0	167.0	765.22	0.0013068	274.92	296.74	1.2748	0.92879	2.6103	424.55	0.094721	6.6187e-05	0.083405	supercritical
319.0	170.25	770.18	0.0012984	273.85	295.96	1.271	0.92735	2.5717	430.8	0.09086	6.6986e-05	0.084076	supercritical
319.0	173.5	774.94	0.0012904	272.83	295.22	1.2673	0.92602	2.536	436.88	0.087245	6.7763e-05	0.084731	supercritical
319.0	176.75	779.51	0.0012829	271.84	294.52	1.2638	0.92479	2.5029	442.81	0.083852	6.8519e-05	0.085371	supercritical
319.0	180.0	783.92	0.0012756	270.89	293.85	1.2605	0.92365	2.472	448.59	0.080659	6.9257e-05	0.085997	supercritical
319.0	183.25	788.16	0.0012688	269.97	293.22	1.2572	0.92259	2.4432	454.23	0.077648	6.9977e-05	0.086609	supercritical
319.0	186.5	792.26	0.0012622	269.08	292.62	1.254	0.92161	2.4163	459.74	0.074802	7.0681e-05	0.087209	supercritical
319.0	189.75	796.23	0.0012559	268.21	292.05	1.2509	0.9207	2.391	465.13	0.072108	7.137e-05	0.087796	supercritical
319.0	193.0	800.07	0.0012499	267.38	291.5	1.2479	0.91985	2.3672	470.4	0.069553	7.2045e-05	0.088372	supercritical
319.0	196.25	803.79	0.0012441	266.56	290.98	1.245	0.91906	2.3448	475.56	0.067125	7.2707e-05	0.088938	supercritical
319.0	199.5	807.4	0.0012385	265.77	290.47	1.2422	0.91833	2.3236	480.61	0.064815	7.3356e-05	0.089493	supercritical
319.0	202.75	810.91	0.0012332	264.99	290.0	1.2394	0.91766	2.3036	485.55	0.062614	7.3993e-05	0.090038	supercritical
319.0	206.0	814.33	0.001228	264.24	289.54	1.2367	0.91703	2.2845	490.41	0.060513	7.4619e-05	0.090574	supercritical
319.0	209.25	817.65	0.001223	263.51	289.1	1.2341	0.91644	2.2665	495.17	0.058506	7.5235e-05	0.091101	supercritical
319.0	212.5	820.89	0.0012182	262.79	288.67	1.2315	0.91589	2.2493	499.84	0.056586	7.584e-05	0.09162	supercritical
319.0	215.75	824.04	0.0012135	262.09	288.27	1.229	0.91539	2.2329	504.42	0.054746	7.6437e-05	0.09213	supercritical
319.0	219.0	827.12	0.001209	261.4	287.88	1.2266	0.91492	2.2173	508.93	0.052983	7.7024e-05	0.092633	supercritical
319.0	222.25	830.12	0.0012046	260.73	287.51	1.2242	0.91448	2.2024	513.35	0.05129	7.7603e-05	0.093129	supercritical
319.0	225.5	833.06	0.0012004	260.08	287.15	1.2218	0.91407	2.1882	517.7	0.049663	7.8173e-05	0.093617	supercritical
319.0	228.75	835.93	0.0011963	259.43	286.8	1.2195	0.9137	2.1745	521.99	0.048099	7.8736e-05	0.094099	supercritical
