Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
320.0	56.5	127.25	0.0078586	424.03	468.43	1.907	0.81823	1.5302	239.07	0.88863	1.7656e-05	0.024633	vapor
320.0	59.75	138.24	0.0072339	420.67	463.9	1.8852	0.83071	1.6243	236.5	0.88162	1.7892e-05	0.025478	vapor
320.0	63.0	150.01	0.0066661	417.11	459.11	1.8632	0.84412	1.735	233.9	0.87321	1.8162e-05	0.02645	vapor
320.0	66.25	162.71	0.0061459	413.32	454.03	1.8408	0.8586	1.8668	231.25	0.86313	1.8473e-05	0.027577	vapor
320.0	69.5	176.51	0.0056655	409.24	448.62	1.8179	0.87435	2.0263	228.57	0.85103	1.8835e-05	0.028898	vapor
320.0	72.75	191.63	0.0052184	404.84	442.8	1.7942	0.89156	2.2229	225.86	0.83646	1.9261e-05	0.030461	vapor
320.0	76.0	208.39	0.0047986	400.03	436.5	1.7694	0.91046	2.4701	223.13	0.81883	1.9769e-05	0.032333	vapor
320.0	76.0	208.39	0.0047986	400.03	436.5	1.7694	0.91046	2.4701	223.13	0.81883	1.9769e-05	0.032333	supercritical
320.0	76.0	208.39	0.0047986	400.03	436.5	1.7694	0.91046	2.4701	223.13	0.81883	1.9769e-05	0.032333	supercritical
320.0	79.25	227.22	0.0044011	394.73	429.61	1.7432	0.93126	2.7885	220.42	0.79739	2.0386e-05	0.034601	supercritical
320.0	82.5	248.69	0.0040211	388.82	422.0	1.7152	0.95413	3.2086	217.76	0.77108	2.1152e-05	0.037379	supercritical
320.0	85.75	273.64	0.0036545	382.13	413.46	1.6846	0.97898	3.7755	215.28	0.7385	2.2126e-05	0.04081	supercritical
320.0	89.0	303.21	0.003298	374.44	403.8	1.6509	1.0051	4.5456	213.2	0.69777	2.3403e-05	0.045029	supercritical
320.0	92.25	338.76	0.0029519	365.57	392.8	1.6133	1.0305	5.5509	211.98	0.64707	2.512e-05	0.05005	supercritical
320.0	95.5	381.24	0.002623	355.49	380.54	1.5722	1.0505	6.6938	212.53	0.58627	2.7445e-05	0.055538	supercritical
320.0	98.75	429.37	0.002329	344.68	367.68	1.5295	1.0585	7.533	216.44	0.51757	3.0458e-05	0.060486	supercritical
320.0	102.0	477.42	0.0020946	334.44	355.8	1.4901	1.0523	7.4655	224.72	0.44834	3.3895e-05	0.063631	supercritical
320.0	105.25	519.48	0.001925	325.81	346.07	1.4577	1.0376	6.8201	236.47	0.38805	3.7283e-05	0.065401	supercritical
320.0	108.5	553.85	0.0018055	318.9	338.49	1.4321	1.0213	6.0401	250.05	0.33854	4.0334e-05	0.066507	supercritical
320.0	111.75	581.52	0.0017196	313.38	332.6	1.4119	1.0068	5.3673	263.81	0.2992	4.2988e-05	0.067461	supercritical
320.0	115.0	604.17	0.0016552	308.87	327.91	1.3955	0.99461	4.8461	277.06	0.26793	4.53e-05	0.068445	supercritical
320.0	118.25	623.16	0.0016047	305.09	324.06	1.3819	0.98467	4.4474	289.6	0.24265	4.7342e-05	0.069469	supercritical
320.0	121.5	639.43	0.0015639	301.83	320.83	1.3702	0.97652	4.1369	301.41	0.2218	4.9171e-05	0.070508	supercritical
320.0	124.75	653.64	0.0015299	298.97	318.06	1.3599	0.96974	3.8889	312.54	0.20428	5.083e-05	0.071538	supercritical
320.0	128.0	666.24	0.001501	296.43	315.64	1.3508	0.964	3.6865	323.05	0.18933	5.2352e-05	0.072548	supercritical
320.0	131.25	677.55	0.0014759	294.13	313.5	1.3426	0.95907	3.5182	333.01	0.17639	5.376e-05	0.073531	supercritical
320.0	134.5	687.81	0.0014539	292.03	311.59	1.3352	0.95476	3.376	342.47	0.16508	5.5073e-05	0.074483	supercritical
