Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
442.0	56.5	72.59	0.013776	536.34	614.18	2.2959	0.81176	1.0955	313.34	0.39363	2.2496e-05	0.030806	vapor
442.0	59.75	77.075	0.012974	535.25	612.77	2.2829	0.81341	1.1037	313.0	0.39165	2.2574e-05	0.030989	vapor
442.0	63.0	81.593	0.012256	534.16	611.37	2.2705	0.81505	1.112	312.67	0.38961	2.2654e-05	0.031175	vapor
442.0	66.25	86.146	0.011608	533.05	609.96	2.2585	0.81669	1.1205	312.37	0.38752	2.2737e-05	0.031365	vapor
442.0	69.5	90.733	0.011021	531.95	608.55	2.247	0.81833	1.129	312.09	0.38536	2.2823e-05	0.031559	vapor
442.0	72.75	95.353	0.010487	530.84	607.13	2.2359	0.81997	1.1377	311.83	0.38314	2.2911e-05	0.031757	vapor
442.0	76.0	100.01	0.0099992	529.72	605.71	2.2252	0.8216	1.1465	311.59	0.38087	2.3002e-05	0.031959	vapor
442.0	76.0	100.01	0.0099992	529.72	605.71	2.2252	0.8216	1.1465	311.59	0.38087	2.3002e-05	0.031959	supercritical
442.0	76.0	100.01	0.0099992	529.72	605.71	2.2252	0.8216	1.1465	311.59	0.38087	2.3002e-05	0.031959	supercritical
442.0	79.25	104.7	0.0095515	528.6	604.29	2.2148	0.82323	1.1554	311.38	0.37853	2.3096e-05	0.032165	supercritical
442.0	82.5	109.42	0.0091393	527.47	602.87	2.2047	0.82485	1.1644	311.18	0.37613	2.3192e-05	0.032375	supercritical
442.0	85.75	114.17	0.0087588	526.34	601.45	2.1949	0.82648	1.1736	311.01	0.37368	2.3292e-05	0.032589	supercritical
442.0	89.0	118.96	0.0084063	525.2	600.02	2.1853	0.82809	1.1828	310.87	0.37115	2.3394e-05	0.032807	supercritical
442.0	92.25	123.78	0.008079	524.06	598.59	2.1761	0.8297	1.1921	310.75	0.36857	2.35e-05	0.03303	supercritical
442.0	95.5	128.63	0.0077742	522.92	597.16	2.167	0.8313	1.2016	310.66	0.36593	2.3608e-05	0.033258	supercritical
442.0	98.75	133.51	0.0074899	521.77	595.73	2.1582	0.83289	1.2111	310.59	0.36322	2.372e-05	0.03349	supercritical
442.0	102.0	138.43	0.007224	520.62	594.3	2.1495	0.83448	1.2207	310.55	0.36046	2.3835e-05	0.033726	supercritical
442.0	105.25	143.37	0.0069749	519.46	592.87	2.1411	0.83605	1.2304	310.54	0.35763	2.3953e-05	0.033968	supercritical
442.0	108.5	148.35	0.006741	518.3	591.44	2.1328	0.83762	1.2401	310.56	0.35475	2.4074e-05	0.034214	supercritical
442.0	111.75	153.35	0.006521	517.14	590.02	2.1247	0.83917	1.25	310.61	0.3518	2.4199e-05	0.034464	supercritical
442.0	115.0	158.38	0.0063139	515.98	588.59	2.1167	0.84071	1.2599	310.69	0.3488	2.4328e-05	0.03472	supercritical
442.0	118.25	163.44	0.0061184	514.81	587.16	2.1089	0.84224	1.2698	310.8	0.34574	2.446e-05	0.034981	supercritical
442.0	121.5	168.53	0.0059338	513.64	585.73	2.1013	0.84376	1.2799	310.94	0.34263	2.4595e-05	0.035246	supercritical
442.0	124.75	173.64	0.0057591	512.46	584.31	2.0937	0.84526	1.2899	311.11	0.33946	2.4735e-05	0.035516	supercritical
442.0	128.0	178.77	0.0055936	511.29	582.89	2.0863	0.84674	1.3	311.32	0.33624	2.4878e-05	0.035791	supercritical
442.0	131.25	183.93	0.0054367	510.11	581.47	2.0791	0.84822	1.3101	311.56	0.33297	2.5024e-05	0.036071	supercritical
442.0	134.5	189.12	0.0052877	508.93	580.05	2.0719	0.84967	1.3203	311.84	0.32965	2.5175e-05	0.036356	supercritical
442.0	137.75	194.32	0.0051461	507.75	578.64	2.0649	0.85111	1.3304	312.15	0.32629	2.5329e-05	0.036646	supercritical
442.0	141.0	199.54	0.0050114	506.57	577.23	2.058	0.85253	1.3406	312.5	0.32287	2.5487e-05	0.03694	supercritical
442.0	144.25	204.79	0.0048831	505.39	575.83	2.0512	0.85393	1.3507	312.88	0.31942	2.5649e-05	0.03724	supercritical
442.0	147.5	210.05	0.0047609	504.2	574.43	2.0445	0.85532	1.3608	313.3	0.31592	2.5815e-05	0.037544	supercritical
442.0	150.75	215.32	0.0046442	503.02	573.03	2.0378	0.85668	1.3709	313.76	0.31239	2.5985e-05	0.037852	supercritical
