Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
314.0	56.5	134.42	0.0074394	416.86	458.89	1.8769	0.83407	1.6583	232.81	0.93369	1.7487e-05	0.024928	vapor
314.0	59.75	146.85	0.0068098	413.0	453.68	1.853	0.85018	1.7912	229.77	0.92528	1.7765e-05	0.026005	vapor
314.0	63.0	160.44	0.006233	408.82	448.09	1.8284	0.86803	1.9556	226.64	0.9148	1.8092e-05	0.027291	vapor
314.0	66.25	175.47	0.0056991	404.27	442.02	1.8029	0.88802	2.1645	223.39	0.90171	1.8481e-05	0.028853	vapor
314.0	69.5	192.35	0.005199	399.22	435.36	1.7761	0.91073	2.4388	220.0	0.88519	1.8955e-05	0.030788	vapor
314.0	72.75	211.68	0.0047242	393.55	427.92	1.7472	0.93694	2.8143	216.45	0.8641	1.9545e-05	0.033245	vapor
314.0	76.0	234.42	0.0042658	387.02	419.44	1.7156	0.96777	3.3574	212.71	0.83665	2.0307e-05	0.036461	vapor
314.0	76.0	234.42	0.0042658	387.02	419.44	1.7156	0.96777	3.3574	212.71	0.83665	2.0307e-05	0.036461	supercritical
314.0	76.0	234.42	0.0042658	387.02	419.44	1.7156	0.96777	3.3574	212.71	0.83665	2.0307e-05	0.036461	supercritical
314.0	79.25	262.23	0.0038134	379.25	409.47	1.6797	1.0048	4.2011	208.75	0.79997	2.1341e-05	0.040833	supercritical
314.0	82.5	298.16	0.0033539	369.6	397.26	1.6371	1.05	5.633	204.63	0.7489	2.2849e-05	0.047033	supercritical
314.0	85.75	348.11	0.0028726	356.91	381.54	1.5838	1.1038	8.2047	200.84	0.67469	2.5284e-05	0.055937	supercritical
314.0	89.0	420.46	0.0023783	340.05	361.22	1.5163	1.1486	11.851	200.21	0.57017	2.9557e-05	0.066717	supercritical
314.0	92.25	501.47	0.0019942	322.98	341.37	1.4509	1.1336	11.217	211.52	0.45265	3.5493e-05	0.071066	supercritical
314.0	95.5	560.09	0.0017854	311.36	328.41	1.4077	1.0874	8.3858	232.0	0.36451	4.0637e-05	0.070904	supercritical
314.0	98.75	598.48	0.0016709	303.89	320.39	1.3803	1.0494	6.565	252.77	0.30598	4.4438e-05	0.070852	supercritical
314.0	102.0	625.94	0.0015976	298.53	314.82	1.3609	1.0231	5.5266	271.37	0.2655	4.739e-05	0.071422	supercritical
314.0	105.25	647.18	0.0015452	294.35	310.62	1.3459	1.0045	4.8647	287.84	0.23559	4.9816e-05	0.072285	supercritical
314.0	108.5	664.47	0.001505	290.93	307.26	1.3336	0.99088	4.4064	302.55	0.21237	5.1889e-05	0.073267	supercritical
314.0	111.75	679.07	0.0014726	288.01	304.47	1.3232	0.98045	4.0698	315.83	0.19371	5.3712e-05	0.074286	supercritical
314.0	115.0	691.72	0.0014457	285.46	302.09	1.3141	0.97221	3.8119	327.98	0.17828	5.5348e-05	0.075303	supercritical
