Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
698.0	56.5	42.864	0.02333	767.79	899.6	2.8042	0.94173	1.1549	402.3	0.12487	3.2057e-05	0.050302	vapor
698.0	59.75	45.326	0.022062	767.31	899.14	2.793	0.94202	1.1566	402.6	0.12415	3.2095e-05	0.05039	vapor
698.0	63.0	47.787	0.020926	766.84	898.67	2.7823	0.94232	1.1583	402.9	0.12343	3.2133e-05	0.050477	vapor
698.0	66.25	50.248	0.019901	766.36	898.21	2.7721	0.94261	1.1599	403.21	0.12271	3.2171e-05	0.050564	vapor
698.0	69.5	52.707	0.018973	765.89	897.75	2.7624	0.9429	1.1616	403.53	0.12199	3.221e-05	0.050651	vapor
698.0	72.75	55.165	0.018127	765.41	897.29	2.7531	0.94319	1.1633	403.85	0.12127	3.225e-05	0.050737	vapor
698.0	76.0	57.622	0.017354	764.94	896.83	2.7442	0.94348	1.1649	404.17	0.12056	3.2289e-05	0.050823	vapor
698.0	76.0	57.622	0.017354	764.94	896.83	2.7442	0.94348	1.1649	404.17	0.12056	3.2289e-05	0.050823	supercritical
698.0	76.0	57.622	0.017354	764.94	896.83	2.7442	0.94348	1.1649	404.17	0.12056	3.2289e-05	0.050823	supercritical
698.0	79.25	60.078	0.016645	764.46	896.37	2.7357	0.94377	1.1666	404.51	0.11984	3.2329e-05	0.050909	supercritical
698.0	82.5	62.533	0.015992	763.99	895.92	2.7274	0.94406	1.1683	404.84	0.11913	3.237e-05	0.050995	supercritical
698.0	85.75	64.986	0.015388	763.52	895.47	2.7195	0.94435	1.1699	405.19	0.11842	3.2411e-05	0.05108	supercritical
698.0	89.0	67.438	0.014828	763.05	895.02	2.7118	0.94464	1.1716	405.54	0.11771	3.2452e-05	0.051165	supercritical
698.0	92.25	69.888	0.014309	762.58	894.57	2.7044	0.94493	1.1732	405.89	0.117	3.2494e-05	0.05125	supercritical
698.0	95.5	72.336	0.013824	762.11	894.13	2.6972	0.94521	1.1749	406.25	0.11629	3.2536e-05	0.051335	supercritical
698.0	98.75	74.783	0.013372	761.64	893.68	2.6902	0.9455	1.1765	406.62	0.11558	3.2578e-05	0.05142	supercritical
698.0	102.0	77.228	0.012949	761.17	893.24	2.6835	0.94578	1.1782	406.99	0.11487	3.2621e-05	0.051505	supercritical
698.0	105.25	79.672	0.012551	760.7	892.8	2.6769	0.94606	1.1798	407.37	0.11416	3.2664e-05	0.05159	supercritical
698.0	108.5	82.113	0.012178	760.23	892.37	2.6705	0.94635	1.1815	407.75	0.11345	3.2708e-05	0.051675	supercritical
698.0	111.75	84.553	0.011827	759.77	891.93	2.6643	0.94663	1.1831	408.14	0.11275	3.2752e-05	0.05176	supercritical
698.0	115.0	86.99	0.011496	759.3	891.5	2.6583	0.94691	1.1847	408.53	0.11204	3.2797e-05	0.051845	supercritical
698.0	118.25	89.425	0.011183	758.84	891.07	2.6524	0.94719	1.1863	408.93	0.11134	3.2842e-05	0.05193	supercritical
698.0	121.5	91.858	0.010886	758.37	890.64	2.6466	0.94747	1.1879	409.34	0.11063	3.2887e-05	0.052015	supercritical
698.0	124.75	94.289	0.010606	757.91	890.22	2.641	0.94774	1.1895	409.75	0.10992	3.2933e-05	0.052101	supercritical
698.0	128.0	96.718	0.010339	757.45	889.79	2.6355	0.94802	1.1912	410.16	0.10922	3.2979e-05	0.052187	supercritical
698.0	131.25	99.144	0.010086	756.99	889.37	2.6302	0.94829	1.1928	410.58	0.10851	3.3026e-05	0.052273	supercritical
698.0	134.5	101.57	0.0098457	756.53	888.95	2.6249	0.94857	1.1943	411.01	0.10781	3.3073e-05	0.052359	supercritical
698.0	137.75	103.99	0.0096165	756.07	888.53	2.6198	0.94884	1.1959	411.45	0.10711	3.3121e-05	0.052445	supercritical
698.0	141.0	106.41	0.0093979	755.61	888.12	2.6148	0.94911	1.1975	411.88	0.1064	3.3169e-05	0.052532	supercritical
698.0	144.25	108.82	0.0091893	755.15	887.71	2.6098	0.94939	1.1991	412.33	0.1057	3.3217e-05	0.052619	supercritical
698.0	147.5	111.24	0.0089899	754.69	887.3	2.605	0.94966	1.2007	412.78	0.10499	3.3266e-05	0.052707	supercritical
698.0	150.75	113.65	0.0087993	754.24	886.89	2.6003	0.94992	1.2022	413.24	0.10429	3.3316e-05	0.052795	supercritical
698.0	154.0	116.05	0.0086168	753.78	886.48	2.5957	0.95019	1.2038	413.7	0.10359	3.3366e-05	0.052883	supercritical
698.0	157.25	118.46	0.0084419	753.33	886.08	2.5911	0.95046	1.2054	414.16	0.10288	3.3416e-05	0.052972	supercritical
698.0	160.5	120.86	0.0082741	752.87	885.67	2.5866	0.95073	1.2069	414.64	0.10218	3.3467e-05	0.053061	supercritical
698.0	163.75	123.26	0.0081131	752.42	885.27	2.5823	0.95099	1.2084	415.12	0.10148	3.3518e-05	0.05315	supercritical
698.0	167.0	125.65	0.0079585	751.97	884.88	2.5779	0.95126	1.21	415.6	0.10078	3.357e-05	0.05324	supercritical
698.0	170.25	128.04	0.0078098	751.52	884.48	2.5737	0.95152	1.2115	416.09	0.10007	3.3622e-05	0.053331	supercritical
698.0	173.5	130.43	0.0076668	751.07	884.09	2.5695	0.95178	1.213	416.59	0.099371	3.3675e-05	0.053422	supercritical
698.0	176.75	132.82	0.0075292	750.62	883.7	2.5654	0.95204	1.2145	417.09	0.098669	3.3728e-05	0.053513	supercritical
698.0	180.0	135.2	0.0073965	750.17	883.31	2.5614	0.9523	1.2161	417.6	0.097967	3.3781e-05	0.053605	supercritical
698.0	183.25	137.58	0.0072687	749.73	882.92	2.5575	0.95256	1.2176	418.11	0.097266	3.3836e-05	0.053697	supercritical
698.0	186.5	139.95	0.0071454	749.28	882.54	2.5535	0.95282	1.219	418.63	0.096565	3.389e-05	0.05379	supercritical
698.0	189.75	142.32	0.0070263	748.83	882.16	2.5497	0.95307	1.2205	419.15	0.095864	3.3945e-05	0.053884	supercritical
698.0	193.0	144.69	0.0069114	748.39	881.78	2.5459	0.95333	1.222	419.68	0.095163	3.4001e-05	0.053978	supercritical
698.0	196.25	147.05	0.0068003	747.95	881.4	2.5422	0.95358	1.2235	420.22	0.094463	3.4057e-05	0.054072	supercritical
698.0	199.5	149.41	0.0066929	747.5	881.03	2.5385	0.95384	1.2249	420.76	0.093764	3.4113e-05	0.054168	supercritical
698.0	202.75	151.77	0.006589	747.06	880.66	2.5349	0.95409	1.2264	421.31	0.093065	3.417e-05	0.054263	supercritical
698.0	206.0	154.12	0.0064885	746.62	880.29	2.5313	0.95434	1.2278	421.86	0.092366	3.4228e-05	0.05436	supercritical
698.0	209.25	156.47	0.0063911	746.18	879.92	2.5278	0.95459	1.2293	422.42	0.091668	3.4286e-05	0.054457	supercritical
698.0	212.5	158.81	0.0062968	745.75	879.55	2.5243	0.95484	1.2307	422.98	0.09097	3.4344e-05	0.054554	supercritical
698.0	215.75	161.15	0.0062054	745.31	879.19	2.5209	0.95508	1.2321	423.56	0.090273	3.4403e-05	0.054652	supercritical
698.0	219.0	163.48	0.0061168	744.87	878.83	2.5175	0.95533	1.2335	424.13	0.089577	3.4463e-05	0.054751	supercritical
698.0	222.25	165.81	0.0060308	744.44	878.47	2.5141	0.95558	1.235	424.71	0.088882	3.4522e-05	0.05485	supercritical
698.0	225.5	168.14	0.0059474	744.0	878.12	2.5108	0.95582	1.2364	425.3	0.088187	3.4583e-05	0.05495	supercritical
698.0	228.75	170.46	0.0058664	743.57	877.76	2.5076	0.95606	1.2377	425.89	0.087493	3.4644e-05	0.055051	supercritical
698.0	232.0	172.78	0.0057877	743.14	877.41	2.5044	0.95631	1.2391	426.49	0.0868	3.4705e-05	0.055152	supercritical
698.0	235.25	175.09	0.0057112	742.71	877.07	2.5012	0.95655	1.2405	427.1	0.086108	3.4767e-05	0.055254	supercritical
698.0	238.5	177.4	0.0056369	742.28	876.72	2.4981	0.95679	1.2419	427.71	0.085417	3.4829e-05	0.055356	supercritical
698.0	241.75	179.71	0.0055647	741.85	876.38	2.495	0.95703	1.2432	428.32	0.084727	3.4892e-05	0.055459	supercritical
698.0	245.0	182.0	0.0054944	741.42	876.03	2.4919	0.95726	1.2446	428.94	0.084037	3.4955e-05	0.055563	supercritical
698.0	248.25	184.3	0.005426	741.0	875.7	2.4889	0.9575	1.2459	429.57	0.083349	3.5019e-05	0.055667	supercritical
698.0	251.5	186.59	0.0053594	740.57	875.36	2.4859	0.95774	1.2472	430.2	0.082663	3.5083e-05	0.055772	supercritical
698.0	254.75	188.87	0.0052946	740.15	875.03	2.4829	0.95797	1.2485	430.84	0.081977	3.5148e-05	0.055878	supercritical
