Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
573.0	56.5	53.14	0.018818	651.66	757.98	2.5808	0.88137	1.1118	363.43	0.20808	2.7599e-05	0.040731	vapor
573.0	59.75	56.246	0.017779	651.0	757.23	2.5691	0.88195	1.1149	363.55	0.20698	2.765e-05	0.040844	vapor
573.0	63.0	59.357	0.016847	650.34	756.48	2.558	0.88253	1.1179	363.68	0.20587	2.7702e-05	0.040958	vapor
573.0	66.25	62.472	0.016007	649.69	755.73	2.5474	0.8831	1.121	363.81	0.20475	2.7754e-05	0.041072	vapor
573.0	69.5	65.591	0.015246	649.03	754.99	2.5372	0.88368	1.1241	363.96	0.20363	2.7808e-05	0.041187	vapor
573.0	72.75	68.713	0.014553	648.37	754.25	2.5275	0.88425	1.1272	364.12	0.2025	2.7862e-05	0.041302	vapor
573.0	76.0	71.84	0.01392	647.71	753.5	2.5181	0.88482	1.1303	364.29	0.20137	2.7916e-05	0.041418	vapor
573.0	76.0	71.84	0.01392	647.71	753.5	2.5181	0.88482	1.1303	364.29	0.20137	2.7916e-05	0.041418	supercritical
573.0	76.0	71.84	0.01392	647.71	753.5	2.5181	0.88482	1.1303	364.29	0.20137	2.7916e-05	0.041418	supercritical
573.0	79.25	74.97	0.013339	647.06	752.77	2.5091	0.88539	1.1334	364.47	0.20023	2.7972e-05	0.041534	supercritical
573.0	82.5	78.103	0.012804	646.4	752.03	2.5004	0.88596	1.1365	364.66	0.19909	2.8029e-05	0.04165	supercritical
573.0	85.75	81.24	0.012309	645.74	751.3	2.492	0.88653	1.1396	364.86	0.19794	2.8086e-05	0.041768	supercritical
573.0	89.0	84.38	0.011851	645.09	750.56	2.4838	0.88709	1.1427	365.07	0.19678	2.8144e-05	0.041886	supercritical
573.0	92.25	87.522	0.011426	644.43	749.83	2.476	0.88765	1.1458	365.29	0.19562	2.8203e-05	0.042005	supercritical
573.0	95.5	90.667	0.011029	643.78	749.11	2.4683	0.88821	1.1489	365.53	0.19446	2.8263e-05	0.042124	supercritical
573.0	98.75	93.815	0.010659	643.12	748.38	2.4609	0.88877	1.152	365.77	0.19328	2.8324e-05	0.042244	supercritical
573.0	102.0	96.965	0.010313	642.47	747.66	2.4537	0.88932	1.1551	366.02	0.1921	2.8386e-05	0.042365	supercritical
573.0	105.25	100.12	0.0099883	641.81	746.94	2.4467	0.88987	1.1582	366.28	0.19092	2.8448e-05	0.042487	supercritical
573.0	108.5	103.27	0.0096833	641.16	746.22	2.4399	0.89042	1.1613	366.56	0.18973	2.8512e-05	0.04261	supercritical
573.0	111.75	106.43	0.0093962	640.51	745.51	2.4332	0.89097	1.1644	366.84	0.18853	2.8576e-05	0.042734	supercritical
573.0	115.0	109.58	0.0091255	639.85	744.8	2.4267	0.89151	1.1676	367.14	0.18733	2.8641e-05	0.042859	supercritical
573.0	118.25	112.74	0.0088698	639.2	744.09	2.4204	0.89205	1.1707	367.44	0.18612	2.8708e-05	0.042984	supercritical
573.0	121.5	115.9	0.008628	638.55	743.38	2.4142	0.89259	1.1737	367.76	0.1849	2.8775e-05	0.043111	supercritical
573.0	124.75	119.06	0.008399	637.9	742.68	2.4081	0.89313	1.1768	368.09	0.18368	2.8843e-05	0.043238	supercritical
573.0	128.0	122.22	0.0081818	637.25	741.97	2.4022	0.89366	1.1799	368.43	0.18246	2.8912e-05	0.043367	supercritical
573.0	131.25	125.38	0.0079755	636.6	741.28	2.3964	0.89419	1.183	368.78	0.18123	2.8982e-05	0.043497	supercritical
573.0	134.5	128.55	0.0077794	635.95	740.58	2.3907	0.89472	1.1861	369.14	0.17999	2.9053e-05	0.043628	supercritical
573.0	137.75	131.71	0.0075926	635.3	739.89	2.3851	0.89524	1.1891	369.52	0.17875	2.9125e-05	0.04376	supercritical
573.0	141.0	134.87	0.0074146	634.65	739.2	2.3797	0.89576	1.1922	369.9	0.1775	2.9198e-05	0.043893	supercritical
573.0	144.25	138.03	0.0072448	634.01	738.51	2.3743	0.89628	1.1953	370.3	0.17625	2.9271e-05	0.044027	supercritical
573.0	147.5	141.19	0.0070826	633.36	737.83	2.3691	0.89679	1.1983	370.71	0.175	2.9346e-05	0.044162	supercritical
573.0	150.75	144.35	0.0069276	632.72	737.15	2.3639	0.8973	1.2013	371.13	0.17374	2.9422e-05	0.044298	supercritical
573.0	154.0	147.51	0.0067793	632.07	736.47	2.3589	0.89781	1.2043	371.56	0.17247	2.9499e-05	0.044436	supercritical
573.0	157.25	150.67	0.0066372	631.43	735.8	2.3539	0.89832	1.2074	372.0	0.1712	2.9577e-05	0.044575	supercritical
573.0	160.5	153.82	0.0065011	630.79	735.13	2.349	0.89882	1.2104	372.45	0.16993	2.9655e-05	0.044715	supercritical
573.0	163.75	156.98	0.0063704	630.15	734.46	2.3442	0.89932	1.2133	372.92	0.16865	2.9735e-05	0.044856	supercritical
573.0	167.0	160.13	0.006245	629.51	733.8	2.3394	0.89981	1.2163	373.4	0.16737	2.9816e-05	0.044998	supercritical
573.0	170.25	163.28	0.0061246	628.87	733.14	2.3348	0.9003	1.2193	373.89	0.16609	2.9898e-05	0.045142	supercritical
573.0	173.5	166.42	0.0060087	628.23	732.48	2.3302	0.90079	1.2222	374.39	0.1648	2.998e-05	0.045287	supercritical
573.0	176.75	169.57	0.0058973	627.6	731.83	2.3257	0.90128	1.2251	374.9	0.16351	3.0064e-05	0.045433	supercritical
573.0	180.0	172.71	0.00579	626.96	731.18	2.3212	0.90176	1.228	375.43	0.16222	3.0149e-05	0.04558	supercritical
573.0	183.25	175.85	0.0056867	626.33	730.54	2.3168	0.90223	1.2309	375.96	0.16092	3.0235e-05	0.045728	supercritical
573.0	186.5	178.98	0.0055871	625.69	729.89	2.3125	0.90271	1.2338	376.51	0.15963	3.0322e-05	0.045878	supercritical
573.0	189.75	182.12	0.005491	625.06	729.26	2.3083	0.90318	1.2367	377.07	0.15833	3.0409e-05	0.046029	supercritical
573.0	193.0	185.24	0.0053983	624.43	728.62	2.3041	0.90365	1.2395	377.64	0.15703	3.0498e-05	0.046181	supercritical
573.0	196.25	188.37	0.0053088	623.81	727.99	2.2999	0.90411	1.2424	378.23	0.15573	3.0588e-05	0.046334	supercritical
573.0	199.5	191.49	0.0052223	623.18	727.36	2.2959	0.90457	1.2452	378.82	0.15442	3.0679e-05	0.046489	supercritical
573.0	202.75	194.6	0.0051387	622.55	726.74	2.2918	0.90503	1.2479	379.43	0.15312	3.0771e-05	0.046644	supercritical
573.0	206.0	197.71	0.0050578	621.93	726.12	2.2879	0.90548	1.2507	380.05	0.15181	3.0864e-05	0.046801	supercritical
573.0	209.25	200.82	0.0049796	621.31	725.51	2.2839	0.90593	1.2535	380.68	0.15051	3.0958e-05	0.046959	supercritical
573.0	212.5	203.92	0.0049039	620.69	724.89	2.2801	0.90637	1.2562	381.33	0.1492	3.1052e-05	0.047118	supercritical
573.0	215.75	207.01	0.0048306	620.07	724.29	2.2762	0.90682	1.2589	381.98	0.1479	3.1148e-05	0.047278	supercritical
573.0	219.0	210.1	0.0047596	619.45	723.68	2.2725	0.90725	1.2616	382.65	0.14659	3.1245e-05	0.04744	supercritical
573.0	222.25	213.19	0.0046907	618.83	723.09	2.2688	0.90769	1.2642	383.33	0.14529	3.1343e-05	0.047602	supercritical
573.0	225.5	216.26	0.004624	618.22	722.49	2.2651	0.90812	1.2669	384.02	0.14399	3.1442e-05	0.047766	supercritical
573.0	228.75	219.34	0.0045592	617.61	721.9	2.2614	0.90855	1.2695	384.72	0.14269	3.1542e-05	0.047931	supercritical
573.0	232.0	222.4	0.0044964	617.0	721.31	2.2578	0.90897	1.2721	385.43	0.14139	3.1642e-05	0.048096	supercritical
573.0	235.25	225.46	0.0044354	616.39	720.73	2.2543	0.90939	1.2746	386.16	0.14009	3.1744e-05	0.048263	supercritical
573.0	238.5	228.51	0.0043762	615.78	720.15	2.2508	0.90981	1.2772	386.89	0.13879	3.1847e-05	0.048431	supercritical
573.0	241.75	231.55	0.0043186	615.18	719.58	2.2473	0.91022	1.2797	387.64	0.1375	3.195e-05	0.0486	supercritical
573.0	245.0	234.59	0.0042627	614.57	719.01	2.2439	0.91063	1.2822	388.4	0.13621	3.2055e-05	0.04877	supercritical
573.0	248.25	237.62	0.0042084	613.97	718.44	2.2405	0.91104	1.2847	389.17	0.13492	3.2161e-05	0.048941	supercritical
573.0	251.5	240.64	0.0041555	613.37	717.88	2.2372	0.91144	1.2871	389.95	0.13364	3.2267e-05	0.049113	supercritical
573.0	254.75	243.66	0.0041041	612.77	717.33	2.2338	0.91184	1.2895	390.74	0.13235	3.2375e-05	0.049285	supercritical
573.0	258.0	246.66	0.0040541	612.18	716.77	2.2306	0.91223	1.2919	391.55	0.13108	3.2483e-05	0.049459	supercritical
573.0	261.25	249.66	0.0040054	611.58	716.22	2.2273	0.91263	1.2943	392.36	0.1298	3.2593e-05	0.049634	supercritical
573.0	264.5	252.65	0.003958	610.99	715.68	2.2241	0.91301	1.2967	393.18	0.12853	3.2703e-05	0.049809	supercritical
573.0	267.75	255.63	0.0039119	610.4	715.14	2.2209	0.9134	1.299	394.02	0.12727	3.2814e-05	0.049985	supercritical
573.0	271.0	258.61	0.0038669	609.81	714.61	2.2178	0.91378	1.3013	394.86	0.12601	3.2926e-05	0.050163	supercritical
573.0	274.25	261.57	0.0038231	609.23	714.08	2.2147	0.91416	1.3035	395.72	0.12475	3.3039e-05	0.050341	supercritical
573.0	277.5	264.52	0.0037804	608.64	713.55	2.2116	0.91453	1.3058	396.59	0.1235	3.3153e-05	0.050519	supercritical
573.0	280.75	267.47	0.0037387	608.06	713.03	2.2086	0.9149	1.308	397.46	0.12225	3.3268e-05	0.050699	supercritical
573.0	284.0	270.41	0.0036981	607.48	712.51	2.2056	0.91527	1.3102	398.35	0.12101	3.3383e-05	0.050879	supercritical
573.0	287.25	273.33	0.0036585	606.91	712.0	2.2026	0.91564	1.3123	399.24	0.11978	3.35e-05	0.05106	supercritical
573.0	290.5	276.25	0.0036199	606.33	711.49	2.1996	0.916	1.3145	400.15	0.11855	3.3617e-05	0.051242	supercritical
573.0	293.75	279.16	0.0035822	605.76	710.98	2.1967	0.91635	1.3166	401.07	0.11732	3.3735e-05	0.051424	supercritical
573.0	297.0	282.06	0.0035454	605.19	710.48	2.1938	0.91671	1.3187	401.99	0.11611	3.3854e-05	0.051607	supercritical
573.0	300.25	284.95	0.0035094	604.62	709.99	2.1909	0.91706	1.3207	402.93	0.1149	3.3974e-05	0.051791	supercritical
573.0	303.5	287.82	0.0034744	604.05	709.5	2.1881	0.91741	1.3227	403.87	0.11369	3.4094e-05	0.051975	supercritical
573.0	306.75	290.69	0.0034401	603.49	709.01	2.1853	0.91775	1.3247	404.82	0.11249	3.4216e-05	0.05216	supercritical
573.0	310.0	293.55	0.0034066	602.92	708.53	2.1825	0.91809	1.3267	405.78	0.1113	3.4338e-05	0.052345	supercritical
573.0	313.25	296.4	0.0033739	602.37	708.05	2.1798	0.91843	1.3287	406.75	0.11012	3.4461e-05	0.052531	supercritical
573.0	316.5	299.23	0.0033419	601.81	707.58	2.177	0.91876	1.3306	407.73	0.10894	3.4585e-05	0.052718	supercritical
573.0	319.75	302.06	0.0033106	601.25	707.11	2.1743	0.9191	1.3325	408.72	0.10777	3.4709e-05	0.052904	supercritical
573.0	323.0	304.87	0.0032801	600.7	706.64	2.1716	0.91942	1.3344	409.72	0.10661	3.4834e-05	0.053092	supercritical
573.0	326.25	307.68	0.0032502	600.15	706.18	2.169	0.91975	1.3362	410.72	0.10545	3.496e-05	0.05328	supercritical
573.0	329.5	310.47	0.0032209	599.6	705.73	2.1664	0.92007	1.338	411.74	0.10431	3.5087e-05	0.053468	supercritical
573.0	332.75	313.25	0.0031923	599.05	705.28	2.1638	0.92039	1.3398	412.76	0.10317	3.5214e-05	0.053656	supercritical
573.0	336.0	316.02	0.0031643	598.51	704.83	2.1612	0.92071	1.3416	413.78	0.10203	3.5343e-05	0.053845	supercritical
573.0	339.25	318.79	0.0031369	597.97	704.39	2.1586	0.92102	1.3433	414.82	0.10091	3.5471e-05	0.054034	supercritical
573.0	342.5	321.53	0.0031101	597.43	703.95	2.1561	0.92133	1.345	415.86	0.099792	3.5601e-05	0.054224	supercritical
573.0	345.75	324.27	0.0030838	596.89	703.52	2.1536	0.92164	1.3467	416.92	0.098684	3.5731e-05	0.054414	supercritical
573.0	349.0	327.0	0.0030581	596.36	703.09	2.1511	0.92195	1.3484	417.97	0.097584	3.5862e-05	0.054604	supercritical
573.0	352.25	329.71	0.0030329	595.82	702.66	2.1486	0.92225	1.35	419.04	0.096491	3.5994e-05	0.054795	supercritical
573.0	355.5	332.42	0.0030083	595.29	702.24	2.1461	0.92255	1.3517	420.11	0.095407	3.6126e-05	0.054985	supercritical
