Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
382.0	56.5	89.412	0.011184	484.11	547.31	2.1332	0.78825	1.1487	283.52	0.56476	2.0035e-05	0.026761	vapor
382.0	59.75	95.355	0.010487	482.53	545.19	2.1185	0.79157	1.1663	282.66	0.56178	2.0143e-05	0.027044	vapor
382.0	63.0	101.4	0.0098619	480.92	543.05	2.1042	0.79491	1.1845	281.82	0.55862	2.0257e-05	0.027338	vapor
382.0	66.25	107.55	0.009298	479.29	540.89	2.0904	0.79827	1.2033	281.02	0.55527	2.0377e-05	0.027644	vapor
382.0	69.5	113.81	0.0087867	477.64	538.7	2.077	0.80164	1.2228	280.24	0.55172	2.0504e-05	0.027963	vapor
382.0	72.75	120.18	0.0083211	475.96	536.5	2.064	0.80503	1.243	279.49	0.54796	2.0636e-05	0.028294	vapor
382.0	76.0	126.66	0.0078953	474.27	534.28	2.0513	0.80843	1.2639	278.79	0.54399	2.0776e-05	0.028639	vapor
382.0	76.0	126.66	0.0078953	474.27	534.28	2.0513	0.80843	1.2639	278.79	0.54399	2.0776e-05	0.028639	supercritical
382.0	76.0	126.66	0.0078953	474.27	534.28	2.0513	0.80843	1.2639	278.79	0.54399	2.0776e-05	0.028639	supercritical
382.0	79.25	133.25	0.0075045	472.56	532.03	2.0388	0.81184	1.2855	278.11	0.53981	2.0923e-05	0.028999	supercritical
382.0	82.5	139.96	0.0071446	470.82	529.77	2.0267	0.81525	1.3079	277.48	0.5354	2.1078e-05	0.029373	supercritical
382.0	85.75	146.8	0.0068122	469.07	527.48	2.0148	0.81867	1.3309	276.89	0.53077	2.124e-05	0.029762	supercritical
382.0	89.0	153.75	0.0065041	467.29	525.17	2.0031	0.82209	1.3547	276.35	0.5259	2.1411e-05	0.030167	supercritical
382.0	92.25	160.82	0.006218	465.49	522.85	1.9916	0.8255	1.3793	275.85	0.5208	2.1591e-05	0.030588	supercritical
382.0	95.5	168.02	0.0059516	463.67	520.5	1.9803	0.8289	1.4046	275.41	0.51546	2.178e-05	0.031025	supercritical
382.0	98.75	175.34	0.0057031	461.83	518.14	1.9691	0.83229	1.4306	275.03	0.50988	2.1979e-05	0.03148	supercritical
382.0	102.0	182.79	0.0054707	459.96	515.76	1.9581	0.83566	1.4574	274.7	0.50406	2.2188e-05	0.031952	supercritical
382.0	105.25	190.37	0.005253	458.08	513.37	1.9473	0.83901	1.4848	274.44	0.498	2.2407e-05	0.032441	supercritical
382.0	108.5	198.07	0.0050488	456.18	510.96	1.9366	0.84232	1.513	274.25	0.4917	2.2637e-05	0.032949	supercritical
382.0	111.75	205.89	0.004857	454.26	508.53	1.9261	0.8456	1.5417	274.13	0.48516	2.2879e-05	0.033475	supercritical
382.0	115.0	213.83	0.0046765	452.32	506.1	1.9156	0.84884	1.571	274.08	0.47838	2.3132e-05	0.034018	supercritical
382.0	118.25	221.9	0.0045065	450.36	503.65	1.9053	0.85203	1.6009	274.12	0.47138	2.3398e-05	0.03458	supercritical
382.0	121.5	230.09	0.0043462	448.39	501.19	1.8951	0.85517	1.6312	274.24	0.46414	2.3676e-05	0.035159	supercritical
382.0	124.75	238.39	0.0041949	446.4	498.73	1.885	0.85824	1.6619	274.45	0.45669	2.3967e-05	0.035755	supercritical
382.0	128.0	246.8	0.0040519	444.39	496.26	1.8751	0.86124	1.6928	274.75	0.44903	2.4272e-05	0.036368	supercritical
382.0	131.25	255.31	0.0039168	442.38	493.79	1.8652	0.86417	1.7239	275.15	0.44117	2.459e-05	0.036997	supercritical
382.0	134.5	263.92	0.003789	440.35	491.32	1.8554	0.86702	1.7551	275.66	0.43311	2.4922e-05	0.037642	supercritical
